Breast Oncology	first_name	middle_name	last_name	degrees	title	department	program	username	email
"Rena J. Pasick, Dr. PH"	Rena	J.	Pasick	Dr. PH	Professor	Medicine	Breast Oncology		
"Hope S. Rugo, M.D."	Hope	S.	Rugo	M.D.	Professor	Medicine	Breast Oncology		
"John A. Shepherd, Ph.D."	John	A.	Shepherd	Ph.D.	Assistant Professor	Radiology	Breast Oncology		
"Rebecca Smith-Bindman, M.D."	Rebecca		Smith-Bindman	M.D.	Professor	Radiology	Breast Oncology		
"Francis C. Szoka, Ph.D."	Francis	C.	Szoka	Ph.D.	Professor	Biopharmaceutical Sciences	Breast Oncology		
"Thea D. Tlsty, Ph.D."	Thea	D.	Tlsty	Ph.D.	Professor	Pathology	Breast Oncology		
"Laura van 't Veer, Ph.D."	Laura		van 't Veer	Ph.D.	Professor	Laboratory Medicine	Breast Oncology		
"Frederic M. Waldman, M.D., Ph.D."	Frederic	M.	Waldman	"M.D., Ph.D."	Professor	Laboratory Medicine	Breast Oncology		
"Valerie Weaver, Ph.D."	Valerie		Weaver	Ph.D.	Associate Professor	Surgery	Breast Oncology		
"Zena Werb, Ph.D."	Zena		Werb	Ph.D.	Professor	Anatomy	Breast Oncology		
"Rosemary Akhurst, Ph.D."	Rosemary		Akhurst	Ph.D.	Professor	Cancer Research Institute	Cancer and Immunity		
"Jody Baron, M.D., Ph.D."	Jody		Baron	"M.D., Ph.D."	Assistant Professor	Medicine	Cancer and Immunity		
"Gabriele Bergers, Ph.D."	Gabriele		Bergers	Ph.D.	Professor	Neurological Surgery	Cancer and Immunity		
"V. Courtney Broaddus, M.D."	V.	Courtney	Broaddus	M.D.	Professor	Medicine	Cancer and Immunity		
"Lisa M. Coussens, Ph.D."	Lisa	M.	Coussens	Ph.D.	Professor	Pathology	Cancer and Immunity		
"Adil Daud, M.D."	Adil		Daud	M.D.	Associate Professor	Medicine	Cancer and Immunity		
"Anthony L. DeFranco, Ph.D."	Anthony	L.	DeFranco	Ph.D.	Professor	Microbiology and Immunology	Cancer and Immunity		
"Lawrence Fong, M.D."	Lawrence		Fong	M.D.	Associate Professor	Medicine	Cancer and Immunity		
"David Jablons, M.D."	David		Jablons	M.D.	Professor	Surgery	Cancer and Immunity		
"Matthew F. Krummel, Ph.D."	Matthew	F.	Krummel	Ph.D.	Associate Professor	Pathology	Cancer and Immunity		
"Lewis L. Lanier, Ph.D."	Lewis	L.	Lanier	Ph.D.	Professor & Chair	Microbiology and Immunology	Cancer and Immunity		
"Averil I. Ma, M.D."	Averil	I.	Ma	M.D.	Professor	Medicine	Cancer and Immunity		
"Joseph M. McCune, M.D., Ph.D."	Joseph	M.	McCune	"M.D., Ph.D."	Professor	Microbiology and Immunology	Cancer and Immunity		
"Donald McDonald, M.D., Ph.D."	Donald		McDonald	"M.D., Ph.D."	Professor	Anatomy	Cancer and Immunity		
"Michael S. McGrath, M.D.,Ph.D."	Michael	S.	McGrath	"M.D.,Ph.D."	Professor	Laboratory Medicine	Cancer and Immunity		
"Anna-Barbara Moscicki, M.D."	Anna-Barbara		Moscicki	M.D.	Professor	Pediatrics	Cancer and Immunity		
"Joel M. Palefsky, M.D."	Joel	M.	Palefsky	M.D.	Professor	Laboratory Medicine	Cancer and Immunity		
"Andrew T. Parsa, M.D., Ph.D."	Andrew	T.	Parsa	"M.D., Ph.D."	Associate Professor	Neurological Surgery	Cancer and Immunity		
"Steven D. Rosen, Ph.D."	Steven	D.	Rosen	Ph.D.	Professor	Anatomy	Cancer and Immunity		
"James L. Rubenstein, M.D.,Ph.D."	James	L.	Rubenstein	"M.D.,Ph.D."	Associate Professor	Medicine	Cancer and Immunity		
"Eric J. Small, M.D."	Eric	J.	Small	M.D.	Professor	Medicine	Cancer and Immunity		
"Karen S. Smith-McCune, M.D.,Ph.D."	Karen	S.	Smith-McCune	"M.D., Ph.D."	Professor	"Obstetrics, Gynecology and Reproductive Sciences"	Cancer and Immunity		
"Sharof Tugizov, Ph.D."	Sharof		Tugizov	Ph.D.	Associate Professor	Stomatology	Cancer and Immunity		
"Rong Wang, Ph.D."	Rong		Wang	Ph.D.	Associate Professor	Surgery	Cancer and Immunity		
"Valerie Weaver, Ph.D."	Valerie		Weaver	Ph.D.	Associate Professor	Surgery	Cancer and Immunity		
"James A. Wells, Ph.D."	James	A.	Wells	Ph.D.	Professor	Pharmaceutical Chemistry	Cancer and Immunity		
"Zena Werb, Ph.D."	Zena		Werb	Ph.D.	Professor	Anatomy	Cancer and Immunity		
"Shelley R. Adler, Ph.D."	Shelley	R.	Adler	Ph.D.	Professor	"Anthropology, History and Social Medicine"	Cancer Disparities		
"Jeffrey K. Belkora, Ph.D."	Jeffrey	K.	Belkora	Ph.D.	Assistant Professor	Surgery	Cancer Disparities		
"Dejana Braithwaite, Ph.D."	Dejana		Braithwaite	Ph.D.	Assistant Professor	Epidemiology and Biostatistics	Cancer Disparities		
"Nancy Burke, Ph.D."	Nancy		Burke	Ph.D.	Associate Professor	"Anthropology, History and Social Medicine"	Cancer Disparities		
"Daniel P. Dohan, Ph.D."	Daniel	P.	Dohan	Ph.D.	Associate Professor	Institute for Health Policy Studies	Cancer Disparities		
"Robert A. Hiatt, M.D., Ph.D."	Robert	A.	Hiatt	"M.D., Ph.D."	Professor	Epidemiology and Biostatistics	Cancer Disparities		
"Celia P. Kaplan, Dr.PH, MA"	Celia	P.	Kaplan	"Dr.PH, MA"	Professor	Medicine	Cancer Disparities		
"Leah S. Karliner, M.D."	Leah	S.	Karliner	M.D.	Assistant Professor	Medicine	Cancer Disparities		
"Sara Knight, Ph.D."	Sara		Knight	Ph.D.	Associate Professor	Psychiatry	Cancer Disparities		
"Judith A. Luce, M.D."	Judith	A.	Luce	M.D.	Professor	Medicine	Cancer Disparities		
"Ruth E. Malone, Ph.D., RN"	Ruth	E.	Malone	"Ph.D., RN"	"Professor, Vice Chair"	Social and Behavioral Sciences	Cancer Disparities		
"Christine A. Miaskowski, RN, Ph.D."	Christine	A.	Miaskowski	"RN, Ph.D."	Professor & Chair	Physiological Nursing	Cancer Disparities		
"Ricardo Munoz, Ph.D."	Ricardo		Munoz	Ph.D.	Professor	Psychiatry	Cancer Disparities		
"Anna Napoles, Ph.D., MPH"	Anna		Napoles	"Ph.D., MPH"	Associate Professor	Medicine	Cancer Disparities		
"Tung T. Nguyen, M.D."	Tung	T.	Nguyen	M.D.	Professor	Medicine	Cancer Disparities		
"Joel M. Palefsky, M.D."	Joel	M.	Palefsky	M.D.	Professor	Laboratory Medicine	Cancer Disparities		
"Rena J. Pasick, Dr. PH"	Rena	J.	Pasick	Dr. PH	Professor	Medicine	Cancer Disparities		
"Eliseo J. Perez-Stable, M.D."	Eliseo	J.	Perez-Stable	M.D.	Professor	Medicine	Cancer Disparities		
"Kathryn A. Phillips, Ph.D."	Kathryn	A.	Phillips	Ph.D.	Professor	Clinical Pharmacy	Cancer Disparities		
"Michael B. Potter, M.D."	Michael	B.	Potter	M.D.	Professor	Family and Community Medicine	Cancer Disparities		
"Mack Roach III, M.D."	Mack		Roach III	M.D.	Professor & Chair	Radiation Oncology	Cancer Disparities		
"Janice Y. Tsoh, Ph.D."	Janice	Y.	Tsoh	Ph.D.	Associate Professor	Psychiatry	Cancer Disparities		
"Judith M. Walsh, M.D., MPH"	Judith	M.	Walsh	"M.D., MPH"	Associate Professor	Medicine	Cancer Disparities		
"Elad Ziv, M.D."	Elad		Ziv	M.D.	Associate Professor	Medicine	Cancer Disparities		
"Rosemary Akhurst, Ph.D."	Rosemary		Akhurst	Ph.D.	Professor	Cancer Research Institute	Cancer Genetics		
"Donna G. Albertson, Ph.D."	Donna	G.	Albertson	Ph.D.	Professor	Cancer Research Institute	Cancer Genetics		
"Allan Balmain, Ph.D., FRSE"	Allan		Balmain	"Ph.D., FRSE"	Professor	Cancer Research Institute	Cancer Genetics		
"Boris C. Bastian, M.D."	Boris	C.	Bastian	M.D.	Professor	Pathology	Cancer Genetics		
"Paige Bracci, Ph.D., MS, MPH"	Paige		Bracci	"Ph.D., MS, MPH"	Assistant Professor	Epidemiology and Biostatistics	Cancer Genetics		
"Xin Chen, Ph.D."	Xin		Chen	Ph.D.	Assistant Professor	Biopharmaceutical Sciences	Cancer Genetics		
"Joseph Costello, Ph.D."	Joseph		Costello	Ph.D.	Associate Professor	Neurological Surgery	Cancer Genetics		
"Laura J. Esserman, M.D., MBA"	Laura	J.	Esserman	"M.D., MBA"	Professor	Surgery	Cancer Genetics		
"Michael Fried, Ph.D."	Michael		Fried	Ph.D.	Professor	Cancer Research Institute	Cancer Genetics		
"Kathleen M. Giacomini, Ph.D."	Kathleen	M.	Giacomini	Ph.D.	Professor & Chair	Biopharmaceutical Sciences	Cancer Genetics		
"Biao He, Ph.D."	Biao		He	Ph.D.	Associate Professor	Surgery	Cancer Genetics		
"Charles D. James, Ph.D."	Charles	D.	James	Ph.D.	Professor	Neurological Surgery	Cancer Genetics		
"Joachim Li, M.D., Ph.D."	Joachim		Li	"M.D., Ph.D."	Associate Professor	Microbiology and Immunology	Cancer Genetics		
"Carlo Maley, Ph.D."	Carlo		Maley	Ph.D.	Associate Professor	Surgery	Cancer Genetics		
"John P. Murnane, Ph.D."	John	P.	Murnane	Ph.D.	Professor	Radiation Oncology	Cancer Genetics		
"Kathryn A. Phillips, Ph.D."	Kathryn	A.	Phillips	Ph.D.	Professor	Clinical Pharmacy	Cancer Genetics		
"Daniel Pinkel, Ph.D."	Daniel		Pinkel	Ph.D.	Professor	Laboratory Medicine	Cancer Genetics		
"Kevan M. Shokat, Ph.D."	Kevan	M.	Shokat	Ph.D.	Professor & Chair	Cellular and Molecular Pharmacology	Cancer Genetics		
"Laura van 't Veer, Ph.D."	Laura		van 't Veer	Ph.D.	Professor	Laboratory Medicine	Cancer Genetics		
"Frederic M. Waldman, M.D., Ph.D."	Frederic	M.	Waldman	"M.D., Ph.D."	Professor	Laboratory Medicine	Cancer Genetics		
"John K. Wiencke, Ph.D."	John	K.	Wiencke	Ph.D.	Professor	Epidemiology and Biostatistics	Cancer Genetics		
"John S. Witte, Ph.D."	John	S.	Witte	Ph.D.	Professor	Epidemiology and Biostatistics	Cancer Genetics		
"Margaret R. Wrensch, Ph.D."	Margaret	R.	Wrensch	Ph.D.	Professor	Epidemiology and Biostatistics	Cancer Genetics		
"Elad Ziv, M.D."	Elad		Ziv	M.D.	Associate Professor	Medicine	Cancer Genetics		
"Allan Balmain, Ph.D., FRSE"	Allan		Balmain	"Ph.D., FRSE"	Professor	Cancer Research Institute	Developmental Therapeutics		
"Emily Bergsland, M.D."	Emily		Bergsland	M.D.	Associate Professor	Medicine	Developmental Therapeutics		
"Elizabeth H. Blackburn, Ph.D."	Elizabeth	H.	Blackburn	Ph.D.	Professor	Biochemistry and Biophysics	Developmental Therapeutics		
"Charles S. Craik, Ph.D."	Charles	S.	Craik	Ph.D.	Professor	Pharmaceutical Chemistry	Developmental Therapeutics		
"Adil Daud, M.D."	Adil		Daud	M.D.	Associate Professor	Medicine	Developmental Therapeutics		
"Rik M. Derynck, Ph.D."	Rik	M.	Derynck	Ph.D.	Professor	Growth and Development	Developmental Therapeutics		
"Daniel P. Dohan, Ph.D."	Daniel	P.	Dohan	Ph.D.	Associate Professor	Institute for Health Policy Studies	Developmental Therapeutics		
"Kathleen M. Giacomini, Ph.D."	Kathleen	M.	Giacomini	Ph.D.	Professor & Chair	Biopharmaceutical Sciences	Developmental Therapeutics		
"Andrei Goga, M.D., Ph.D."	Andrei		Goga	"M.D., Ph.D."	Assistant Professor	Medicine	Developmental Therapeutics		
"Biao He, Ph.D."	Biao		He	Ph.D.	Associate Professor	Surgery	Developmental Therapeutics		
"Jiang He, Ph.D."	Jiang		He	Ph.D.	Assistant Professor	Radiology	Developmental Therapeutics		
"Matthias Hebrok, Ph.D."	Matthias		Hebrok	Ph.D.	Professor	Diabetes Center	Developmental Therapeutics		
"David Jablons, M.D."	David		Jablons	M.D.	Professor	Surgery	Developmental Therapeutics		
"Ajay Jain, Ph.D."	Ajay		Jain	Ph.D.	Professor	Cancer Research Institute	Developmental Therapeutics		
"Andrew H. Ko, M.D."	Andrew	H.	Ko	M.D.	Associate Professor	Medicine	Developmental Therapeutics		
"W. M. Korn, M.D."	W.	M.	Korn	M.D.	Associate Professor	Medicine	Developmental Therapeutics		
"Deanna Kroetz, Ph.D."	Deanna		Kroetz	Ph.D.	Professor	Biopharmaceutical Sciences	Developmental Therapeutics		
"Bin Liu, Ph.D."	Bin		Liu	Ph.D.	Associate Professor	Anesthesia and Perioperative Care	Developmental Therapeutics		
"Carlo Maley, Ph.D."	Carlo		Maley	Ph.D.	Associate Professor	Surgery	Developmental Therapeutics		
"Frank McCormick, Ph.D., FRS"	Frank		McCormick	"Ph.D., FRS"	Professor	Cancer Research Institute	Developmental Therapeutics		
"Martin McMahon, Ph.D."	Martin		McMahon	Ph.D.	Professor	Cancer Research Institute	Developmental Therapeutics		
"Mark M. Moasser, M.D."	Mark	M.	Moasser	M.D.	Associate Professor	Medicine	Developmental Therapeutics		
"David O. Morgan, Ph.D."	David	O.	Morgan	Ph.D.	Professor	Physiology	Developmental Therapeutics		
"Pamela Munster, M.D."	Pamela		Munster	M.D.	Professor	Medicine	Developmental Therapeutics		
"Sabrina Ronen, Ph.D."	Sabrina		Ronen	Ph.D.	Associate Professor	Radiology	Developmental Therapeutics		
"Neil Shah, M.D., Ph.D."	Neil		Shah	"M.D., Ph.D."	Assistant Professor	Medicine	Developmental Therapeutics		
"Kevan M. Shokat, Ph.D."	Kevan	M.	Shokat	Ph.D.	Professor & Chair	Cellular and Molecular Pharmacology	Developmental Therapeutics		
"Francis C. Szoka, Ph.D."	Francis	C.	Szoka	Ph.D.	Professor	Biopharmaceutical Sciences	Developmental Therapeutics		
"Henry Van Brocklin, Ph.D."	Henry		Van Brocklin	Ph.D.	Professor	Radiology	Developmental Therapeutics		
"Alan P. Venook, M.D."	Alan	P.	Venook	M.D.	Professor	Medicine	Developmental Therapeutics		
"James A. Wells, Ph.D."	James	A.	Wells	Ph.D.	Professor	Pharmaceutical Chemistry	Developmental Therapeutics		
"Paige Bracci, Ph.D., MS, MPH"	Paige		Bracci	"Ph.D., MS, MPH"	Assistant Professor	Epidemiology and Biostatistics	Hematopoietic Malignancies		
"Jason G. Cyster, Ph.D."	Jason	G.	Cyster	Ph.D.	Professor	Microbiology and Immunology	Hematopoietic Malignancies		
"Lloyd Damon, M.D."	Lloyd		Damon	M.D.	Professor	Medicine	Hematopoietic Malignancies		
"Anthony L. DeFranco, Ph.D."	Anthony	L.	DeFranco	Ph.D.	Professor	Microbiology and Immunology	Hematopoietic Malignancies		
"Lawrence D. Kaplan, M.D."	Lawrence	D.	Kaplan	M.D.	Professor	Medicine	Hematopoietic Malignancies		
"Scott C. Kogan, M.D."	Scott	C.	Kogan	M.D.	Associate Professor	Laboratory Medicine	Hematopoietic Malignancies		
"Andrew D. Leavitt, M.D."	Andrew	D.	Leavitt	M.D.	Professor	Laboratory Medicine	Hematopoietic Malignancies		
"Mignon Loh, M.D."	Mignon		Loh	M.D.	Associate Professor	Pediatrics	Hematopoietic Malignancies		
"Clifford A. Lowell, M.D.,Ph.D."	Clifford	A.	Lowell	"M.D.,Ph.D."	Professor	Laboratory Medicine	Hematopoietic Malignancies		
"Thomas G. Martin, M.D."	Thomas	G.	Martin	M.D.	Professor	Medicine	Hematopoietic Malignancies		
"Markus Muschen, M.D., Ph.D."	Markus		Muschen	"M.D., Ph.D."	Professor	Laboratory Medicine	Hematopoietic Malignancies		
"Emmanuelle Passegue, Ph.D."	Emmanuelle		Passegue	Ph.D.	Associate Professor	Developmental and Stem Cell Biology	Hematopoietic Malignancies		
"James L. Rubenstein, M.D.,Ph.D."	James	L.	Rubenstein	"M.D.,Ph.D."	Associate Professor	Medicine	Hematopoietic Malignancies		
"Davide Ruggero, Ph.D."	Davide		Ruggero	Ph.D.	Assistant Professor	Urology	Hematopoietic Malignancies		
"Neil Shah, M.D., Ph.D."	Neil		Shah	"M.D., Ph.D."	Assistant Professor	Medicine	Hematopoietic Malignancies		
"Kevin M. Shannon, M.D."	Kevin	M.	Shannon	M.D.	Professor	Pediatrics	Hematopoietic Malignancies		
"Peter Walter, Ph.D."	Peter		Walter	Ph.D.	Professor	Biochemistry and Biophysics	Hematopoietic Malignancies		
"Arthur Weiss, M.D., Ph.D."	Arthur		Weiss	"M.D., Ph.D."	Professor	Medicine	Hematopoietic Malignancies		
"Arturo Alvarez-Buylla, Ph.D."	Arturo		Alvarez-Buylla	Ph.D.	Professor	Neurological Surgery	Neurologic Oncology		
"Mitchel S. Berger, M.D."	Mitchel	S.	Berger	M.D.	Professor & Chair	Neurological Surgery	Neurologic Oncology		
"Gabriele Bergers, Ph.D."	Gabriele		Bergers	Ph.D.	Professor	Neurological Surgery	Neurologic Oncology		
"Susan M. Chang, M.D."	Susan	M.	Chang	M.D.	Professor	Neurological Surgery	Neurologic Oncology		
"Joseph Costello, Ph.D."	Joseph		Costello	Ph.D.	Associate Professor	Neurological Surgery	Neurologic Oncology		
"Charles D. James, Ph.D."	Charles	D.	James	Ph.D.	Professor	Neurological Surgery	Neurologic Oncology		
"Stephen Kahl, Ph.D."	Stephen		Kahl	Ph.D.	Professor	Pharmaceutical Chemistry	Neurologic Oncology		
"Tracy R. McKnight, Ph.D."	Tracy	R.	McKnight	Ph.D.	Associate Professor	Radiology	Neurologic Oncology		
"Sarah Nelson, Ph.D."	Sarah		Nelson	Ph.D.	Professor	Radiology	Neurologic Oncology		
"John Park, M.D."	John		Park	M.D.	Associate Professor	Medicine	Neurologic Oncology		
"Andrew T. Parsa, M.D., Ph.D."	Andrew	T.	Parsa	"M.D., Ph.D."	Associate Professor	Neurological Surgery	Neurologic Oncology		
"Russell O. Pieper, Ph.D."	Russell	O.	Pieper	Ph.D.	Professor	Neurological Surgery	Neurologic Oncology		
"Michael D. Prados, M.D."	Michael	D.	Prados	M.D.	Professor	Neurological Surgery	Neurologic Oncology		
"David H. Rowitch, M.D., Ph.D."	David	H.	Rowitch	"M.D., Ph.D."	Professor	Pediatrics	Neurologic Oncology		
"Daniel B. Vigneron, Ph.D."	Daniel	B.	Vigneron	Ph.D.	Professor	Radiology	Neurologic Oncology		
"William A. Weiss, M.D., Ph.D."	William	A.	Weiss	"M.D., Ph.D."	Professor	Neurology	Neurologic Oncology		
"Margaret R. Wrensch, Ph.D."	Margaret	R.	Wrensch	Ph.D.	Professor	Epidemiology and Biostatistics	Neurologic Oncology		
"Anu Banerjee, M.D."	Anu		Banerjee	M.D.	Assistant Clinical Professor	Pediatrics	Pediatric Malignancies		
"Steven DuBois, M.D., MS"	Steven		DuBois	"M.D., MS"	Assistant Professor	Pediatrics	Pediatric Malignancies		
"Robert E. Goldsby, M.D."	Robert	E.	Goldsby	M.D.	Professor	Pediatrics	Pediatric Malignancies		
"Daphne A. Haas-Kogan, M.D."	Daphne	A.	Haas-Kogan	M.D.	Professor	Radiation Oncology	Pediatric Malignancies		
"Biljana Novakovic Horn, M.D."	Biljana		Novakovic Horn	M.D.	Assistant Professor	Pediatrics	Pediatric Malignancies		
"Ophir Klein, M.D., Ph.D."	Ophir		Klein	"M.D., Ph.D."	Assistant Professor	Pediatrics	Pediatric Malignancies		
"Mignon Loh, M.D."	Mignon		Loh	M.D.	Associate Professor	Pediatrics	Pediatric Malignancies		
"Katherine K. Matthay, M.D."	Katherine	K.	Matthay	M.D.	Professor	Pediatrics	Pediatric Malignancies		
"Anna-Barbara Moscicki, M.D."	Anna-Barbara		Moscicki	M.D.	Professor	Pediatrics	Pediatric Malignancies		
"Michael D. Prados, M.D."	Michael	D.	Prados	M.D.	Professor	Neurological Surgery	Pediatric Malignancies		
"Jeremy Reiter, M.D., Ph.D."	Jeremy		Reiter	"M.D., Ph.D."	Assistant Professor	Biochemistry and Biophysics	Pediatric Malignancies		
"David H. Rowitch, M.D., Ph.D."	David	H.	Rowitch	"M.D., Ph.D."	Professor	Pediatrics	Pediatric Malignancies		
"Mark L. Rubinstein, M.D."	Mark	L.	Rubinstein	M.D.	Assistant Professor	Pediatrics	Pediatric Malignancies		
"Youngho Seo, Ph.D."	Youngho		Seo	Ph.D.	Assistant Professor	Radiation Oncology	Pediatric Malignancies		
"Kevin M. Shannon, M.D."	Kevin	M.	Shannon	M.D.	Professor	Pediatrics	Pediatric Malignancies		
"William A. Weiss, M.D., Ph.D."	William	A.	Weiss	"M.D., Ph.D."	Professor	Neurology	Pediatric Malignancies		
"Joseph L. Wiemels, Ph.D."	Joseph	L.	Wiemels	Ph.D.	Associate Professor	Epidemiology and Biostatistics	Pediatric Malignancies		
"John K. Wiencke, Ph.D."	John	K.	Wiencke	Ph.D.	Professor	Epidemiology and Biostatistics	Pediatric Malignancies		
"Robert H. Blelloch, M.D., Ph.D."	Robert	H.	Blelloch	"M.D., Ph.D."	Assistant Professor	Urology	Prostate Cancer		
"Peter R. Carroll, M.D., MPH"	Peter	R.	Carroll	"M.D., MPH"	Professor & Chair	Urology	Prostate Cancer		
"June M. Chan, Sc.D."	June	M.	Chan	Sc.D.	Associate Professor	Epidemiology and Biostatistics	Prostate Cancer		
"Fergus V. Coakley, M.D."	Fergus	V.	Coakley	M.D.	Professor	Radiology	Prostate Cancer		
"Charles S. Craik, Ph.D."	Charles	S.	Craik	Ph.D.	Professor	Pharmaceutical Chemistry	Prostate Cancer		
"Rajvir Dahiya, Ph.D."	Rajvir		Dahiya	Ph.D.	Professor	Urology	Prostate Cancer		
"Phillip Febbo, M.D."	Phillip		Febbo	M.D.	Associate Professor	Medicine	Prostate Cancer		
"Robert J. Fletterick, Ph.D."	Robert	J.	Fletterick	Ph.D.	Professor	Biochemistry and Biophysics	Prostate Cancer		
"Lawrence Fong, M.D."	Lawrence		Fong	M.D.	Associate Professor	Medicine	Prostate Cancer		
"John Kurhanewicz, Ph.D."	John		Kurhanewicz	Ph.D.	Professor	Radiology	Prostate Cancer		
"Long-Cheng Li, M.D."	Long-Cheng		Li	M.D.	Assistant Adjunct Professor	Urology	Prostate Cancer		
"Susan Noworolski, Ph.D."	Susan		Noworolski	Ph.D.	Assistant Professor	Radiology	Prostate Cancer		
"Pamela Paris, Ph.D."	Pamela		Paris	Ph.D.	Associate Professor	Urology	Prostate Cancer		
"Mack Roach III, M.D."	Mack		Roach III	M.D.	Professor & Chair	Radiation Oncology	Prostate Cancer		
"Sabrina Ronen, Ph.D."	Sabrina		Ronen	Ph.D.	Associate Professor	Radiology	Prostate Cancer		
"Davide Ruggero, Ph.D."	Davide		Ruggero	Ph.D.	Assistant Professor	Urology	Prostate Cancer		
"Charles J. Ryan, M.D."	Charles	J.	Ryan	M.D.	Associate Professor	Medicine	Prostate Cancer		
"Frederick Schaufele, Ph.D."	Frederick		Schaufele	Ph.D.	Associate Professor	Medicine	Prostate Cancer		
"Youngho Seo, Ph.D."	Youngho		Seo	Ph.D.	Assistant Professor	Radiation Oncology	Prostate Cancer		
"Marc Shuman, M.D."	Marc		Shuman	M.D.	Professor	Medicine	Prostate Cancer		
"Eric J. Small, M.D."	Eric	J.	Small	M.D.	Professor	Medicine	Prostate Cancer		
"Daniel B. Vigneron, Ph.D."	Daniel	B.	Vigneron	Ph.D.	Professor	Radiology	Prostate Cancer		
"John S. Witte, Ph.D."	John	S.	Witte	Ph.D.	Professor	Epidemiology and Biostatistics	Prostate Cancer		
"Keith Yamamoto, Ph.D."	Keith		Yamamoto	Ph.D.	Professor and Chair	Cellular and Molecular Pharmacology	Prostate Cancer		
"Neal L. Benowitz, M.D."	Neal	L.	Benowitz	M.D.	Professor	Medicine	Tobacco Control		
"Lisa A. Bero, Ph.D."	Lisa	A.	Bero	Ph.D.	Professor	Clinical Pharmacy	Tobacco Control		
"Karen Butter, M.L."	Karen		Butter	M.L.	University Librarian and Assistant Vice Chancellor	Library Svcs. and Instructional Technology	Tobacco Control		
"Mark Eisner, M.D., MPH"	Mark		Eisner	"M.D., MPH"	Associate Professor	Medicine	Tobacco Control		
"Stanton A. Glantz, Ph.D."	Stanton	A.	Glantz	Ph.D.	Professor	Medicine	Tobacco Control		
"Joseph Guydish, Ph.D."	Joseph		Guydish	Ph.D.	Professor	Institute for Health Policy Studies	Tobacco Control		
