last_name	first_name	degree	username	description
Omary	Reed	"MD, MS"	aor766	
Paller	Amy	MD	apaller	"<p>Dr. Paller's laboratory has shown that gangliosides, which are glycosphingolipids of the cell membrane, impact several biologic processes and signaling pathways of normal keratinocytes and the squamous carcinoma cells in vitro. These cell functions, (e.g., proliferation, survival, and adhesion, spreading, and migration on a fibronectin matrix) involve activation of the epidermal growth factor receptor and a5_1 integrin, and are critical for cancer cell function. Caveolin-1-containing signaling domains in membranes are sites of coupling of receptors and signaling molecules. Dr. Paller's laboratory has shown that specific gangliosides co-immunoprecipitate with caveolin-1 and receptors, including a5_1 and the EGFR, suggesting that gangliosides affect caveolin-1 mediated signaling in squamous carcinoma cells. The laboratory has demonstrated that ganglioside GM3 shifts caveolin-1 from detergent-insoluble domains into detergent-soluble domains in proximity with the EGFR. Given the known inhibitory effect of caveolin-1 on the EGFR, this finding suggests that ganglioside may serve as a shuttle molecule to facilitate caveolin-1 interaction with receptors. These in vitro studies have been extended to mouse tumor models, in which gene modulation of ganglioside expression has been shown to alter the proliferative and apoptotic potential of squamous cell carcinomas. The laboratory is currently evaluating the effects of endogenous ganglioside modulation on carcinogenesis and wound healing in vivo using a transgenic mouse model of epidermis-specific ganglioside depletion."
Mazar	Andrew	PhD	apm680	
Rosenzweig	Amy	PhD	aro764	"<p>The goal of Dr. Rosenzweig's research program is to understand metalloprotein function on the molecular level by using X-ray crystallographic, biophysical, and biochemical techniques. Projects in her laboratory are divided into two areas, metal trafficking proteins and metalloenzymes, with an increasing focus on structural characterization of integral membrane proteins. In the metal trafficking area, she is focusing on the Wilson disease protein and homologs. Recently, this copper transporting ATPase has been shown to be upregulated in cells resistant to the anticancer drug cisplatin. She is working to understand how these ATPases bind and transport metal ions on the molecular level. In the metalloenzyme area, Dr. Rosenzweig is working on ribonucleotide reductase (RNR) from both yeast and E. coli. Her recent work on yeast RNR is particularly relevant since eucaryotic RNRs are a target for anticancer drugs."
Stegh	Alexander H	PhD	asc380	
Levenson	Anait S.	"MD, PhD"	asl648	"<p>The major research interest of the Levenson group is to understand molecular mechanisms of bone metastasis in breast and prostate cancer. The Levenson lab is particularly interested in hormonal regulation of the bone metastasis in breast cancer and identification of metastasis-associated estrogen-regulated genes, which are potential targets for hormonal anticancer therapy. Her lab is also examining natural products that might be valuable for cancer chemoprevention.  Resveratrol, found in grapes and present in red wine, has been characterized as a phytoestrogen based on its ability to bind and activate both ER alpha and beta. The molecular mechanisms by which resveratrol exerts its cancer-preventive effects are not known. Her lab is also characterizing the estrogenic/antiestrogenic properties of resveratrol and its action via both ERs."
Thompson	Alexis A	MD	ath523	
Apkarian	A. Vania	PhD	ava459	"<p>Dr. Apkarian is a neurophysiologist studying the physiology of pain mechanisms in rats, non-human primates, and more recently in humans. He uses multi-electrode physiological methods in the non-human research and Magnetic Resonance (MR) techniques in humans. In normal subjects, he is using functional MR imaging to characterize the brain network underlying pain perception and identifying pathophysiological changes in this network for various clinical pain syndromes. To this end, the work has concentrated in devising methodologies that can be used across the spectrum of clinical pain syndromes. Another direct extension of these studies is determining the effects of various therapies on the cortical network for pain. Currently, Apkarian is the PI of two NIH/NINDS R01s and another NIH/NINDS R21. Current work has developed a number of brain biomarkers that define chronic pain states in humans and that indicate that chronic pain induces cortical reorganization. Based on these human studies, Apkarian's group has been investigating cellular and molecular mechanisms of the impact of chronic pain on the cortex in rodent models. The results of the latter studies point to specific prefrontal circuitry and specific receptor site as a critical link for chronic pain behavior. These studies revealed new potential therapeutics that show efficacy in controlling cancer chemotherapy induced neuropathic pain in rats."
Heinemann	Allen	PhD	awh	"<p>Dr. Heinemann he been on faculty at the Rehabilitation Institute of Chicago (RIC) where he directs the Center for Rehabilitation Outcomes Research, a rehabilitation-focused health services research unit. He is also Associate Director of Research at RIC and professor in the Department of Physical Medicine and Rehabilitation. He serves on the Executive Committee for Northwestern University's Institute for Healthcare Studies and co-directs its fellowship which includes postdoctoral fellows with a cancer emphasis. His research interests focus on health services research, psychosocial aspects of rehabilitation including substance abuse, and measurement issues in rehabilitation. He is the recipient of funding by the National Institute on Disability and Rehabilitation Research (RRTC on Measuring Rehabilitation Outcomes and Effectiveness, DRRP on Health Services Research, Switzer Fellowship, Field Initiated Projects, Innovation Award, several RRTC projects), the National Institute on Alcohol Abuse and Alcoholism, Centers for Disease Control, the Social Security Administration, the Substance Abuse and Mental Health Services Administration, the J.M. Foundation, the Paralyzed Veterans of America-Spinal Cord Research Foundation, and the American Occupational Therapy Foundation and Association. He is a fellow of the American Psychological Association (Division 22) and a diplomate in Rehabilitation Psychology (ABPP). He is past president of the American Congress of Physical Medicine and Rehabilitation and the Rehabilitation Psychology division of the American Psychological Association. He serves as a study section member for NIH, as the Congress Editor for the Archives of Physical Medicine and Rehabilitation, on the editorial board of NeuroRehabilitation, International Journal of Rehabilitation and Health, Journal of Applied Measurement, the Journal of Head Trauma Rehabilitation, and Rehabilitation Psychology. He is the recipient of the Division 22 (Rehabilitation Psychology _ of the American Psychological Association) Roger Barker Distinguished Career Award. His cancer-related work began 10 years ago by examining functional improvement during cancer rehabilitation. Several years ago, drawing on structural support of the RHLCCC, Dr. Cella engaged Dr. Heinemann in cancer-relevant research outside the rehabilitation treatment setting. This has brought tremendous rehabilitation and measurement expertise to our research efforts, and helped us bridge traditional measurement and conceptual differences between rehabilitation and more general health status measures. Since 2000, a component of Dr. Heinemann's funded time has included the NCI, through his collaborations in item banking and on PROMIS (including the NCI-sponsored cancer component) with Cella, Lai, and others."
Yasko	Alan W	"MD, MBA"	awy956	
Thimmapaya	Bayar	PhD	bayar	"<p>Cell cycle S phase induction and cell transformation by adenovirus E1A oncoprotein is dependent on its binding to and inactivating several host proteins.  These are chromatin-associated proteins that play a role in gene regulation and include p400 (a transcription regulatory protein), p300/CBP (two highly homologous transcriptional co-activators and histone acetyl transferases), PCAF (p300/CBP associated factor) and the pocket family proteins pRb, p107 and p130.  Thimmapaya laboratory focuses on the consequences of E1A interactions with the these cellular proteins on cell cycle G1-S transition, cell cycle progression, and cell transformation. His laboratory recently showed when p300 is depleted in quiescent cells, c-Myc and S phase are induced, and the induction of S phase is dependent on c-Myc induction.  Similarly, in cells capable of conditionally over-expressing p300, serum-stimulated induction of c-Myc and S phase are repressed.  In quiescent cells, repression of gene expression by p300 is specific for c-Myc (Proc. Natl. Acad. Sci. 2003, 100:9524).  Depletion of CBP in quiescent cells also leads to the same effect, and surprisingly, cells that enter S phase do not complete cell cycle but stop at mid S phase and then apoptose suggesting that normal levels of both p300 and CBP are essential for c-Myc repression in quiescent cells, and the normal levels of both these proteins are also necessary for cell cycle progression.  In other studies, Thimmapaya laboratory also showed that E1A induces c-Myc and S phase in quiescent cells only when it binds to p300 and Rb; binding to p400 is not linked to c-Myc induction or S phase.  Thus, one of the consequences of E1A interaction with the p300 and Rb is to induce c-Myc that is critical for G1-S transition and cell transformation. These studies have broad implication in DNA tumor virus biology, in that one or more virus-encoded tumor antigens may induce c-Myc by binding to and inactivating the chromatin associated protein complexes."
B. Benson III	Al	MD	benson	"<p>Dr. Benson is an oncologist who serves as Director for the RHLCCC's Protocol Review and Monitoring System and as Chair of the GI Committee for the Eastern Cooperative Oncology Group. His prevention research interests include coordinating Northwestern's participation in multicenter trials. In addition, he is a Co-Investigator on an ECOG study of genetic susceptibility for breast, colon, lung and prostate cancer involving 4,000 affected sibling pairs."
Grzybowski	Bartosz	PhD	bgr639	
Jung	Barbara	MD	bhj521	
Spring	Bonnie	PhD	bjs962	"<p>Dr. Spring is Professor of Preventive Medicine and Co-Program Leader for Cancer Prevention.  Her research focuses on behavioral risk factors for cancer: tobacco use, poor quality diet, physical inactivity, and obesity. Currently she is PI of two behavioral mechanism studies and one clinical trial, and is co-investigator on a number of other NIH-funded studies. The behavioral mechanism studies, funded by NIH and by VA, respectively, examine whether self-administering treat foods and nicotine accomplishes mood-regulating effects, and whether sensitivity to those effects is heightened for individuals with comorbid vulnerability to depression. The Make Better Choices (MBC) clinical trial (NHLBI) incorporates a personal digital assistant (PDA) tool for self-monitoring and decision support, plus distance personal coaching to promote change in two diet and two activity behaviors. Funding is pending for a VA-supported clinical trial to test a PDA tool to promote weight loss among obese veterans, and for an NCI-supported study to examine whether targeted physician mailing to women scheduled for follow-up of an abnormal PAP test can increase calls to the Cancer Information System, enhance appropriate medical follow-up, and improve satisfaction with provider-patient communication at the follow-up medical visit."
Hitsman	Brian	PhD	blh670	
Mitchell	Brian	PhD	bmd525	
Hoffman	Brian	PhD	bmh176	"<p>Dr. Hoffman's research program at the interface between chemistry and biophysics focuses on the development of novel imaging and therapeutic agents. Dr. Hoffman has found that porphyrin analogues, called porphyrazines, possess the required intense, long-wavelength absorption needed for optical imaging. In addition, it is well established that porphyrinic macrocycles tend to localize in neoplastic tissue, and such a characteristic in these new compounds would place them in a unique position to serve as breast-tumor imagers.  Recent work has shown that optical imaging of breast tumors holds great promise of offering an effective, safe, noninvasive and inexpensive breast-tumor imaging modality. Tissue does not absorb light at wavelengths beyond the absorbance of hemoglobin, ~ 750 nm, as can be seen by holding a flashlight up to one's hand.  Considerable progress has been made in developing the technologies to reconstruct an image from the many photons of long-wavelength light that scatter and the relatively few •ballisticê photons that make it straight through the tissue.  Just as with other imaging modalities, tumor images would be greatly enhanced and sharpened by the use of contrast agents that absorb the wavelength of light employed.  Most beneficial would be contrast agents that (i) localize in neoplastic tissue, and thereby highlight the tumors; (ii) absorb strongly at long wavelengths not absorbed by the surrounding, healthy tissue. The porpyhrazines developed by Dr. Hoffman's interdisciplinary group meet many of these criteria."
Mittal	Bharat	MD	bmi218	"Dr. Bharat Mittal's research interest focuses on the use of combined modality 
        therapy for the treatment of Head and Neck Cancers and Hematologic malignancies. 
        He participates in studies from various Natioanl Coperative groups like 
        RTOG and ECOG. He is a member of multidisciplinary tumor boards for Head 
        and Neck Cancers and Hematologic malignancies. His clinical investigations 
        include the use of various Radiation techniques to decrease the toxicity 
        from Chemo-Radiation and improve quality of life in Head and Neck Cancer 
        patients. He is also exploring the use of Total Nodal Irradiation as a 
        part of Bone Marrow Transplant to treat recurrent Hodgkin's disease. He 
        has been an investigator in NIH funded program project, that looked at 
        rehabilitation issues in Head and Neck Cancers."
Mirkin	Chad	PhD	cam493	"<p>Dr. Mirkin's lab has developed a highly sensitive and selective immunoassay for detecting proteins at ultra-low concentrations. This assay, called the bio-barcode assay, is up to six orders of magnitude more sensitive than comparable conventional ELISA assays, and allows detecting single proteins or multiple different ones in the same sample. The versatility, user friendliness, and potential of this assay for point-of-care applications will make it an invaluable diagnostic tool for clinicians and medical researchers. Among the numerous advantages of the assay are the potential to utilize new disease markers or panels of existing markers that could not be considered due to sensitivity limitations, easier disease monitoring, and accurate diagnosis of a variety of cancers. So far, this assay has been developed for various cancer markers including the PSA, AFP, HCG and inhibin proteins."
Brendler	Charles B.	MD	cbb511	
Bennett	Charles	"MD, PhD"	cbe282	"<p>Dr. Bennett is Professor of Medicine and the co-director for the Cancer Control Program for the Cancer Center. Part of his research focuses on patterns of care, quality of life, and outcomes for men with prostate cancer and a second area of focus is on improving the quality of care received by Veterans who experience a positive screening test for cancer. His research is designed to reduce the suffering of racial/ethnic minorities who are at risk for prostate cancer or who have developed prostate cancer.  He is currently PI for an American Cancer Society Merit Review Grant evaluating men with PSA failure who receive care at Cook County and the University of Illinois hospitals in Chicago and a PI for a Merit Review grant from the Department of Veterans Affairs evaluating similar questions for Veterans with PSA failure. Dr. Bennett is also the PI for the NCI funded U01 Project, the Chicago Navigator program. This randomized controlled trial is designed to navigate an intervention group of Veterans with an elevated PSA through to diagnosis and treatment of prostate cancer or to a negative biopsy."
LaBonne	Carole	PhD	cbl517	"<p>Research in the LaBonne lab focuses on the regulation of, the neural crest, a population of embryonic cells that give rise to a wide range of pediatric and adult cancers including neuroblastoma and melanoma. These proliferative, migratory, tissue invasive stem cells undergo an epithelial-mesenchymal transition (EMT) at a key stage in their development, and migrate extensively to populate target tissues throughout the embryo.  A number of proteins that control key aspects of normal neural crest development are misregulated neural crest derived tumors, therefore examining the regulatory programs that control the normal development of neural crest cells can provide important insight into how such programs are inappropriately reactivated during tumorigenesis.  Dr. LaBonne's laboratory actively studies these links, with neuroblastoma and melanoma as a major focus of study. Moreover, as it has become increasingly clear that the mechanisms that control developmental and pathological EMT's are highly conserved, the neural crest has emerged as an important in vivo model system for understanding the cellular and molecular events underlying this process during tumor progression.  Dr. LaBonne's laboratory studies the function and posttranslational regulation of two classes of transcription factors, Snail family repressors, and Twist-related activators, that are key molecular regulators of EMTs in both neural crest development and in tumor progression. Dr. LaBonne's group also collaborates with Dr. Meade in the Department of Chemistry on the characterization of novel cobalt (III) Schiff base compounds designed to interfere with Snail function, and in evaluating the therapeutic potential of these agents as inhibitors of pathological EMTs and tumor cell invasiveness."
Clevenger	Charles	"MD, PhD"	ccl754	"<p>Dr. Clevenger has been recruited from University of Pennsylvania and is also a leader of the Breast Cancer Program of the RHLCCC of the Northwestern University.  The research focus in Dr. Clevenger's lab is the characterization of prolactin (PRL) receptor signal transduction and function as it pertains to breast cancer and mammary gland development. The PRL receptor (PRLr) is a member of the growth factor/cytokine receptor family, which includes the receptors for interleukin 2-7, GM-CSF, erythropoietin, and growth hormone. Within humans, PRL functions at the endocrine and autocrine/paracrine levels as a growth and differentiation factor within the breast, a hypothesis first postulated by Dr. Clevenger's laboratory. Indeed, recent data from Dr. Clevenger's laboratory have also demonstrated that PRL serves as a chemoattractant for human breast carcinoma. Therefore, one of Dr. Clevenger's major aims is the characterization of those mechanisms that regulate PRL/PRLr expression and action in both normal and neoplastic tissues. PRL action in human tissues is mediated by six prolactin receptor isoforms, three of which were initially identified and characterized by Dr. Clevenger's laboratory lab. In addition to these non-genomic transduction pathways mediated by PRL via its interaction with JAK/Stat, Vav2/Rac, Dr. Clevenger's laboratory has recently identified a direct genomic action of PRL on gene expression. As such, Dr. Clevenger's findings present vantage points in the development of novel therapies aimed at modulating PRL action during the differentiation of the human breast and the pathogenesis of malignancy in this tissue."
Cheng	Chonghui	"MD, PhD"	cct810	
Gottardi	Cara	PhD	cgo790	"<p>Dr. Gottardi's research centers on understanding mechanisms of cell-cell adhesion and how adhesive information is conveyed to the cell's interior. Research is focused on the cytoplasmic protein, beta (b)-catenin, which plays essential roles in both intercellular adhesion and nuclear signaling. At the cell surface, b-catenin binds the cytoplasmic domain of cadherin-type adhesion receptors, which allows cells to engage their neighbors through robust intercellular adhering junctions. In the cytoplasm and nucleus, a cadherin-independent pool of b-catenin transduces extracellular Wnt signals by interacting with TCF-type transcription factors to activate target genes. What precisely controls b-catenin targeting to cadherin-based adhesive, or TCF-transcription complexes is not well-understood. This question is important since b-catenin that is bound to the cadherin exhibits tumor suppressor activity, while b-catenin that is bound to TCF exhibits oncogenic activity. Thus, understanding how b-catenin is targeted to adhesive or signaling complexes will be a crucial first step towards considering strategies that seek to inhibit the oncogenic, but not the tumor suppressor activity of b-catenin."
Chandel	Navdeep	PhD	cha994	"<p>Dr. Chandel's laboratory is interested in the regulation of tumor angiogenesis and apoptosis in response to oxygen deprivation. The growth of solid tumors requires an adequate supply of oxygen and nutrients. Tumor cells tend to proliferate at a rate that exceeds the supply of oxygen and nutrients provided by blood vessels and are therefore limited in size. Accordingly, tumor cells starved for oxygen (hypoxia) release factors such as vascular endothelial growth factor (VEGF) to promote the formation of new blood vessels, a process known as angiogenesis. As tumor cells await angiogenesis to replenish deprived oxygen and nutrients, conditions develop where apoptosis may occur in response to a lack of oxygen and glucose. The Lab focuses on two questions: 1. How do cells detect decreases in oxygen to activate angiogenesis? 2. Why do cells die in the absence of oxygen?"
Chatterton	Robert	PhD	chat	"<p>Dr. Chatterton's primary research focus is on hormonal regulation of breast cancer susceptibility and growth. The regulation of the enzymes of steroid biosynthesis in the breast has been a major focus, particularly those involved in aromatization of adrenal androgens, steroid sulfatases, steroid sulfotransferases, and the several hydroxysteroid dehydrogenases. The kinetics of estrogen and androgen metabolite formation is being studied as well as the retention of estrogenic metabolites of androgens such as 5-androstene-3beta,17 beta-diol. The lab continues to be involved in the fractionation and measurement of steroid hormones in nipple aspirate fluid and breast ductal lavage fluid as well as measurement of cytokines and growth factors that promote the biosynthesis of estrogens in the breast. In addition, targets of estrogen action, TFF-1, cathepsin D, and EGF, are measured in breast fluid to assess the effect of tamoxifen, raloxifene and aromatase inhibitors on estrogenic activity in the breast. These studies involve Dr. Seema Khan, who provides the breast fluid and breast biopsy tissues, and Dr. Michael Avram, who quantifies the drugs in serum and breast fluid by HPLC-Mass spectrometry. The lab is also involved in a study with Dr. Agustin Garcia at Cedars Sinai Medical Center on the effects of omega-3 fatty acids on intermediate markers of breast cancer. The effect on steroid hormone levels, IGF-I, and IGFBP-3 of a diet high in omega-3 fatty acids is being compared to a control diet.  Breast fluid is being collected and estrogens and products of estrogen action are being measured. A clinical trial of soy isoflavone supplementation in high- risk women with Dr. Seema Khan and Raymond Bergan has started recently, and will involve similar measurements."
Chang	Chih-Hung	PhD	chchang	"<p>Dr. Chang is an Associate Professor of Medicine and the Director of Methodology and Infometrics Section at the Buehler Center on Aging, Health & Society, Feinberg School of Medicine, Northwestern University. Dr. Chang graduated from National Cheng Chi University in Taiwan in 1987, where he received his bachelor's degree in Psychology. Dr. Chang is nationally recognized psychometrician with pioneering expertise in applying item response theory to QOL and patient-reported outcome assessments. He also has unparalleled expertise in item banking and computerized adaptive testing. He has authored more than 40 articles in peer-reviewed journals using item response theory and Rasch models and serves as co-editor of Quality of Life Research journal. His research interests include: item response theory, hierarchical linear models, structural equation modeling, patient-reported outcomes assessment, health-related QOL measurement, palliative and end-of-life research, and technology assessment. Dr. Chang's research focuses on QOL measurement in cancer and geriatrics. Dr. Chang leads an R21 grant in the area of QOL measurement and participates in several projects whose objectives are to: 1) equate different QOL instruments to allow for scores obtained from different instruments being converted and compared; 2) develop a computerized phone activating self-survey (ComPASS) system in breast cancer management; 3) develop a data collecting tool with hand-held computers in advanced non-small cell lung cancer patient care to assist physicians and patients to make informed treatment decision making; 4) develop a computerized adaptive testing (CAT) platform based on item response theory for obtaining precise QOL estimates with minimal number of questions. He also collaborates with Dr. Paice on a high-tech approach to pain treatment (–NOPAIN” program)."
Chisholm	Rex	PhD	chisholm	"<p>Dr. Chisholm's laboratory studies the fundamental mechanisms responsible for cell migration. He is particularly interested in the actin cytoskeleton and the regulation of contractile activity in the cells. Since cell migration plays a critical role in tumor metastasis, understanding how it is regulated may highlight novel theraputic targets. He is also interested in how human genetic variation contributes to cancer susceptibility and theraputic outcomes. He established the NUgene resource to facilitate studies of the genetic components of cancer susceptibility and theraputic outcomes. This resource consists of human DNA samples that are highly annotated with detailed clinical information. The database currently contains information on over 4000 participants."
Horvath	Curt	PhD	cho741	"<p>The interferon (IFN), the IFN response, and cellular signal transduction are key in the regulation of normal cell growth.  In addition, due to their antiviral, antiproliferation, and immunomodulatory properties, including antitumor effects, interferons have been used for treatment of certain malignancies.  Treatment of hairy cell leukemia (HCL) and chronic myelogenous leukemia (CML) with interferons has been particularly encouraging, and combination therapies including IFN treatments are becoming more common.  In addition to their importance for cancer treatment, IFNs are also effective as antiviral therapies for chronic virus infections like Hepatitis C and HIV. Research in the Dr. Horvath's laboratory focuses on signal transduction and gene expression in mammalian cells with a focus on the INF pathway.  The goal of the research program is to understand the molecular events controlling inducible gene expression during innate immune responses to virus infections.  Several research projects in the laboratory are being pursued at the molecular, biochemical, and cell biological levels.  These projects can be subdivided into two major arenas that are complementary and cross-fertilizing:  (I) Regulation of the mammalian cellular antiviral response and  (II) Viral countermeasures that evolved to evade the host antiviral responses.  These two areas of investigation not only provide a rich milieu from which to glean basic insights into the molecular basis of gene regulation, signal transduction, and host pathogen interactions, but also serve to identify key factors that are potential targets for diagnostic or pharmaceutical intervention.  To date, the lab has characterized transcriptional co-activators essential for interferon mediated gene expression and one class of co-activators, protein deacetylase enzymes (HDACs), that are essential for interferon biosynthesis and antiviral responses.  In addition, several mechanisms by which RNA viruses evade the host antiviral response have been studied in biochemical detail, including those of medically important viruses like measles, mumps, human parainfluenza, and Nipah viruses.  A better understanding of the INF pathway, the regulation of mammalian signal transduction, and mammalian gene expression will is clearly applicable to cancer research were such pathways play key roles."
Lee	Chung	PhD	chunglee	"<p>As the Program Leader and PI of the prostate cancer SPORE, Dr. Chung Lee interacts with all investigators listed in this Program. Dr. Lee's publications demonstrate his historic interactions with Dr. Raymond Bergan, Dr. Michael Pins, Dr. Alfred Rademaker, Dr. Timothy Kuzel, Dr. Kevin McVary and Dr. Ximing Yang. Dr. Lee's laboratory research focuses on two aspects of prostate cancer research. The first area is the biology of prostate cancer apoptosis. The second project is focused on understanding the role of TGF-_ in prostate cancer, particularly focusing on blocking TGF-_ signaling through TGF-b -based gene therapy in prostate cancer."
Moskal	Joseph R.	PhD	cinnmosk	
Larson	Andrew C.	PhD	cla486	
Goolsby	Charles	PhD	clg879	Information to come.
Pugh	Carla	"MD, PhD"	cpu125	"<p>Dr. Pugh is Assistant Professor of Surgery and Associate Director of the Center for Advanced Surgical Education at Northwestern. Dr. Pugh has a broad interest in the use of technology for medical and surgical education and in the use of simulators to objectively assess hands-on clinical skills. In her studies using the pelvic exam simulator as an assessment tool, results showed that students who are learning the pelvic exam apply more pressure, more frequently during an examination compared to experienced clinicians. She also noticed that students who do not palpate with a minimum level of pressure and frequency are less likely to generate an accurate diagnosis. Dr. Pugh is currently conducting similar research studies with breast and prostate simulators she developed. She is also working with the National Board of Medical Examiners to support the use of her simulators as assessment tools on the United States Medical Licensing Examination. Her long-term goals are to establish performance standards for clinical skills including cancer screening physical examinations."
Stehlik	Christian	PhD	cst567	
Thaxton	C. Shad	"MD, PhD"	cst694	
Wang	Chyung-Ru	PhD	cwi685	
