Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA OBSTET GYN SCAN;0001-6349;5280;1.356;1.699;0.337;196;7.7;0.01270;0.488;
ACTA ONCOL;0284-186X;3416;2.739;2.561;0.847;176;7.3;0.00780;0.683;
ACTA ORTHOP;1745-3674;5870;1.762;1.968;0.274;124;>10.0;0.00913;0.596;
ACTA OTO-LARYNGOL;0001-6489;5152;0.868;1.035;0.072;223;>10.0;0.00959;0.343;
ACTA PAEDIATR;0803-5253;8608;1.517;1.740;0.222;320;9.5;0.01904;0.544;
ACTA PARASITOL;1230-2821;472;0.748;0.835;0.088;57;7.0;0.00158;0.287;
ACTA PHARMACOL SIN;1671-4083;3498;1.676;1.731;0.209;187;5.0;0.01085;0.425;
ACTA PHYS-CHIM SIN;1000-6818;1230;0.673;0.554;0.129;410;3.7;0.00281;0.083;
ACTA PHYSIOL PLANT;0137-5881;548;0.807;0.764;0.143;105;6.9;0.00116;0.168;
ACTA PHYTOTAXON SIN;0529-1526;417;0.324;0.333;;0;>10.0;0.00068;0.087;
ACTA POLYM SIN;1000-3304;823;0.565;0.551;0.045;200;4.6;0.00138;0.064;
ACTA PROTOZOOL;0065-1583;493;1.013;0.914;0.000;16;7.6;0.00128;0.292;
ACTA SOC BOT POL;0001-6977;433;0.418;0.413;0.089;45;>10.0;0.00040;0.084;
ACTA THERIOL;0001-7051;1065;1.118;1.020;0.226;31;>10.0;0.00156;0.288;
ACTA TROP;0001-706X;3373;1.707;2.375;0.308;169;6.1;0.01033;0.683;
ACTA VIROL;0001-723X;683;0.810;0.888;0.088;34;>10.0;0.00075;0.201;
ACTA ZOOL ACAD SCI H;1217-8837;202;0.522;0.359;0.083;24;>10.0;0.00030;0.104;
ACTA ZOOL-STOCKHOLM;0001-7272;699;1.333;1.271;0.250;32;>10.0;0.00138;0.433;
ACTAS ESP PSIQUIATRI;1139-9287;254;0.446;0.543;0.060;50;4.8;0.00069;0.110;
ACUPUNCTURE ELECTRO;0360-1293;243;0.692;0.782;0.053;19;>10.0;0.00020;0.115;
ADANSONIA;1280-8571;213;0.444;;0.267;15;>10.0;0.00043;;
ADAPT PHYS ACT Q;0736-5829;409;0.837;1.009;0.000;18;9.3;0.00057;0.231;
ADDICT BIOL;1355-6215;842;4.953;3.092;0.630;46;3.7;0.00377;0.919;
ADSORPT SCI TECHNOL;0263-6174;554;0.424;0.687;0.000;32;6.9;0.00122;0.161;
ADSORPTION;0929-5607;791;1.237;1.269;0.146;82;4.8;0.00298;0.369;
ADV ANAT EMBRYOL CEL;0301-5556;351;1.778;3.000;0.000;6;>10.0;0.00072;0.988;
ADV ANAT PATHOL;1072-4109;846;3.690;3.260;0.533;30;4.1;0.00345;0.922;
ADV APPL MICROBIOL;0065-2164;705;1.658;2.205;0.240;25;>10.0;0.00184;0.742;
ADV APPL PROBAB;0001-8678;1544;0.807;1.035;0.093;54;>10.0;0.00648;1.037;
ADV CANCER RES;0065-230X;1885;4.721;5.818;0.957;23;9.0;0.00427;2.191;
ADV CARBOHYD CHEM BI;0065-2318;747;3.000;3.200;;;>10.0;0.00035;1.043;
ADV CATAL;0360-0564;1441;4.812;6.800;;0;>10.0;0.00109;2.468;
ADV CHROMATOGR;0065-2415;224;2.600;2.036;;;>10.0;0.00042;0.669;
ADV CHRONIC KIDNEY D;1548-5595;291;1.673;1.506;0.444;45;2.6;0.00171;0.429;
ADV COLLOID INTERFAC;0001-8686;4491;5.333;5.650;0.958;48;7.5;0.01265;1.846;
ADV DRUG DELIVER REV;0169-409X;12455;8.287;10.625;2.302;126;6.4;0.03288;2.972;
ADV FUNCT MATER;1616-301X;12257;6.808;8.203;0.758;422;3.3;0.08039;2.848;
ADV IMMUNOL;0065-2776;2245;8.625;7.078;0.227;22;9.7;0.00946;4.184;
ADV MATER;0935-9648;49008;8.191;10.231;0.957;772;5.3;0.21333;3.543;
ADV MICROB PHYSIOL;0065-2911;904;8.250;8.708;1.750;4;>10.0;0.00223;4.199;
ADV NURS SCI;0161-9268;929;1.211;1.451;0.172;29;>10.0;0.00103;0.327;
ADV PARASIT;0065-308X;1153;5.514;5.708;1.500;4;8.9;0.00312;1.953;
ADV PHYS ORG CHEM;0065-3160;487;1.833;2.636;0.333;6;>10.0;0.00052;1.058;
ADV POLYM SCI;0065-3195;3725;6.802;7.089;0.385;52;9.0;0.01183;2.628;
ADV POLYM TECH;0730-6679;484;0.979;1.061;0.000;6;8.9;0.00096;0.329;
ADV PROTEIN CHEM;0065-3233;2693;3.875;5.586;0.000;4;>10.0;0.00848;2.875;
ADV QUANTUM CHEM;0065-3276;729;3.000;0.990;0.305;59;>10.0;0.00154;0.359;
ADV STUD BEHAV;0065-3454;881;2.500;4.184;0.222;9;>10.0;0.00204;1.878;
ADV THER;0741-238X;591;0.973;0.997;0.074;122;3.5;0.00218;0.248;
ADV VIRUS RES;0065-3527;1279;4.886;5.495;0.000;11;7.6;0.00494;2.042;
AESTHET PLAST SURG;0364-216X;1384;0.782;1.078;0.155;142;8.1;0.00296;0.289;
AFR J HERPETOL;0441-6651;69;0.600;;0.000;4;;0.00031;;
AFR J MICROBIOL RES;1996-0808;9;0.409;0.409;0.000;45;;0.00003;0.066;
AFR ZOOL;1562-7020;147;0.437;0.527;0.138;29;5.2;0.00064;0.157;
AGEING RES REV;1568-1637;1064;6.209;6.288;2.040;25;4.2;0.00549;1.983;
AGGRESSIVE BEHAV;0096-140X;1454;2.056;2.129;0.245;53;8.8;0.00376;0.728;
AGING CELL;1474-9718;2083;7.791;7.585;1.059;85;2.7;0.01673;3.043;
AGING MALE;1368-5538;351;2.622;;0.083;24;4.3;0.00114;;
AIDS PATIENT CARE ST;1087-2914;1489;2.392;2.486;0.309;97;4.1;0.00622;0.699;
AIDS RES HUM RETROV;0889-2229;4244;2.024;2.080;0.383;196;7.0;0.01346;0.725;
AIDS REV;1139-6121;489;3.268;;0.333;21;4.3;0.00362;;
AIDS;0269-9370;20159;5.460;5.561;1.309;353;5.7;0.07848;1.924;
AKTUEL NEUROL;0302-4350;150;0.295;0.217;0.034;58;4.1;0.00024;0.026;
AKTUEL RHEUMATOL;0341-051X;111;0.084;0.233;0.135;37;6.0;0.00011;0.022;
AKTUEL UROL;0001-7868;96;0.168;0.252;0.043;47;;0.00023;0.043;
ALCOHOL;0741-8329;2239;2.363;2.359;0.357;70;8.4;0.00481;0.665;
ALGORITHM MOL BIOL;1748-7188;81;2.081;;0.231;13;;0.00077;;
ALIMENT PHARM THER;0269-2813;3089;1.215;1.205;0.660;268;4.9;0.01252;0.296;
ALLERGOLOGIE;0344-5062;191;0.175;0.201;0.015;66;9.9;0.00012;0.019;
ALLERGY ASTHMA PROC;1088-5412;941;1.487;1.264;0.280;100;4.1;0.00299;0.281;
ALLERGY;0105-4538;9947;6.204;5.553;1.362;188;5.1;0.02893;1.355;
ALTERN MED REV;1089-5159;846;2.808;;0.188;16;6.8;0.00205;;
ALZ DIS ASSOC DIS;0893-0341;1839;3.220;3.204;0.380;50;6.0;0.00570;0.921;
AM BEE J;0002-7626;411;0.155;0.118;0.008;119;>10.0;0.00074;0.057;
AM BIOL TEACH;0002-7685;256;0.308;0.346;0.033;60;8.9;0.00044;0.095;
AM CERAM SOC BULL;0002-7812;1808;0.324;0.382;0.055;55;>10.0;0.00144;0.163;
AM FAM PHYSICIAN;0002-838X;3751;1.940;2.107;0.345;139;6.2;0.00936;0.507;
AM FERN J;0002-8444;268;0.371;0.404;0.062;16;>10.0;0.00019;0.092;
AM HEART J;0002-8703;18847;4.285;4.186;0.909;342;7.2;0.06049;1.453;
AM J AGR ECON;0002-9092;3405;0.967;1.534;0.111;108;>10.0;0.00739;0.672;
AM J BIOETHICS;1526-5161;1062;4.378;4.362;6.900;40;2.6;0.00454;1.373;
AM J BOT;0002-9122;11858;2.642;3.151;0.497;151;>10.0;0.02562;1.181;
AM J CARDIOL;0002-9149;35642;3.905;3.552;0.598;696;7.7;0.10083;1.157;
AM J CHINESE MED;0192-415X;1089;1.058;1.076;0.082;97;6.3;0.00210;0.199;
AM J CLIN DERMATOL;1175-0561;1137;1.554;2.570;0.246;57;5.5;0.00395;0.656;
AM J CLIN NUTR;0002-9165;38998;6.740;7.679;1.083;458;8.0;0.09491;2.246;
AM J CLIN ONCOL-CANC;0277-3732;2859;1.792;1.852;0.155;103;7.2;0.00663;0.486;
AM J CLIN PATHOL;0002-9173;9429;2.715;2.986;0.428;215;9.5;0.01945;0.880;
AM J CRIT CARE;1062-3264;1218;2.043;2.065;0.392;51;6.6;0.00301;0.518;
AM J DENT;0894-8275;1822;1.130;1.529;0.108;74;7.6;0.00372;0.372;
AM J DERMATOPATH;0193-1091;2541;1.477;1.766;0.211;123;9.1;0.00406;0.416;
AM J EMERG MED;0735-6757;3016;1.188;1.561;0.413;143;8.1;0.00713;0.450;
AM J ENOL VITICULT;0002-9254;3623;1.689;2.010;0.190;58;>10.0;0.00333;0.512;
AM J EPIDEMIOL;0002-9262;28967;5.454;6.404;1.258;295;9.5;0.07706;2.588;
AM J FOREN MED PATH;0195-7910;1033;0.523;0.895;0.023;87;8.5;0.00243;0.296;
AM J GASTROENTEROL;0002-9270;26249;6.444;6.432;1.106;339;6.8;0.06526;1.698;
AM J GERIAT PSYCHIAT;1064-7481;3152;4.022;4.212;0.741;112;3.9;0.01367;1.235;
AM J GERIATR CARDIOL;1076-7460;294;1.080;;0.786;14;4.6;0.00108;;
AM J HEALTH-SYST PH;1079-2082;2935;1.763;1.744;0.508;199;4.7;0.00942;0.429;
AM J HEMATOL;0361-8609;4740;2.126;2.118;0.736;174;7.1;0.01244;0.619;
AM J HUM BIOL;1042-0533;1523;1.976;2.134;0.344;93;5.6;0.00553;0.682;
AM J HUM GENET;0002-9297;32980;10.153;11.306;3.039;204;7.1;0.13500;5.422;
AM J HYPERTENS;0895-7061;7748;3.122;3.476;0.739;203;6.3;0.02159;0.969;
AM J IND MED;0271-3586;4517;1.489;1.863;0.240;100;9.6;0.00747;0.549;
AM J INFECT CONTROL;0196-6553;3349;2.678;3.293;0.291;127;5.9;0.01249;1.122;
AM J KIDNEY DIS;0272-6386;17555;4.822;4.908;1.452;248;6.7;0.04098;1.263;
AM J MANAG CARE;1088-0224;2166;2.220;2.553;0.833;84;4.4;0.01137;0.955;
AM J MATH;0002-9327;3354;1.316;1.319;0.192;52;>10.0;0.00988;1.972;
AM J MED GENET A;1552-4825;4825;2.555;2.227;0.378;376;3.4;0.03595;0.772;
AM J MED GENET B;1552-4841;3288;3.932;4.267;0.577;227;3.4;0.02268;1.396;
AM J MED GENET C;1552-4868;751;3.209;4.461;0.414;29;3.7;0.00591;1.616;
AM J MED QUAL;1062-8606;431;1.365;1.403;0.222;45;4.3;0.00213;0.532;
AM J MED SCI;0002-9629;3547;1.360;1.515;0.129;194;>10.0;0.00656;0.441;
AM J MED;0002-9343;23727;5.105;5.230;1.045;201;>10.0;0.04895;1.725;
AM J NEPHROL;0250-8095;2394;3.164;3.114;0.742;120;5.8;0.00688;0.845;
AM J NEURORADIOL;0195-6108;14463;2.745;3.010;0.528;371;7.1;0.03840;0.893;
AM J NURS;0002-936X;975;1.046;0.960;0.138;94;6.6;0.00231;0.233;
AM J OBSTET GYNECOL;0002-9378;31602;3.453;3.572;0.581;566;9.5;0.06363;1.025;
AM J OPHTHALMOL;0002-9394;17315;3.102;3.022;0.745;278;8.0;0.04634;0.961;
AM J ORTHOD DENTOFAC;0889-5406;8040;1.442;2.016;0.121;239;>10.0;0.01008;0.471;
AM J ORTHOPSYCHIAT;0002-9432;2866;1.711;2.425;0.170;53;>10.0;0.00557;0.876;
AM J OTOLARYNG;0196-0709;1390;0.845;1.075;0.060;84;8.7;0.00336;0.325;
AM J PATHOL;0002-9440;34497;5.697;6.200;0.852;324;7.8;0.09795;2.300;
AM J PERINAT;0735-1631;1455;1.158;1.125;0.185;108;9.4;0.00296;0.327;
AM J PHARM EDUC;0002-9459;705;0.936;0.882;0.188;117;4.9;0.00049;0.049;
AM J PHYS ANTHROPOL;0002-9483;7241;2.353;2.690;0.456;147;>10.0;0.01257;0.829;
AM J PHYS MED REHAB;0894-9115;2924;1.695;1.868;0.202;124;6.8;0.00740;0.516;
AM J PHYS;0002-9505;4701;0.831;0.977;0.262;164;>10.0;0.00648;0.335;
AM J PHYSIOL-CELL PH;0363-6143;16421;4.230;4.171;0.635;323;6.7;0.05999;1.572;
AM J PHYSIOL-ENDOC M;0193-1849;16765;3.855;4.129;0.751;301;7.0;0.05338;1.440;
AM J PHYSIOL-GASTR L;0193-1857;13313;3.587;3.645;0.812;298;7.1;0.03663;1.117;
AM J PHYSIOL-HEART C;0363-6135;28177;3.643;3.736;0.594;608;6.5;0.09400;1.236;
AM J PHYSIOL-LUNG C;1040-0605;11814;3.924;4.061;0.753;235;6.0;0.04330;1.374;
AM J PHYSIOL-REG I;0363-6119;17691;3.272;3.556;0.683;458;7.4;0.05174;1.162;
AM J PHYSIOL-RENAL;0363-6127;13879;3.890;4.088;0.622;368;6.3;0.04633;1.327;
AM J POTATO RES;1099-209X;400;0.604;0.890;0.156;45;5.8;0.00108;0.214;
AM J PREV MED;0749-3797;8625;3.766;4.863;2.883;230;5.3;0.03486;1.820;
AM J PRIMATOL;0275-2565;2625;1.681;2.129;0.321;140;9.3;0.00617;0.663;
AM J PSYCHIAT;0002-953X;41537;10.545;10.806;3.113;124;8.1;0.10932;3.658;
AM J PUBLIC HEALTH;0090-0036;22465;4.241;4.984;0.784;264;8.5;0.06395;1.981;
AM J REPROD IMMUNOL;1046-7408;2646;2.172;2.223;0.423;111;7.4;0.00514;0.496;
AM J RESP CELL MOL;1044-1549;9381;4.477;4.282;0.921;177;6.9;0.03084;1.546;
AM J RESP CRIT CARE;1073-449X;43595;9.792;9.263;2.159;309;7.3;0.11875;3.125;
AM J RHINOL ALLERGY;1050-6586;1426;1.553;1.691;0.197;122;4.3;0.00505;0.440;
AM J ROENTGENOL;0361-803X;24743;2.940;2.910;0.496;581;8.8;0.05119;0.824;
AM J SCI;0002-9599;4607;2.270;3.461;0.243;37;>10.0;0.00682;1.998;
AM J SPORT MED;0363-5465;11840;3.646;3.952;0.522;255;8.8;0.02806;1.201;
AM J SURG PATHOL;0147-5185;14886;4.020;4.833;0.623;228;8.3;0.02963;1.275;
AM J SURG;0002-9610;15354;2.605;2.848;0.367;311;>10.0;0.02695;0.773;
AM J TRANSPLANT;1600-6135;10903;6.559;6.281;1.213;310;3.2;0.06443;1.871;
AM J TROP MED HYG;0002-9637;14051;2.450;2.715;0.456;338;9.0;0.03420;0.858;
AM J VET RES;0002-9645;9210;1.280;1.432;0.243;218;>10.0;0.00935;0.341;
AM LAB;0044-7749;323;0.164;0.203;0.028;107;7.9;0.00076;0.064;
AM MALACOL BULL;0740-2783;350;0.375;0.692;0.233;43;>10.0;0.00056;0.280;
AM MATH MON;0002-9890;2011;0.361;0.338;0.090;89;>10.0;0.00330;0.322;
AM MIDL NAT;0003-0031;3282;0.755;0.992;0.093;86;>10.0;0.00319;0.362;
AM MINERAL;0003-004X;11340;1.962;2.286;0.364;220;>10.0;0.02554;1.030;
AM MUS NOVIT;0003-0082;1757;1.265;1.308;0.222;36;>10.0;0.00255;0.538;
AM NAT;0003-0147;21622;4.670;5.508;0.784;190;>10.0;0.04817;2.586;
AM SCI;0003-0996;1698;1.186;1.109;0.333;42;>10.0;0.00273;0.498;
AM STAT;0003-1305;2398;1.233;1.318;0.289;45;>10.0;0.00377;0.806;
AM SURGEON;0003-1348;5928;1.297;1.661;0.119;218;8.5;0.01166;0.450;
AMBUL PEDIATR;1530-1567;886;1.846;2.045;0.396;53;4.6;0.00473;0.738;
AMINO ACIDS;0939-4451;2672;4.132;3.559;0.846;169;3.3;0.00960;0.806;
AMPHIBIA-REPTILIA;0173-5373;758;0.784;0.890;0.106;66;7.7;0.00186;0.264;
AMYLOID;1350-6129;698;1.714;1.909;0.103;29;6.2;0.00207;0.532;
AMYOTROPH LATERAL SC;1748-2968;759;1.815;1.823;0.449;49;5.3;0.00243;0.462;
ANAEROBE;1075-9964;653;1.561;1.383;0.085;47;7.0;0.00197;0.425;
ANAESTH INTENS CARE;0310-057X;1659;0.848;0.969;0.218;119;8.3;0.00332;0.248;
ANAESTHESIA;0003-2409;5868;2.178;2.350;0.792;178;8.7;0.01048;0.548;
ANAESTHESIST;0003-2417;1146;0.876;0.790;0.290;124;6.4;0.00153;0.107;
ANAL BIOANAL CHEM;1618-2642;10385;3.328;3.107;0.595;654;3.3;0.05731;0.885;
ANAL BIOCHEM;0003-2697;36555;3.088;3.145;0.723;433;>10.0;0.04836;1.022;
ANAL CHEM;0003-2700;77792;5.712;5.918;0.831;1221;7.3;0.19839;1.679;
ANAL CHIM ACTA;0003-2670;30968;3.146;3.170;0.504;674;6.3;0.08162;0.808;
ANAL LETT;0003-2719;2879;1.281;1.219;0.129;240;6.3;0.00687;0.280;
ANAL SCI;0910-6340;4486;1.735;1.602;0.296;277;5.4;0.01373;0.408;
ANALYST;0003-2654;11181;3.761;3.472;0.677;226;8.5;0.02270;1.039;
ANASTH INTENSIV NOTF;0939-2661;362;0.194;0.294;0.011;93;7.7;0.00053;0.048;
ANAT EMBRYOL;0340-2061;2588;1.390;1.574;;0;>10.0;0.00383;0.553;
ANESTH ANALG;0003-2999;18093;2.590;2.439;0.895;526;7.0;0.04062;0.616;
ANESTHESIOLOGY;0003-3022;20294;5.124;4.506;1.261;238;8.2;0.04367;1.242;
ANGIOLOGY;0003-3197;2056;1.122;1.123;0.108;139;9.4;0.00294;0.239;
ANIM BEHAV;0003-3472;18476;2.828;3.350;0.550;402;>10.0;0.03659;1.165;
ANIM BIOL;1570-7555;182;0.879;0.959;0.370;27;4.0;0.00109;0.337;
ANIM CELLS SYST;1976-8354;1;;;0.000;41;;0.00000;;
ANIM COGN;1435-9448;879;2.699;3.057;0.438;73;4.7;0.00407;1.054;
ANIM GENET;0268-9146;2456;2.459;2.602;0.274;117;7.0;0.00633;0.711;
ANIM REPROD SCI;0378-4320;3991;1.890;2.395;0.376;263;6.3;0.00903;0.529;
ANIM WELFARE;0962-7286;848;0.669;1.179;0.231;39;6.6;0.00230;0.320;
ANN ACAD MED SINGAP;0304-4602;1587;1.004;1.000;0.418;146;6.4;0.00407;0.260;
ANN ACAD SCI FENN-M;1239-629X;550;0.714;0.948;0.081;37;>10.0;0.00325;0.959;
ANN AGR ENV MED;1232-1966;634;1.443;1.558;0.059;51;4.9;0.00184;0.320;
ANN ALLERG ASTHMA IM;1081-1206;5410;2.353;2.367;0.657;178;6.7;0.01352;0.626;
ANN ANAT;0940-9602;642;0.932;0.844;0.132;53;6.3;0.00166;0.209;
ANN APPL BIOL;0003-4746;3071;1.868;1.967;0.291;79;>10.0;0.00493;0.570;
ANN APPL PROBAB;1050-5164;1593;1.285;1.738;0.267;86;7.4;0.01459;1.812;
ANN APPL STAT;1932-6157;97;2.448;2.483;0.403;62;;0.00104;1.616;
ANN BIOL CLIN-PARIS;0003-3898;486;0.286;0.381;0.049;82;8.7;0.00065;0.067;
ANN BIOMED ENG;0090-6964;4487;2.605;2.999;0.299;184;5.4;0.01795;1.001;
ANN BOT FENN;0003-3847;637;0.361;0.638;0.031;64;>10.0;0.00142;0.211;
ANN BOT-LONDON;0305-7364;9381;2.755;3.404;0.632;220;7.6;0.02596;1.094;
ANN CARNEGIE MUS;0097-4463;343;0.760;1.000;0.115;26;>10.0;0.00050;0.406;
ANN CHIM-ROME;0003-4592;928;0.589;0.632;;0;>10.0;0.00191;0.176;
ANN CHIM-SCI MAT;0151-9107;446;0.551;0.372;0.118;34;8.3;0.00100;0.142;
ANN CHIR;0003-3944;727;0.521;0.509;;0;8.3;0.00093;0.094;
ANN CLIN BIOCHEM;0004-5632;2040;1.788;1.789;0.278;108;8.0;0.00399;0.437;
ANN CLIN LAB SCI;0091-7370;954;1.357;1.212;0.085;59;7.9;0.00215;0.316;
ANN COMB;0218-0006;227;0.460;;0.091;22;6.3;0.00217;;
ANN DERMATOL VENER;0151-9638;1447;0.482;0.610;0.075;252;7.8;0.00203;0.108;
ANN EMERG MED;0196-0644;8227;3.755;3.597;0.994;154;9.2;0.01826;1.153;
ANN ENDOCRINOL-PARIS;0003-4266;368;0.446;0.414;0.091;66;7.0;0.00065;0.073;
ANN ENTOMOL SOC AM;0013-8746;4290;1.241;1.502;0.252;135;>10.0;0.00739;0.558;
ANN EPIDEMIOL;1047-2797;3928;2.621;3.000;0.496;117;6.7;0.01534;1.210;
ANN FAM MED;1544-1709;1555;3.541;;2.339;62;3.6;0.01155;;
ANN FOREST SCI;1286-4560;1312;1.554;1.592;0.141;92;5.3;0.00452;0.428;
ANN FR ANESTH;0750-7658;1049;0.793;0.661;0.313;134;6.0;0.00137;0.085;
ANN GLOB ANAL GEOM;0232-704X;345;0.625;0.750;0.102;49;7.4;0.00283;0.680;
ANN HEMATOL;0939-5555;2582;2.454;2.217;0.520;98;5.3;0.00874;0.615;
ANN HENRI POINCARE;1424-0637;439;1.234;0.936;0.102;49;5.0;0.00512;0.772;
ANN HUM BIOL;0301-4460;1387;1.009;1.349;0.148;54;>10.0;0.00263;0.422;
ANN HUM GENET;0003-4800;2340;2.195;2.594;0.632;87;7.7;0.00855;1.095;
ANN I FOURIER;0373-0956;1457;0.802;0.903;0.143;70;>10.0;0.01007;1.158;
ANN I H POINCARE-AN;0294-1449;1078;0.878;1.371;0.196;56;>10.0;0.00616;1.376;
ANN I H POINCARE-PR;0246-0203;478;0.644;0.831;0.075;53;8.0;0.00474;1.063;
ANN I STAT MATH;0020-3157;959;0.565;0.639;0.048;42;>10.0;0.00319;0.617;
ANN INTERN MED;0003-4819;44785;17.457;16.117;4.574;162;8.8;0.12606;6.268;
ANN LIMNOL-INT J LIM;0003-4088;247;0.768;0.803;0.080;25;6.8;0.00066;0.209;
ANN MAT PUR APPL;0373-3114;1068;0.818;;0.229;35;>10.0;0.00317;;
ANN MATH ARTIF INTEL;1012-2443;583;0.722;0.803;0.000;5;7.8;0.00180;0.400;
ANN MATH;0003-486X;7467;3.447;3.575;1.024;42;>10.0;0.02644;4.484;
ANN MED VET;0003-4118;111;0.129;0.155;0.000;16;>10.0;0.00013;0.033;
ANN MED;0785-3890;3222;5.435;4.590;0.750;64;6.6;0.01166;1.686;
ANN MICROBIOL;1590-4261;272;0.466;0.529;0.085;117;4.5;0.00082;0.112;
ANN MO BOT GARD;0026-6493;2212;1.246;1.540;0.312;32;>10.0;0.00196;0.589;
ANN NEUROL;0364-5134;28710;9.935;9.081;2.166;169;8.5;0.08000;3.338;
ANN NONINVAS ELECTRO;1082-720X;485;1.120;1.374;0.132;53;4.0;0.00232;0.413;
ANN NUCL ENERGY;0306-4549;1008;0.831;0.814;0.108;269;5.8;0.00417;0.310;
ANN NUCL MED;0914-7187;930;1.099;1.088;0.109;129;4.9;0.00301;0.254;
ANN NUTR METAB;0250-6807;1271;1.236;1.874;0.111;81;6.3;0.00317;0.451;
ANN NY ACAD SCI;0077-8923;37539;2.303;2.379;0.195;975;7.5;0.11225;0.799;
ANN OCCUP HYG;0003-4878;1868;1.787;2.063;0.347;72;7.7;0.00412;0.558;
ANN ONCOL;0923-7534;15689;4.935;5.303;1.377;419;4.6;0.05407;1.404;
ANN OPER RES;0254-5330;2282;0.619;1.163;0.087;115;9.5;0.00726;0.606;
ANN OPHTHALMOL;1530-4086;611;0.094;0.095;0.000;38;>10.0;0.00014;0.029;
ANN OTO RHINOL LARYN;0003-4894;5566;1.339;1.365;0.175;154;>10.0;0.00835;0.447;
ANN PALEONTOL;0753-3969;249;0.200;;0.067;15;>10.0;0.00037;;
ANN PATHOL;0242-6498;455;0.474;0.571;0.190;100;7.0;0.00057;0.081;
ANN PHARMACOTHER;1060-0280;5576;2.305;2.153;0.466;221;5.2;0.01669;0.532;
ANN PLAS SURG;0148-7043;5051;1.140;1.409;0.160;244;9.1;0.01207;0.454;
ANN PROBAB;0091-1798;3165;1.278;1.587;0.356;73;>10.0;0.01727;1.828;
ANN PURE APPL LOGIC;0168-0072;776;0.551;0.658;0.130;69;9.5;0.00409;0.493;
ANN REV BIOPHYS;1936-122X;61;;;2.435;23;;0.00000;;
ANN RHEUM DIS;0003-4967;17807;7.188;6.792;1.964;302;5.0;0.05717;1.802;
ANN ROY COLL SURG;0035-8843;1823;0.944;1.039;0.124;121;>10.0;0.00363;0.303;
