Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA OBSTET GYN SCAN;0001-6349;5295;1.860;1.616;0.230;230;8.4;0.01076;0.495;
ACTA ODONTOL SCAND;0001-6357;2276;1.130;1.397;0.265;49;>10.0;0.00241;0.431;
ACTA OECOL;1146-609X;1875;1.460;1.821;0.187;91;7.1;0.00485;0.573;
ACTA ONCOL;0284-186X;3979;3.137;2.978;0.967;150;5.8;0.01048;0.853;
ACTA OPHTHALMOL;1755-375X;4444;2.809;2.511;0.406;180;8.8;0.00931;0.698;
ACTA ORNITHOL;0001-6454;255;0.889;0.820;0.042;24;7.1;0.00054;0.218;
ACTA ORTHOP BELG;0001-6462;1068;0.392;;0.014;139;7.2;0.00322;;
ACTA ORTHOP TRAUMATO;1017-995X;265;0.309;;0.038;79;5.5;0.00068;;
ACTA ORTHOP;1745-3674;6285;1.897;2.206;0.250;120;>10.0;0.01022;0.755;
ACTA OTO-LARYNGOL;0001-6489;5817;1.200;1.318;0.187;235;>10.0;0.01002;0.410;
ACTA OTORHINOLARYNGO;0392-100X;511;0.427;;0.056;36;8.7;0.00084;;
ACTA PAEDIATR;0803-5253;9803;1.955;2.125;0.458;312;8.4;0.02164;0.667;
ACTA PALAEONTOL POL;0567-7920;1169;1.949;1.811;0.230;61;6.4;0.00403;0.698;
ACTA PARASITOL;1230-2821;693;1.144;1.218;0.200;55;6.3;0.00186;0.360;
ACTA PAUL ENFERM;0103-2100;199;0.204;;0.000;120;4.1;0.00025;;
ACTA PHARMACEUT;1330-0075;638;1.312;;0.050;40;5.6;0.00141;;
ACTA PHARMACOL SIN;1671-4083;4364;1.909;2.033;0.338;207;5.8;0.01009;0.484;
ACTA PHYS POL A;0587-4246;1206;0.467;0.420;0.065;525;3.3;0.00429;0.117;
ACTA PHYS POL B;0587-4254;1896;0.671;0.586;0.571;177;5.6;0.00746;0.243;
ACTA PHYS SIN-CH ED;1000-3290;8555;1.259;1.063;0.132;1366;3.6;0.00713;0.060;
ACTA PHYS SLOVACA;0323-0465;316;3.250;1.011;0.167;6;5.1;0.00178;0.517;
ACTA PHYS-CHIM SIN;1000-6818;1689;0.734;0.633;0.112;501;3.7;0.00350;0.099;
ACTA PHYSIOL HUNG;0231-424X;316;1.226;0.803;0.059;34;>10.0;0.00058;0.209;
ACTA PHYSIOL PLANT;0137-5881;991;1.344;1.234;0.127;142;4.0;0.00242;0.257;
ACTA PHYSIOL;1748-1708;1394;3.138;3.068;0.626;123;2.8;0.00810;0.981;
ACTA POL PHARM;0001-6837;501;0.465;;0.052;58;7.5;0.00074;;
ACTA POLYM SIN;1000-3304;788;0.481;0.443;0.053;228;5.0;0.00121;0.060;
ACTA POLYTECH HUNG;1785-8860;69;0.284;;0.069;29;;0.00011;;
ACTA PROTOZOOL;0065-1583;577;0.881;1.000;0.065;31;8.3;0.00119;0.327;
ACTA PSYCHIAT SCAND;0001-690X;10092;3.795;4.071;0.699;103;>10.0;0.01492;1.189;
ACTA RADIOL;0284-1851;3077;1.483;1.312;0.270;152;9.0;0.00711;0.445;
ACTA REUMATOL PORT;0303-464X;113;0.451;;0.115;61;2.8;0.00038;;
ACTA SCI POL-HORTORU;1644-0692;66;0.547;;0.083;60;;0.00004;;
ACTA SCI VET;1678-0345;154;0.127;;0.000;60;4.9;0.00046;;
ACTA SCI-TECHNOL;1806-2563;44;0.150;;0.017;59;;0.00008;;
ACTA SOC BOT POL;0001-6977;309;0.256;0.335;0.049;41;>10.0;0.00035;0.086;
ACTA THERIOL;0001-7051;922;0.985;0.886;0.083;36;>10.0;0.00090;0.221;
ACTA TROP;0001-706X;4527;2.262;2.500;0.928;153;6.9;0.01015;0.706;
ACTA VET BRNO;0001-7213;594;0.534;0.625;0.110;100;6.2;0.00090;0.106;
ACTA VET HUNG;0236-6290;575;1.264;0.980;0.208;48;6.7;0.00102;0.204;
ACTA VET SCAND;0044-605X;1247;1.196;1.308;0.169;65;>10.0;0.00162;0.371;
ACTA VET-BEOGRAD;0567-8315;117;0.169;0.224;0.000;60;5.7;0.00020;0.037;
ACTA VIROL;0001-723X;565;0.547;0.623;0.129;31;>10.0;0.00054;0.157;
ACTA ZOOL ACAD SCI H;1217-8837;327;0.474;0.524;0.037;27;>10.0;0.00043;0.151;
ACTA ZOOL BULGAR;0324-0770;160;0.269;;0.050;40;5.5;0.00035;;
ACTA ZOOL-STOCKHOLM;0001-7272;840;1.130;1.366;0.644;45;>10.0;0.00161;0.444;
ACTAS ESP PSIQUIATRI;1139-9287;366;0.695;0.823;0.000;46;5.3;0.00076;0.147;
ACTAS UROL ESP;0210-4806;344;0.274;;;;4.9;0.00102;;
ACTUAL CHIMIQUE;0151-9093;116;0.145;0.125;0.012;82;5.3;0.00036;0.039;
ACUPUNCT MED;0964-5284;428;1.381;;0.227;22;5.5;0.00090;;
ACUPUNCTURE ELECTRO;0360-1293;332;1.000;1.214;0.222;9;>10.0;0.00016;0.115;
AD HOC NETW;1570-8705;859;1.592;;0.283;60;3.9;0.00395;;
AD HOC SENS WIREL NE;1551-9899;57;0.302;;0.030;33;;0.00037;;
ADANSONIA;1280-8571;196;0.512;0.438;0.000;14;>10.0;0.00043;0.184;
ADAPT BEHAV;1059-7123;470;1.136;1.809;0.483;29;6.9;0.00105;0.489;
ADAPT PHYS ACT Q;0736-5829;485;1.189;1.117;0.150;20;>10.0;0.00052;0.261;
ADDICT BEHAV;0306-4603;6220;2.133;2.587;0.383;201;6.5;0.01801;0.861;
ADDICT BIOL;1355-6215;1241;4.152;4.160;0.907;43;4.1;0.00463;1.153;
ADDICTION;0965-2140;11387;4.145;5.001;1.341;214;6.8;0.03240;1.740;
ADICCIONES;0214-4840;230;1.127;;0.061;33;4.5;0.00032;;
ADSORPT SCI TECHNOL;0263-6174;596;0.559;0.601;0.021;48;7.6;0.00080;0.122;
ADSORPTION;0929-5607;1132;1.993;1.577;0.131;61;5.3;0.00370;0.435;
ADV ANAT EMBRYOL CEL;0301-5556;334;1.471;1.925;0.000;8;>10.0;0.00056;0.713;
ADV ANAT PATHOL;1072-4109;1027;3.087;3.356;0.450;40;5.2;0.00372;1.079;
ADV APPL CERAM;1743-6753;305;0.726;1.018;0.171;82;3.6;0.00187;0.342;
ADV APPL CLIFFORD AL;0188-7009;172;0.491;;0.125;64;4.0;0.00056;;
ADV APPL MATH MECH;2070-0733;29;0.510;0.510;0.085;47;;0.00025;0.262;
ADV APPL MATH;0196-8858;880;0.800;0.843;0.295;61;9.3;0.00463;0.850;
ADV APPL MECH;0065-2156;920;3.000;5.091;0.333;3;>10.0;0.00055;2.577;
ADV APPL MICROBIOL;0065-2164;967;3.913;3.304;0.591;22;8.0;0.00197;1.097;
ADV APPL PROBAB;0001-8678;1762;0.720;0.967;0.107;56;>10.0;0.00515;0.983;
ADV ATOM MOL OPT PHY;1049-250X;830;4.947;2.985;0.400;5;>10.0;0.00269;2.029;
ADV BIOCHEM ENG BIOT;0724-6145;1721;2.139;3.966;0.296;54;6.2;0.00422;1.056;
ADV BOT RES;0065-2296;684;2.319;2.239;0.118;17;>10.0;0.00119;0.694;
ADV CALC VAR;1864-8258;19;0.581;0.581;0.056;18;;0.00039;0.641;
ADV CANCER RES;0065-230X;1888;6.080;5.686;3.000;8;9.4;0.00435;2.127;
ADV CARBOHYD CHEM BI;0065-2318;726;3.000;4.063;1.556;9;>10.0;0.00037;1.202;
ADV CATAL;0360-0564;1449;8.167;8.500;1.000;3;>10.0;0.00128;2.989;
ADV CEM RES;0951-7197;316;0.651;0.757;0.607;28;9.2;0.00082;0.406;
ADV CHRONIC KIDNEY D;1548-5595;537;1.843;2.008;0.414;29;3.5;0.00317;0.657;
ADV CLIN CHEM;0065-2423;405;3.263;2.759;0.182;22;4.8;0.00141;0.830;
ADV CLIN EXP MED;1230-025X;68;0.103;;0.072;83;;0.00013;;
ADV COLLOID INTERFAC;0001-8686;5819;8.651;7.419;0.640;75;7.7;0.01234;2.193;
ADV COMPLEX SYST;0219-5259;392;1.213;1.141;0.024;41;5.5;0.00141;0.390;
ADV COMPOS LETT;0963-6935;105;0.277;0.340;0.095;21;7.6;0.00022;0.111;
ADV COMPOS MATER;0924-3046;137;0.358;0.480;0.037;27;6.9;0.00039;0.161;
ADV COMPUT MATH;1019-7168;1097;1.438;1.337;0.239;46;>10.0;0.00387;0.999;
ADV COMPUT;0065-2458;182;0.222;0.368;0.056;18;>10.0;0.00019;0.113;
ADV DATA ANAL CLASSI;1862-5347;33;0.581;0.667;0.188;16;;0.00029;0.333;
ADV DIFFER EQU-NY;1687-1839;253;0.891;0.826;0.271;118;2.7;0.00083;0.186;
ADV DRUG DELIVER REV;0169-409X;17985;13.577;13.923;2.248;113;6.7;0.04193;3.830;
ADV ECOL RES;0065-2504;1584;3.077;3.000;5.923;13;>10.0;0.00094;0.969;
ADV ELECTR COMPUT EN;1582-7445;82;0.688;;0.095;95;;0.00017;;
ADV ENG INFORM;1474-0346;495;1.400;1.909;0.773;44;4.4;0.00135;0.394;
ADV ENG MATER;1438-1656;3229;1.738;1.999;0.128;243;5.6;0.01258;0.733;
ADV ENG SOFTW;0965-9978;1120;1.004;1.112;0.229;144;5.9;0.00383;0.409;
ADV EXP MED BIOL;0065-2598;9793;1.379;1.432;0.197;898;7.9;0.02766;0.519;
ADV FUNCT MATER;1616-301X;22476;8.486;9.427;1.198;481;3.8;0.11136;3.074;
ADV GENET;0065-2660;1139;2.453;2.530;;;7.1;0.00518;1.214;
ADV GEOM;1615-715X;172;0.400;0.497;0.089;45;5.7;0.00232;0.672;
ADV HEALTH SCI EDUC;1382-4996;596;1.416;1.697;0.163;49;4.9;0.00213;0.560;
ADV HETEROCYCL CHEM;0065-2725;946;1.000;1.682;0.143;14;>10.0;0.00038;0.447;
ADV HIGH ENERGY PHYS;1687-7357;43;1.846;1.381;1.000;14;;0.00029;0.711;
ADV IMAG ELECT PHYS;1076-5670;265;0.862;1.000;0.148;27;6.7;0.00107;0.504;
ADV IMMUNOL;0065-2776;2364;7.195;8.759;0.261;23;9.4;0.01022;4.683;
ADV INORG CHEM;0898-8838;1591;3.500;4.615;0.000;11;>10.0;0.00101;1.332;
ADV INSECT PHYSIOL;0065-2806;502;6.667;6.591;0.250;12;>10.0;0.00121;2.815;
ADV MATER PROCESS;0882-7958;354;0.178;0.211;0.053;57;9.5;0.00048;0.063;
ADV MATER;0935-9648;68024;10.857;11.289;2.081;777;5.2;0.24338;3.765;
ADV MATH COMMUN;1930-5346;54;0.544;0.522;0.206;34;;0.00074;0.419;
ADV MATH;0001-8708;4334;1.372;1.575;0.274;252;9.4;0.03852;2.033;
ADV MED SCI-POLAND;1896-1126;260;0.798;;0.057;53;3.5;0.00112;;
ADV MICROB PHYSIOL;0065-2911;895;8.556;7.435;0.000;3;>10.0;0.00139;3.102;
ADV NONLINEAR STUD;1536-1365;234;0.805;0.896;0.065;46;4.1;0.00230;0.684;
ADV NURS SCI;0161-9268;921;1.407;1.587;0.075;40;>10.0;0.00101;0.363;
ADV ORGANOMET CHEM;0065-3055;1035;9.692;7.867;0.500;2;>10.0;0.00145;2.486;
ADV PARASIT;0065-308X;1435;2.886;5.642;4.724;29;8.0;0.00335;2.122;
ADV PHYS ORG CHEM;0065-3160;471;1.000;2.333;1.143;7;>10.0;0.00037;0.785;
ADV PHYS;0001-8732;4192;21.214;19.065;5.625;8;>10.0;0.01234;13.768;
ADV PHYSIOL EDUC;1043-4046;632;1.382;1.881;0.233;30;4.8;0.00156;0.395;
ADV POLYM SCI;0065-3195;4163;6.723;7.344;0.824;68;8.2;0.01033;2.337;
ADV POLYM TECH;0730-6679;453;0.700;0.946;0.000;24;9.9;0.00057;0.262;
ADV POWDER TECHNOL;0921-8831;427;0.840;0.973;0.265;98;4.3;0.00147;0.296;
ADV PROTEIN CHEM STR;1876-1623;8;0.667;0.667;0.133;15;;0.00004;0.245;
ADV PROTEIN CHEM;0065-3233;2413;0.750;6.404;;;>10.0;0.00333;3.292;
ADV QUANTUM CHEM;0065-3276;748;1.100;1.271;0.526;19;>10.0;0.00129;0.461;
ADV ROBOTICS;0169-1864;652;0.653;0.898;0.059;102;5.4;0.00155;0.198;
ADV SCI LETT;1936-6612;133;1.253;1.253;0.267;90;1.6;0.00105;0.621;
ADV SPACE RES;0273-1177;6324;1.076;0.957;0.592;321;6.4;0.02173;0.390;
ADV STEEL CONSTR;1816-112X;33;0.296;;0.032;31;;0.00032;;
ADV STUD BEHAV;0065-3454;962;5.870;5.571;0.312;16;>10.0;0.00270;2.831;
ADV SYNTH CATAL;1615-4150;12070;5.250;5.360;1.020;391;3.9;0.04672;1.478;
ADV THEOR MATH PHYS;1095-0761;2027;1.736;2.047;0.267;15;>10.0;0.00348;1.189;
ADV THER;0741-238X;910;1.668;1.280;0.225;80;3.5;0.00355;0.341;
ADV VIB ENG;0972-5768;30;0.125;;0.031;32;;0.00008;;
ADV WATER RESOUR;0309-1708;3905;2.470;2.746;0.323;130;6.0;0.01488;1.098;
AEQUATIONES MATH;0001-9054;714;0.841;;0.045;44;>10.0;0.00172;;
AEROBIOLOGIA;0393-5965;690;1.052;1.464;0.156;32;8.7;0.00106;0.389;
AEROSOL AIR QUAL RES;1680-8584;243;1.792;;0.219;64;2.7;0.00088;;
AEROSOL SCI TECH;0278-6826;4073;2.340;2.893;0.595;111;7.4;0.01018;1.001;
AESTHET PLAST SURG;0364-216X;1758;1.252;1.256;0.205;117;7.4;0.00413;0.372;
AEU-INT J ELECTRON C;1434-8411;516;0.519;0.571;0.058;155;5.1;0.00180;0.182;
AFINIDAD;0001-9704;183;0.233;0.244;0.000;21;7.0;0.00029;0.044;
AFR ENTOMOL;1021-3589;266;0.338;0.547;0.194;36;7.2;0.00065;0.175;
AFR HEALTH SCI;1680-6905;295;0.521;;0.800;50;3.9;0.00086;;
AFR INVERTEBR;1681-5556;124;0.800;;0.118;17;3.8;0.00061;;
AFR J AQUAT SCI;1608-5914;184;0.479;;0.229;35;5.2;0.00047;;
AFR J BIOTECHNOL;1684-5315;2988;0.573;0.794;0.057;1272;3.6;0.00786;0.126;
AFR J ECOL;0141-6707;1316;0.778;1.035;0.048;145;7.8;0.00288;0.291;
AFR J HERPETOL;0441-6651;82;0.500;0.514;0.083;12;;0.00022;0.157;
AFR J MAR SCI;1814-232X;588;1.229;1.261;2.222;54;3.9;0.00233;0.394;
AFR J MICROBIOL RES;1996-0808;163;0.528;0.533;0.065;398;1.7;0.00040;0.081;
AFR J PHARM PHARMACO;1996-0816;82;0.500;0.507;0.068;117;;0.00019;0.068;
AFR J RANGE FOR SCI;1022-0119;143;0.262;;0.048;21;8.4;0.00020;;
AFR J TRADIT COMPLEM;0189-6016;204;0.457;;0.064;47;3.8;0.00057;;
AFR NAT HIST;1816-8396;16;0.438;;0.000;4;;0.00009;;
AFR ZOOL;1562-7020;269;1.018;0.881;0.156;32;5.2;0.00085;0.260;
AGE AGEING;0002-0729;5068;2.719;3.202;0.659;126;7.4;0.01178;1.020;
AGE;0161-9152;831;6.280;4.752;0.818;44;3.6;0.00389;1.708;
AGEING RES REV;1568-1637;1542;9.000;7.868;0.907;54;4.5;0.00567;2.257;
AGGRESSIVE BEHAV;0096-140X;1747;1.804;2.520;0.297;37;7.9;0.00399;0.819;
AGING CELL;1474-9718;3371;7.148;7.978;1.446;92;3.6;0.02004;3.166;
AGING CLIN EXP RES;1594-0667;1597;1.693;1.775;0.226;53;6.9;0.00358;0.487;
AGING MALE;1368-5538;344;1.674;;0.189;37;5.7;0.00071;;
AGING MENT HEALTH;1360-7863;1417;1.316;1.899;0.126;111;5.5;0.00400;0.495;
AGING-US;1945-4589;405;2.964;2.964;0.567;134;1.4;0.00167;0.774;
AGR ECOSYST ENVIRON;0167-8809;8919;2.790;3.741;0.644;250;6.6;0.02280;1.099;
AGR FOOD SCI;1459-6067;256;0.597;0.689;0.233;30;6.3;0.00061;0.192;
