Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA PHYS POL A;0587-4246;1342;0.444;0.404;0.086;475;3.6;0.00442;0.112;
ACTA PHYS POL B;0587-4254;1908;0.901;0.596;0.300;240;6.1;0.00705;0.263;
ACTA PHYS SIN-CH ED;1000-3290;7935;1.027;0.899;0.139;1366;3.8;0.00732;0.063;
ACTA PHYS SLOVACA;0323-0465;258;2.167;1.216;0.200;5;5.3;0.00153;0.718;
ACTA PHYS-CHIM SIN;1000-6818;1965;0.780;0.676;0.135;437;3.7;0.00369;0.100;
ACTA PHYSIOL HUNG;0231-424X;339;0.821;0.830;0.078;51;>10.0;0.00062;0.220;
ACTA PHYSIOL PLANT;0137-5881;1346;1.639;1.533;0.177;271;3.8;0.00268;0.268;
ACTA PHYSIOL;1748-1708;1753;3.090;2.960;0.736;144;3.2;0.01062;1.058;
ACTA POL PHARM;0001-6837;636;0.663;;0.025;79;6.4;0.00103;;
ACTA POLYM SIN;1000-3304;895;0.769;0.528;0.062;208;4.0;0.00095;0.048;
ACTA POLYTECH HUNG;1785-8860;77;0.385;;0.070;43;;0.00019;;
ACTA PROTOZOOL;0065-1583;639;1.317;1.299;0.042;24;8.1;0.00146;0.449;
ACTA PSYCHIAT SCAND;0001-690X;10311;4.220;4.299;0.903;93;>10.0;0.01506;1.335;
ACTA RADIOL;0284-1851;3170;1.369;1.315;0.134;187;9.7;0.00663;0.434;
ACTA REUMATOL PORT;0303-464X;186;0.547;;0.227;44;3.2;0.00060;;
ACTA SCI POL-HORTORU;1644-0692;99;0.393;;0.029;70;;0.00006;;
ACTA SCI VET;1678-0345;163;0.207;;0.014;70;4.8;0.00049;;
ACTA SCI-TECHNOL;1806-2563;64;0.191;;0.167;60;;0.00013;;
ACTA SOC BOT POL;0001-6977;408;0.360;0.476;0.049;41;>10.0;0.00040;0.105;
ACTA THERIOL;0001-7051;1035;0.890;0.980;0.140;43;>10.0;0.00111;0.306;
ACTA TROP;0001-706X;4775;2.722;2.561;0.608;171;6.8;0.00980;0.704;
ACTA VET BRNO;0001-7213;613;0.431;0.539;0.021;48;7.1;0.00104;0.125;
ACTA VET HUNG;0236-6290;550;0.673;0.792;0.200;50;8.1;0.00087;0.186;
ACTA VET SCAND;0044-605X;1220;1.367;1.521;0.258;66;>10.0;0.00206;0.430;
ACTA VET-BEOGRAD;0567-8315;163;0.167;0.245;0.000;60;6.7;0.00023;0.045;
ACTA VIROL;0001-723X;631;0.682;0.764;0.091;33;>10.0;0.00079;0.237;
ACTA ZOOL ACAD SCI H;1217-8837;391;0.564;0.570;0.038;26;>10.0;0.00052;0.189;
ACTA ZOOL BULGAR;0324-0770;156;0.247;;0.407;54;5.5;0.00030;;
ACTA ZOOL-STOCKHOLM;0001-7272;722;1.133;1.113;0.325;40;>10.0;0.00182;0.488;
ACTAS ESP PSIQUIATRI;1139-9287;372;0.589;0.762;0.115;61;5.5;0.00070;0.141;
ACTAS UROL ESP;0210-4806;446;0.455;;0.386;88;4.2;0.00125;;
ACTUAL CHIMIQUE;0151-9093;111;0.115;0.125;0.000;93;5.8;0.00032;0.037;
ACUPUNCT MED;0964-5284;460;1.188;;0.523;44;5.9;0.00064;;
ACUPUNCTURE ELECTRO;0360-1293;251;1.300;1.138;0.100;10;>10.0;0.00019;0.158;
AD HOC NETW;1570-8705;1183;2.110;;0.220;100;4.5;0.00631;;
AD HOC SENS WIREL NE;1551-9899;81;0.400;;0.022;45;;0.00047;;
ADANSONIA;1280-8571;217;0.325;0.385;0.182;22;>10.0;0.00026;0.131;
ADAPT BEHAV;1059-7123;395;1.019;1.244;0.083;24;7.6;0.00088;0.405;
ADAPT PHYS ACT Q;0736-5829;611;1.487;1.680;0.200;20;9.7;0.00064;0.351;
ADDICT BEHAV;0306-4603;6416;2.085;2.522;0.225;236;6.9;0.01689;0.842;
ADDICT BIOL;1355-6215;1510;4.833;5.000;1.435;62;4.0;0.00569;1.506;
ADDICTION;0965-2140;11940;4.313;4.739;1.937;207;6.9;0.03101;1.689;
ADICCIONES;0214-4840;201;0.800;;0.167;24;5.5;0.00034;;
ADSORPT SCI TECHNOL;0263-6174;590;0.606;0.548;0.038;52;8.3;0.00067;0.109;
ADSORPTION;0929-5607;1328;2.000;2.215;0.290;100;5.9;0.00303;0.564;
ADV ANAT EMBRYOL CEL;0301-5556;352;4.000;3.385;1.667;3;>10.0;0.00059;1.239;
ADV ANAT PATHOL;1072-4109;1083;3.924;3.533;0.275;40;5.2;0.00375;1.135;
ADV APPL CERAM;1743-6753;392;0.871;1.022;0.360;75;3.4;0.00164;0.285;
ADV APPL CLIFFORD AL;0188-7009;174;0.496;0.533;0.020;49;4.2;0.00103;0.248;
ADV APPL MATH MECH;2070-0733;77;0.750;0.750;0.119;42;;0.00063;0.356;
ADV APPL MATH;0196-8858;903;0.843;0.908;0.198;81;9.9;0.00482;0.962;
ADV APPL MECH;0065-2156;1032;5.000;6.357;;0;>10.0;0.00075;2.932;
ADV APPL MICROBIOL;0065-2164;1097;5.233;4.202;0.000;11;7.9;0.00244;1.343;
ADV APPL PROBAB;0001-8678;1665;0.679;0.897;0.111;54;>10.0;0.00493;0.988;
ADV ATMOS SCI;0256-1530;1236;0.987;0.981;0.198;121;6.9;0.00301;0.317;
ADV ATOM MOL OPT PHY;1049-250X;771;3.294;3.255;0.100;10;>10.0;0.00189;2.024;
ADV BIOCHEM ENG BIOT;0724-6145;1734;1.644;3.353;1.000;9;6.8;0.00344;0.919;
ADV BIOPHYS;0065-227X;185;;;;0;>10.0;0.00000;;
ADV BOT RES;0065-2296;769;2.855;2.653;0.080;25;>10.0;0.00160;0.866;
ADV CALC VAR;1864-8258;42;0.688;0.837;;;;0.00106;1.181;
ADV CANCER RES;0065-230X;1838;6.733;5.766;0.263;19;9.7;0.00483;2.373;
ADV CARBOHYD CHEM BI;0065-2318;851;7.643;5.560;0.333;6;>10.0;0.00082;1.779;
ADV CATAL;0360-0564;1395;3.667;5.040;0.000;5;>10.0;0.00072;1.573;
ADV CEM RES;0951-7197;396;1.080;1.204;0.000;37;8.5;0.00157;0.758;
ADV CHEM PHYS;0065-2385;2260;3.579;3.103;;;>10.0;0.00244;1.528;
ADV CHROMATOGR;0065-2415;244;1.842;1.864;0.100;10;>10.0;0.00046;0.568;
ADV CHRONIC KIDNEY D;1548-5595;715;2.443;2.281;0.236;55;3.8;0.00350;0.766;
ADV CLIN CHEM;0065-2423;444;3.205;2.848;0.238;21;4.4;0.00139;0.823;
ADV CLIN EXP MED;1899-5276;105;0.176;;0.033;91;5.0;0.00016;;
ADV COLLOID INTERFAC;0001-8686;6414;8.120;8.372;0.633;79;7.8;0.01314;2.380;
ADV COMPLEX SYST;0219-5259;313;0.653;0.745;0.068;44;6.4;0.00128;0.357;
ADV COMPOS LETT;0963-6935;94;0.432;0.457;0.062;16;;0.00027;0.141;
ADV COMPOS MATER;0924-3046;153;0.426;0.520;0.050;40;7.0;0.00040;0.174;
ADV COMPUT MATH;1019-7168;1077;1.488;1.193;0.364;33;>10.0;0.00372;0.979;
ADV COMPUT;0065-2458;121;0.342;0.238;0.111;18;9.7;0.00018;0.120;
ADV COND MATTER PHYS;1687-8108;58;1.158;1.174;0.125;24;;0.00055;0.647;
ADV DATA ANAL CLASSI;1862-5347;33;0.562;0.541;0.000;18;;0.00044;0.395;
ADV DIFFER EQU-NY;1687-1847;338;0.845;0.790;0.256;90;2.7;0.00163;0.270;
ADV DIFFERENTIAL EQU;1079-9389;568;0.727;;0.244;41;8.3;0.00341;;
ADV DRUG DELIVER REV;0169-409X;19409;11.502;14.608;1.554;101;7.0;0.03934;3.858;
ADV ECOL RES;0065-2504;1618;5.333;3.224;5.000;5;>10.0;0.00105;1.168;
ADV ELECTR COMPUT EN;1582-7445;100;0.555;;0.104;77;1.9;0.00019;;
ADV ENERGY MATER;1614-6832;327;;;1.950;161;0.5;0.00007;;
ADV ENG INFORM;1474-0346;621;1.489;2.041;0.234;64;4.7;0.00182;0.509;
ADV ENG MATER;1438-1656;3283;1.185;1.688;0.269;193;5.9;0.01135;0.644;
ADV ENG SOFTW;0965-9978;1255;1.092;1.226;0.036;111;5.6;0.00442;0.443;
ADV EXP MED BIOL;0065-2598;10020;1.093;1.374;0.321;399;7.4;0.03161;0.511;
ADV FUNCT MATER;1616-301X;28503;10.179;9.920;1.514;533;4.0;0.11269;2.945;
ADV GENET;0065-2660;1126;3.776;3.898;;;6.4;0.00376;1.616;
ADV GEOM;1615-715X;140;0.338;0.315;0.205;44;6.2;0.00126;0.378;
ADV GEOPHYS;0065-2687;349;0.889;1.421;;;>10.0;0.00072;1.028;
ADV HEALTH SCI EDUC;1382-4996;780;2.089;2.059;0.429;49;4.5;0.00321;0.791;
ADV HETEROCYCL CHEM;0065-2725;884;1.818;2.280;0.500;6;>10.0;0.00040;0.431;
ADV HIGH ENERGY PHYS;1687-7357;133;4.522;3.405;0.107;28;1.7;0.00113;1.662;
ADV HUM GENET;0065-275X;61;;;;0;;0.00000;;
ADV IMAG ELECT PHYS;1076-5670;265;0.491;0.992;0.250;20;7.2;0.00102;0.473;
ADV IMMUNOL;0065-2776;2240;5.762;7.438;0.600;20;9.9;0.00859;4.182;
ADV INORG CHEM;0898-8838;1567;3.048;3.049;0.300;10;>10.0;0.00060;0.798;
ADV INSECT PHYSIOL;0065-2806;463;2.842;4.516;0.000;8;>10.0;0.00104;1.826;
ADV MAR BIOL;0065-2881;1012;2.043;3.902;0.000;4;>10.0;0.00105;1.395;
ADV MATER PROCESS;0882-7958;330;0.066;0.158;0.021;47;>10.0;0.00050;0.073;
ADV MATER SCI ENG;1687-6822;32;0.415;;0.088;34;;0.00017;;
ADV MATER;0935-9648;79860;13.877;12.813;2.155;789;5.0;0.26241;4.071;
ADV MATH COMMUN;1930-5346;71;0.462;0.476;0.235;51;;0.00129;0.567;
ADV MATH;0001-8708;4659;1.177;1.461;0.349;338;9.4;0.03818;1.930;
ADV MED SCI-POLAND;1896-1126;315;0.952;;0.036;55;4.2;0.00155;;
ADV MICROB ECOL;0147-4863;291;;;;0;>10.0;0.00000;;
ADV MICROB PHYSIOL;0065-2911;909;9.875;8.650;0.000;5;>10.0;0.00129;3.508;
ADV NONLINEAR STUD;1536-1365;217;0.644;0.708;0.213;47;4.4;0.00212;0.602;
ADV NURS SCI;0161-9268;938;0.969;1.444;0.030;33;>10.0;0.00108;0.388;
ADV NUTR RES;0149-9483;33;;;;0;;0.00000;;
ADV ORGANOMET CHEM;0065-3055;951;7.000;6.636;0.500;2;>10.0;0.00074;1.835;
ADV PARASIT;0065-308X;1515;4.390;4.317;0.733;15;7.9;0.00306;1.323;
ADV PHYS ORG CHEM;0065-3160;462;1.923;2.960;0.000;4;>10.0;0.00049;1.069;
ADV PHYS;0001-8732;4400;37.000;25.289;3.778;9;>10.0;0.01484;17.985;
ADV PHYSIOL EDUC;1043-4046;643;1.547;1.825;0.151;53;5.3;0.00157;0.415;
ADV POLYM SCI;0065-3195;4271;3.890;6.192;0.755;49;7.7;0.00788;1.962;
ADV POLYM TECH;0730-6679;545;0.875;1.261;0.071;28;9.7;0.00066;0.325;
ADV POWDER TECHNOL;0921-8831;702;1.612;1.429;0.261;119;3.5;0.00219;0.382;
ADV PROTEIN CHEM STR;1876-1623;52;1.833;1.875;0.250;24;;0.00061;1.383;
ADV QUANTUM CHEM;0065-3276;754;2.275;1.356;0.667;12;>10.0;0.00110;0.510;
ADV ROBOTICS;0169-1864;607;0.571;0.744;0.074;108;5.1;0.00187;0.226;
ADV SKIN WOUND CARE;1527-7941;637;1.438;;0.231;39;5.6;0.00164;;
ADV SPACE RES;0273-1177;6916;1.178;1.066;0.305;443;7.2;0.01963;0.426;
ADV STEEL CONSTR;1816-112X;44;0.339;;0.040;25;;0.00038;;
ADV STRUCT ENG;1369-4332;262;0.324;0.549;0.056;89;5.1;0.00143;0.255;
ADV STUD BEHAV;0065-3454;1079;3.367;4.982;0.167;6;>10.0;0.00245;2.345;
ADV SYNTH CATAL;1615-4150;14629;6.048;5.904;1.003;398;4.1;0.04807;1.488;
ADV THEOR MATH PHYS;1095-0761;1711;0.855;1.696;;;>10.0;0.00352;1.192;
ADV THER;0741-238X;1125;2.105;1.497;0.341;88;4.0;0.00418;0.415;
ADV VIB ENG;0972-5768;51;0.328;;0.000;34;;0.00013;;
ADV VIRUS RES;0065-3527;1415;3.971;5.258;0.161;31;8.5;0.00276;1.691;
ADV WATER RESOUR;0309-1708;4389;2.449;2.873;0.416;137;6.2;0.01509;1.140;
AEOLIAN RES;1875-9637;74;2.179;2.179;0.400;30;;0.00053;1.027;
