Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM T GRAPHIC;0730-0301;5230;3.619;5.012;0.195;185;5.1;0.02183;1.629;
ACM T INFORM SYST SE;1094-9224;196;0.600;;0.056;18;7.1;0.00049;;
ACM T INFORM SYST;1046-8188;1694;1.667;5.774;0.167;24;8.6;0.00254;1.313;
ACM T INTERNET TECHN;1533-5399;436;2.077;;0.312;16;5.3;0.00133;;
ACM T MATH SOFTWARE;0098-3500;2228;1.904;2.494;0.222;27;>10.0;0.00475;1.393;
ACM T MODEL COMPUT S;1049-3301;501;0.684;;0.200;15;>10.0;0.00115;;
ACM T MULTIM COMPUT;1551-6857;142;1.170;;0.125;8;3.2;0.00087;;
ACM T PROGR LANG SYS;0164-0925;1513;0.867;1.478;0.238;21;>10.0;0.00250;0.747;
ACM T SENSOR NETWORK;1550-4859;341;1.938;;0.289;45;3.4;0.00236;;
ACM T SOFTW ENG METH;1049-331X;797;2.029;3.768;0.000;13;7.7;0.00216;1.505;
ACM T WEB;1559-1131;95;2.812;2.813;0.214;14;;0.00049;0.736;
ACS APPL MATER INTER;1944-8244;191;;;0.455;400;0.5;0.00001;;
ACS CHEM BIOL;1554-8929;1360;5.108;5.582;1.120;92;2.4;0.01121;2.393;
ACS NANO;1936-0851;3313;7.493;7.496;1.378;498;1.5;0.01966;2.707;
ACTA ALIMENT HUNG;0139-3006;385;0.505;0.520;0.038;52;>10.0;0.00043;0.091;
ACTA APPL MATH;0167-8019;930;0.523;0.609;0.208;106;8.8;0.00347;0.428;
ACTA BIOCH BIOPH SIN;1672-9145;923;1.482;1.162;0.175;120;3.6;0.00396;0.311;
ACTA BIOCHIM POL;0001-527X;1645;1.262;1.491;0.100;60;6.3;0.00444;0.427;
ACTA BIOETH;0717-5906;16;0.021;;0.000;13;;0.00001;;
ACTA BIOL CRACOV BOT;0001-5296;164;0.571;0.599;0.000;15;4.9;0.00042;0.125;
ACTA BIOL HUNG;0236-5383;344;0.551;0.575;0.073;41;7.5;0.00076;0.145;
ACTA BIOMATER;1742-7061;2320;3.975;4.370;0.742;364;2.3;0.01155;1.189;
ACTA BIOQUIM CLIN L;0325-2957;25;0.064;0.058;;;;0.00003;0.006;
ACTA BIOTHEOR;0001-5342;485;1.394;1.381;0.478;23;>10.0;0.00076;0.375;
ACTA BOT GALLICA;1253-8078;130;0.064;0.183;;;>10.0;0.00022;0.051;
ACTA BOT MEX;0187-7151;128;0.229;;0.000;24;>10.0;0.00020;;
ACTA CARDIOL SIN;1011-6842;39;0.253;;0.108;37;;0.00003;;
ACTA CARDIOL;0001-5385;641;0.604;0.598;0.062;130;5.9;0.00176;0.160;
ACTA CHIM SINICA;0567-7351;2471;0.751;0.678;0.070;469;4.7;0.00378;0.080;
ACTA CHIM SLOV;1318-0207;752;0.841;1.066;0.066;136;4.2;0.00247;0.238;
ACTA CHIR ORTHOP TR;0001-5415;426;1.628;;0.121;66;3.3;0.00049;;
ACTA CHIROPTEROL;1508-1109;365;1.000;1.232;0.205;44;4.7;0.00130;0.329;
ACTA CHROMATOGR;1233-2356;194;0.676;0.775;0.060;50;3.9;0.00071;0.184;
ACTA CLIN BELG;0001-5512;482;1.194;0.882;0.250;68;3.7;0.00165;0.234;
ACTA CLIN CROAT;0353-9466;108;0.188;;0.020;51;4.4;0.00014;;
ACTA CRYSTALLOGR A;0108-7673;14394;49.926;20.635;0.438;48;>10.0;0.04587;6.996;
ACTA CRYSTALLOGR B;0108-7681;10498;1.801;2.033;0.730;74;>10.0;0.00760;0.754;
ACTA CRYSTALLOGR C;0108-2701;6619;0.782;0.698;0.248;326;>10.0;0.00728;0.158;
ACTA CRYSTALLOGR D;0907-4449;10139;2.257;2.013;7.758;153;9.4;0.02675;1.069;
ACTA CRYSTALLOGR E;1600-5368;8891;0.411;0.377;0.334;4148;2.7;0.01583;0.044;
ACTA CRYSTALLOGR F;1744-3091;647;0.551;;0.158;329;2.7;0.00517;;
ACTA CYTOL;0001-5547;2657;0.690;0.800;0.293;123;>10.0;0.00444;0.350;
ACTA DERM-VENEREOL;0001-5555;3556;3.007;2.552;0.487;76;>10.0;0.00521;0.701;
ACTA DERMATOVENER CR;1330-027X;73;0.461;;0.024;42;;0.00026;;
ACTA DIABETOL;0940-5429;805;1.549;1.426;0.340;47;7.6;0.00147;0.419;
ACTA ENDOCRINOL-BUCH;1841-0987;13;0.011;;0.019;53;;0.00000;;
ACTA ETHOL;0873-9749;191;1.000;;0.294;17;6.5;0.00063;;
ACTA GASTRO-ENT BELG;0001-5644;428;1.010;0.842;0.236;55;4.9;0.00111;0.196;
ACTA HAEMATOL-BASEL;0001-5792;1530;1.069;1.200;0.132;76;8.9;0.00293;0.348;
ACTA HISTOCHEM CYTOC;0044-5991;242;1.675;0.792;0.111;27;5.4;0.00067;0.210;
ACTA HISTOCHEM;0065-1281;795;1.234;1.211;0.357;56;7.3;0.00197;0.356;
ACTA INFORM;0001-5903;863;0.923;1.072;0.192;26;>10.0;0.00131;0.505;
ACTA MATER;1359-6454;26183;3.760;4.323;0.736;614;6.1;0.10636;1.781;
ACTA MATH APPL SIN-E;0168-9673;478;0.315;;0.048;63;8.2;0.00197;;
ACTA MATH SIN;1439-8516;1126;0.579;0.655;0.084;167;5.6;0.00695;0.379;
ACTA MECH SOLIDA SIN;0894-9166;273;0.465;0.528;0.073;55;6.1;0.00083;0.161;
ACTA MED OKAYAMA;0386-300X;527;0.837;0.935;0.102;49;7.3;0.00122;0.253;
ACTA MEDICA MEDITERR;0393-6384;1;0.000;;0.000;24;;0.00000;;
ACTA NEUROBIOL EXP;0065-1400;680;1.337;1.548;0.263;38;5.9;0.00184;0.401;
ACTA NEUROCHIR;0001-6268;5634;1.472;1.873;0.175;240;>10.0;0.00984;0.537;
ACTA NEUROL BELG;0300-9009;409;0.597;0.788;0.018;55;8.8;0.00079;0.212;
ACTA NEUROL SCAND;0001-6314;5583;2.324;2.541;0.429;126;9.5;0.01063;0.714;
ACTA NEUROPATHOL;0001-6322;8563;6.397;4.444;1.983;117;8.9;0.01896;1.391;
ACTA NEUROPSYCHIATR;0924-2708;233;0.944;0.858;0.381;42;3.0;0.00075;0.196;
ACTA OBSTET GYN SCAN;0001-6349;5387;1.618;1.661;0.244;176;8.1;0.01219;0.502;
ACTA ODONTOL SCAND;0001-6357;2134;1.412;1.484;0.140;57;>10.0;0.00273;0.454;
ACTA OECOL;1146-609X;1795;1.609;1.908;0.248;109;7.0;0.00486;0.611;
ACTA ONCOL;0284-186X;3584;2.265;2.487;0.598;117;7.2;0.00966;0.771;
ACTA ORTHOP BELG;0001-6462;1045;0.403;;0.029;140;7.6;0.00275;;
ACTA ORTHOP;1745-3674;6086;1.909;2.108;0.184;147;>10.0;0.00973;0.682;
ACTA OTO-LARYNGOL;0001-6489;5482;0.984;1.193;0.139;267;>10.0;0.00874;0.326;
ACTA PAEDIATR;0803-5253;9055;1.768;1.995;0.341;320;8.6;0.02188;0.643;
ACTA PARASITOL;1230-2821;615;1.070;1.073;0.315;54;6.3;0.00166;0.306;
ACTA PHARMACOL SIN;1671-4083;4032;1.783;1.912;0.234;197;5.5;0.01146;0.487;
ACTA PHYS-CHIM SIN;1000-6818;1416;0.718;0.599;0.108;425;3.5;0.00341;0.098;
ACTA PHYSIOL HUNG;0231-424X;277;0.750;;0.212;33;>10.0;0.00036;;
ACTA PHYSIOL PLANT;0137-5881;680;1.232;0.984;0.172;157;4.8;0.00149;0.192;
ACTA PHYSIOL;1748-1708;975;2.810;2.854;0.600;110;2.4;0.00692;1.058;
ACTA PHYTOTAXON SIN;0529-1526;427;0.333;0.388;;0;>10.0;0.00080;0.130;
ACTA POL PHARM;0001-6837;518;0.358;;0.074;95;8.0;0.00073;;
ACTA POLYM SIN;1000-3304;770;0.437;0.423;0.061;214;5.3;0.00119;0.057;
ACTA PROTOZOOL;0065-1583;547;0.775;1.077;0.125;32;7.6;0.00132;0.327;
ACTA PSYCHIAT SCAND;0001-690X;9790;3.733;4.388;0.883;120;9.9;0.01855;1.371;
ACTA RADIOL;0284-1851;3131;1.270;1.260;0.255;157;9.9;0.00646;0.384;
ACTA REUMATOL PORT;0303-464X;116;0.726;;0.158;76;2.6;0.00030;;
ACTA SCI-TECHNOL;1806-2563;33;0.267;;0.033;30;;0.00003;;
ACTA SOC BOT POL;0001-6977;413;0.434;0.495;0.067;45;>10.0;0.00041;0.092;
ACTA THERIOL;0001-7051;993;0.987;0.937;0.054;37;>10.0;0.00125;0.270;
ACTA TROP;0001-706X;4049;2.221;2.446;0.550;171;6.5;0.00954;0.657;
ACTA VET BRNO;0001-7213;450;0.403;0.502;0.057;88;6.2;0.00092;0.104;
ACTA VET HUNG;0236-6290;551;0.642;0.737;0.200;50;8.5;0.00084;0.159;
ACTA VET SCAND;0044-605X;1273;1.000;1.268;0.200;55;>10.0;0.00131;0.307;
ACTA VET-BEOGRAD;0567-8315;104;0.179;0.208;0.000;60;5.2;0.00018;0.032;
ACTA VIROL;0001-723X;572;0.746;0.804;0.098;41;>10.0;0.00066;0.195;
ACTA ZOOL ACAD SCI H;1217-8837;263;0.514;0.597;0.048;21;>10.0;0.00048;0.167;
ACTA ZOOL-STOCKHOLM;0001-7272;742;1.365;1.146;0.250;60;>10.0;0.00136;0.432;
ACTAS ESP PSIQUIATRI;1139-9287;229;0.515;0.547;0.000;36;4.9;0.00075;0.131;
ACTUAL CHIMIQUE;0151-9093;121;0.143;0.154;0.020;100;4.8;0.00049;0.052;
ACUPUNCTURE ELECTRO;0360-1293;141;0.250;0.296;;;>10.0;0.00012;0.084;
AD HOC NETW;1570-8705;687;1.293;;0.394;104;4.2;0.00374;;
AD HOC SENS WIREL NE;1551-9899;63;0.309;;0.074;27;;0.00042;;
ADANSONIA;1280-8571;241;0.359;;0.192;26;>10.0;0.00041;;
ADAPT BEHAV;1059-7123;543;1.911;2.106;0.348;23;6.9;0.00145;0.669;
ADAPT PHYS ACT Q;0736-5829;495;0.947;1.084;0.105;19;9.7;0.00056;0.253;
ADDICT BEHAV;0306-4603;5936;2.248;2.501;0.256;176;6.6;0.01920;0.848;
ADDICT BIOL;1355-6215;1055;4.728;3.868;0.962;53;3.6;0.00442;1.167;
ADDICTION;0965-2140;10432;3.842;4.800;1.302;205;6.7;0.03115;1.661;
ADSORPT SCI TECHNOL;0263-6174;612;0.344;0.646;0.029;35;7.7;0.00098;0.139;
ADSORPTION;0929-5607;1022;1.580;1.450;0.226;53;4.8;0.00361;0.420;
ADV ANAT EMBRYOL CEL;0301-5556;382;2.211;2.677;0.455;11;>10.0;0.00059;0.907;
ADV ANAT PATHOL;1072-4109;933;3.221;3.324;0.333;39;4.8;0.00387;1.094;
ADV APPL CLIFFORD AL;0188-7009;130;0.447;;0.102;49;4.7;0.00046;;
ADV APPL MATH;0196-8858;922;0.931;0.874;0.404;47;8.9;0.00554;0.861;
ADV APPL MICROBIOL;0065-2164;816;1.860;2.319;0.762;21;9.4;0.00190;0.807;
ADV APPL PROBAB;0001-8678;1856;0.852;1.079;0.132;53;>10.0;0.00562;0.974;
ADV BIOCHEM ENG BIOT;0724-6145;1404;4.165;3.572;0.244;41;5.6;0.00482;1.114;
ADV BOT RES;0065-2296;715;1.333;2.764;0.500;38;>10.0;0.00132;1.151;
ADV CANCER RES;0065-230X;1815;4.456;6.295;0.074;27;9.2;0.00421;2.300;
ADV CARBOHYD CHEM BI;0065-2318;840;2.667;3.400;0.800;5;>10.0;0.00029;0.943;
ADV CATAL;0360-0564;1595;3.571;9.650;1.500;6;>10.0;0.00130;3.118;
ADV CEM RES;0951-7197;293;0.756;0.786;0.091;22;9.2;0.00086;0.402;
ADV CHROMATOGR;0065-2415;254;1.235;1.767;0.200;10;>10.0;0.00031;0.501;
ADV CHRONIC KIDNEY D;1548-5595;485;2.415;2.044;0.439;57;2.9;0.00309;0.660;
ADV CLIN CHEM;0065-2423;317;3.406;2.918;0.045;22;4.4;0.00120;0.792;
ADV CLIN EXP MED;1230-025X;68;0.094;;0.039;76;;0.00009;;
ADV COLLOID INTERFAC;0001-8686;5220;5.675;6.373;1.724;58;7.6;0.01153;1.931;
ADV COMPLEX SYST;0219-5259;339;0.723;0.773;0.118;34;6.7;0.00110;0.300;
ADV COMPUT MATH;1019-7168;1162;1.354;1.463;0.333;36;9.7;0.00489;1.168;
ADV COMPUT;0065-2458;191;0.393;0.407;0.050;20;>10.0;0.00020;0.113;
ADV DIFFER EQU-NY;1687-1839;161;0.892;;0.130;77;3.3;0.00091;;
ADV DRUG DELIVER REV;0169-409X;14555;11.957;12.080;0.943;122;6.6;0.04067;3.632;
ADV ECOL RES;0065-2504;1384;0.762;2.767;1.400;5;>10.0;0.00189;1.511;
ADV ELECTR COMPUT EN;1582-7445;47;0.509;;0.118;51;;0.00000;;
ADV ENG INFORM;1474-0346;460;1.730;2.311;0.159;44;4.3;0.00177;0.564;
ADV ENG MATER;1438-1656;2776;1.761;2.000;0.117;196;5.0;0.01326;0.754;
ADV ENG SOFTW;0965-9978;991;1.045;1.176;0.153;150;6.0;0.00302;0.360;
ADV EXP MED BIOL;0065-2598;9103;2.020;1.376;0.112;687;8.0;0.02444;0.493;
ADV FUNCT MATER;1616-301X;16763;6.990;8.460;1.208;443;3.6;0.08934;2.743;
ADV GENET;0065-2660;955;3.389;3.678;;;7.6;0.00400;1.673;
ADV HEALTH SCI EDUC;1382-4996;493;1.412;1.871;0.397;63;5.0;0.00228;0.708;
ADV HETEROCYCL CHEM;0065-2725;935;2.375;2.778;0.125;8;>10.0;0.00063;0.672;
ADV IMMUNOL;0065-2776;2162;7.725;6.431;0.947;19;9.8;0.00824;3.413;
ADV INORG CHEM;0898-8838;1765;1.714;4.068;0.300;10;>10.0;0.00119;1.303;
ADV INSECT PHYSIOL;0065-2806;380;5.250;6.333;0.143;7;>10.0;0.00110;3.523;
ADV MATER PROCESS;0882-7958;361;0.199;0.276;0.047;64;8.4;0.00112;0.137;
ADV MATER;0935-9648;57456;8.379;9.836;1.737;665;5.4;0.21307;3.337;
ADV MATH COMMUN;1930-5346;56;0.847;0.881;0.129;31;;0.00064;0.518;
ADV MED SCI-POLAND;1896-1126;197;1.057;;;;2.8;0.00100;;
ADV MICROB PHYSIOL;0065-2911;845;5.750;8.174;2.600;5;>10.0;0.00151;3.162;
ADV NONLINEAR STUD;1536-1365;199;0.739;0.897;0.182;44;4.5;0.00190;0.586;
ADV NURS SCI;0161-9268;963;1.414;1.628;0.080;25;>10.0;0.00116;0.385;
ADV ORGANOMET CHEM;0065-3055;1017;7.154;6.375;;0;>10.0;0.00165;1.984;
ADV PARASIT;0065-308X;1316;6.231;7.594;0.290;31;9.1;0.00327;2.458;
ADV PHYS ORG CHEM;0065-3160;435;2.000;2.364;0.000;6;>10.0;0.00044;0.951;
ADV PHYSIOL EDUC;1043-4046;570;1.542;1.818;0.178;45;4.9;0.00148;0.392;
ADV POLYM SCI;0065-3195;4067;4.600;6.667;2.667;9;9.1;0.01286;2.452;
ADV POLYM TECH;0730-6679;525;0.769;1.138;0.000;24;>10.0;0.00083;0.344;
ADV POWDER TECHNOL;0921-8831;328;0.636;0.766;0.153;85;5.5;0.00083;0.186;
ADV PROTEIN CHEM;0065-3233;2592;3.200;5.427;;0;>10.0;0.00507;2.973;
ADV QUANTUM CHEM;0065-3276;771;1.167;1.192;0.429;21;>10.0;0.00168;0.468;
ADV ROBOTICS;0169-1864;486;0.629;0.800;0.035;115;5.2;0.00162;0.229;
ADV STUD BEHAV;0065-3454;979;5.167;5.659;0.429;14;>10.0;0.00230;2.510;
ADV SYNTH CATAL;1615-4150;10194;5.187;5.477;0.857;384;3.6;0.04640;1.525;
ADV THER;0741-238X;702;0.936;0.988;0.250;92;3.7;0.00236;0.236;
ADV VIRUS RES;0065-3527;1328;5.522;5.563;0.667;6;6.9;0.00345;2.072;
AEROBIOLOGIA;0393-5965;600;1.173;;0.147;34;8.5;0.00099;;
AEROSOL SCI TECH;0278-6826;4135;2.739;3.218;0.633;120;7.7;0.01263;1.149;
AEU-INT J ELECTRON C;1434-8411;394;0.508;0.497;0.074;136;4.9;0.00109;0.121;
AFINIDAD;0001-9704;141;0.190;0.196;0.000;30;6.3;0.00022;0.031;
AFR ENTOMOL;1021-3589;242;0.420;0.515;0.100;30;6.7;0.00077;0.180;
AFR INVERTEBR;1681-5556;118;1.216;;0.150;20;2.9;0.00079;;
AFR J BIOTECHNOL;1684-5315;1961;0.565;;0.054;1131;3.4;0.00514;;
AFR J ECOL;0141-6707;1237;0.629;0.903;0.120;133;9.1;0.00278;0.300;
AFR J HERPETOL;0441-6651;98;0.455;;0.250;16;;0.00027;;
AFR J MICROBIOL RES;1996-0808;40;0.407;0.407;0.039;129;;0.00011;0.061;
AFR J PHARM PHARMACO;1996-0816;32;0.667;0.667;0.107;75;;0.00005;0.073;
AFR J TRADIT COMPLEM;0189-6016;129;0.415;;0.058;52;3.3;0.00041;;
AFR ZOOL;1562-7020;178;0.746;0.574;0.143;28;5.0;0.00076;0.207;
AGE AGEING;0002-0729;5043;3.131;3.454;0.597;129;7.8;0.01218;1.034;
AGE;0161-9152;699;5.839;4.595;0.545;33;4.8;0.00288;1.650;
AGEING RES REV;1568-1637;1170;5.622;6.328;1.500;32;4.5;0.00502;1.930;
AGGRESSIVE BEHAV;0096-140X;1630;1.698;2.332;0.318;44;7.9;0.00422;0.831;
AGING CELL;1474-9718;2564;7.554;7.207;0.871;70;3.0;0.01822;2.918;
AGING CLIN EXP RES;1594-0667;1478;1.255;1.674;0.508;65;6.4;0.00401;0.503;
AGING MALE;1368-5538;326;1.705;;0.167;12;5.5;0.00095;;
AGING MENT HEALTH;1360-7863;1181;1.127;1.720;0.112;98;5.5;0.00361;0.466;
AGR ECOSYST ENVIRON;0167-8809;7746;3.130;3.462;0.442;224;6.5;0.02211;1.069;
AGR FOOD SCI;1459-6067;266;0.925;0.865;0.029;35;5.7;0.00077;0.227;
AGR FOREST ENTOMOL;1461-9555;607;1.554;1.698;0.548;42;5.4;0.00225;0.564;
AGR HIST;0002-1482;176;0.375;0.275;0.062;16;>10.0;0.00017;0.104;
AGR HUM VALUES;0889-048X;563;1.123;1.288;0.222;27;7.1;0.00154;0.402;
AGRIBUSINESS;0742-4477;283;0.354;;0.129;31;8.1;0.00056;;
AGRO FOOD IND HI TEC;1722-6996;169;0.191;0.175;0.037;109;5.1;0.00048;0.042;
AGROCHIMICA;0002-1857;212;0.288;0.303;0.059;34;>10.0;0.00020;0.068;
AI COMMUN;0921-7126;461;0.755;0.881;0.118;17;>10.0;0.00071;0.270;
AI EDAM;0890-0604;357;0.636;1.143;0.000;26;8.3;0.00079;0.360;
AI MAG;0738-4602;1180;1.018;1.841;0.931;29;>10.0;0.00127;0.443;
AICHE J;0001-1541;15043;1.955;2.277;0.343;283;>10.0;0.02364;0.755;
AIDS PATIENT CARE ST;1087-2914;1690;2.683;2.597;0.232;125;4.2;0.00578;0.636;
AIDS READ;1053-0894;313;0.612;;0.444;18;5.4;0.00088;;
AIDS RES HUM RETROV;0889-2229;4457;2.178;2.152;0.326;172;6.9;0.01254;0.675;
AIDS REV;1139-6121;591;3.786;3.738;0.333;21;4.7;0.00298;1.337;
AIDS;0269-9370;19911;4.909;5.334;1.150;314;6.0;0.06843;1.825;
AJAR-AFR J AIDS RES;1608-5906;111;0.569;;0.082;49;3.5;0.00045;;
AKTUEL NEUROL;0302-4350;130;0.213;0.189;0.084;95;4.4;0.00019;0.024;
AKTUEL RHEUMATOL;0341-051X;84;0.127;0.142;0.054;37;;0.00006;0.013;
AKTUEL UROL;0001-7868;86;0.206;0.233;0.069;29;;0.00023;0.049;
ALCATEL TELECOMMUN R;1267-7167;20;0.000;0.050;;0;;0.00007;0.020;
ALCOHOL ALCOHOLISM;0735-0414;3010;2.289;2.454;0.826;86;7.2;0.00751;0.749;
ALCOHOL CLIN EXP RES;0145-6008;11624;3.392;3.568;0.395;233;7.7;0.02675;1.030;
ALCOHOL;0741-8329;2182;2.407;2.532;0.263;57;7.9;0.00519;0.753;
ALDRICHIM ACTA;0002-5100;999;18.688;14.917;0.000;4;5.4;0.00382;5.095;
ALGEBR COLLOQ;1005-3867;268;0.380;0.438;0.106;66;5.8;0.00241;0.381;
ALGORITHM MOL BIOL;1748-7188;120;1.821;2.250;0.200;15;3.1;0.00110;1.015;
ALGORITHMICA;0178-4617;1762;0.917;1.166;0.135;89;>10.0;0.00469;0.668;
ALIMENT PHARM THER;0269-2813;11831;4.357;3.825;0.879;264;5.1;0.03715;0.989;
ALLERGOL IMMUNOPATH;0301-0546;443;0.630;;0.217;46;6.5;0.00098;;
ALLERGOLOGIE;0344-5062;120;0.120;0.105;0.132;53;>10.0;0.00006;0.009;
ALLERGY ASTHMA PROC;1088-5412;1045;1.796;1.270;0.240;96;4.0;0.00276;0.258;
ALLERGY CLIN IMMUNOL;0838-1925;123;0.615;;;0;5.8;0.00025;;
ALLERGY;0105-4538;10370;6.380;5.735;1.366;213;5.3;0.02796;1.389;
ALTERN MED REV;1089-5159;1039;3.515;;0.526;19;7.2;0.00167;;
ALTEX-ALTERN TIEREXP;0946-7785;224;0.922;0.950;1.200;10;4.0;0.00117;0.355;
ALZ DIS ASSOC DIS;0893-0341;1839;2.875;3.194;0.231;65;6.2;0.00596;1.050;
ALZHEIMERS DEMENT;1552-5260;799;4.553;;0.852;61;1.9;0.00424;;
AM BEE J;0002-7626;388;0.232;0.156;0.078;115;>10.0;0.00040;0.034;
AM BIOL TEACH;0002-7685;364;0.263;0.344;0.029;35;>10.0;0.00057;0.124;
AM FAM PHYSICIAN;0002-838X;3875;1.702;1.991;0.286;126;7.0;0.00852;0.525;
AM FERN J;0002-8444;283;0.400;0.517;0.087;23;>10.0;0.00022;0.121;
AM HEART J;0002-8703;18708;4.357;4.127;1.090;311;7.2;0.06364;1.610;
AM J BIOETHICS;1526-5161;1191;4.000;3.674;10.212;33;2.8;0.00535;1.495;
AM J BOT;0002-9122;13282;2.684;3.607;1.139;194;>10.0;0.02621;1.344;
AM J CARDIOL;0002-9149;34917;3.575;3.493;0.618;597;7.8;0.09284;1.168;
AM J CARDIOVASC DRUG;1175-3277;566;1.964;;0.400;40;4.2;0.00252;;
AM J CHINESE MED;0192-415X;1254;1.422;1.226;0.125;96;6.3;0.00241;0.244;
AM J CLIN DERMATOL;1175-0561;1144;1.820;2.000;0.250;52;6.2;0.00275;0.528;
AM J CLIN NUTR;0002-9165;46005;6.307;7.744;7.113;462;7.5;0.09368;2.211;
AM J CLIN ONCOL-CANC;0277-3732;2819;2.206;1.814;0.173;104;7.6;0.00657;0.544;
AM J CLIN PATHOL;0002-9173;9097;2.473;2.717;0.546;194;9.8;0.01995;0.936;
AM J CRIT CARE;1062-3264;1203;1.658;2.054;0.419;62;6.5;0.00323;0.603;
AM J DENT;0894-8275;1783;1.314;1.414;0.113;71;8.0;0.00338;0.386;
AM J DERMATOPATH;0193-1091;2508;1.295;1.508;0.036;139;9.6;0.00371;0.365;
AM J EMERG MED;0735-6757;3105;1.542;1.531;0.260;177;8.1;0.00727;0.454;
AM J ENOL VITICULT;0002-9254;3412;1.171;1.749;0.200;65;>10.0;0.00287;0.454;
AM J EPIDEMIOL;0002-9262;30208;5.589;6.249;0.960;321;9.7;0.07359;2.549;
AM J FOREN MED PATH;0195-7910;1256;0.713;0.964;0.085;94;9.5;0.00228;0.284;
AM J GASTROENTEROL;0002-9270;26199;6.012;6.380;1.580;312;6.9;0.06330;1.818;
AM J GERIAT PSYCHIAT;1064-7481;3176;3.353;3.842;0.890;100;4.4;0.01340;1.194;
AM J GERIATR CARDIOL;1076-7460;260;1.036;;;0;5.6;0.00094;;
AM J HEALTH-SYST PH;1079-2082;3343;2.097;1.961;0.731;167;4.7;0.01042;0.504;
AM J HEMATOL;0361-8609;4616;2.610;2.205;0.624;109;6.8;0.01225;0.640;
AM J HUM BIOL;1042-0533;1796;2.121;2.130;0.765;102;6.0;0.00526;0.655;
AM J HUM GENET;0002-9297;34654;12.303;12.162;1.435;168;7.5;0.12698;5.783;
AM J HYPERTENS;0895-7061;7615;3.036;3.219;0.789;185;6.7;0.02115;0.988;
AM J IND MED;0271-3586;4363;1.721;2.002;0.212;104;9.7;0.00792;0.670;
AM J INFECT CONTROL;0196-6553;3464;3.013;3.088;0.240;150;6.0;0.01151;1.009;
AM J KIDNEY DIS;0272-6386;18420;5.152;4.889;1.545;257;7.2;0.03893;1.406;
AM J MANAG CARE;1088-0224;2263;2.737;2.692;0.302;96;4.9;0.01151;1.031;
AM J MED GENET A;1552-4825;5795;2.404;2.416;0.353;343;3.9;0.03310;0.789;
AM J MED GENET B;1552-4841;3755;3.481;3.807;0.955;133;3.6;0.02166;1.249;
AM J MED GENET C;1552-4868;924;4.562;4.683;0.200;35;4.3;0.00550;1.641;
AM J MED QUAL;1062-8606;583;1.500;1.764;0.319;47;4.7;0.00298;0.733;
AM J MED SCI;0002-9629;3631;1.195;1.369;0.184;207;>10.0;0.00614;0.398;
AM J MED;0002-9343;23323;4.466;5.020;1.206;180;>10.0;0.04595;1.802;
