last_name	first_name	search	department	Secondary_Institution_Name	AwardYear	Title	Sponsor_First	Sponsor_Last
Gale	Andrew		Scripps Research Institute		1998	"Structure Function Studies of the Blood, Antithrombotic Factor, Protein C"	John	Griffin
Gdula	David		National Cancer Institute	"Medicine Branch, Division of Clinical Sciences"	1998	Geographic and Kinetic analysis of t cell responses to self and foreign antigens	FALSE	FALSE
Goode	Scott		Baylor College of Medicine		1998	Characterization of Tumor Suppressor Protein Domains that Inhibit Metastasis	Michael	Lieberman
Gopalakrishnan	Vidya		Johns Hopkins University		1998	Role of Cdc18 in the Initiation of DNA Replication in Schizosaccharomyces Pombe	Thomas	Kelly
Gould	Karen		University of Wisconsin at Madison	College of Agricultural and Life Sciences	1998	Gene Expression Regulation of the Lymphocyte Adhesion Molecule VLA-4 During Hematopoietic Differentiation & Oncogenic Transformation	FALSE	FALSE
Grusby	Michael		Brigham & Women's Hospital		1998	Regulation of the Differentiation & Function of TH2 Cells		
Hadzic	Emir		Rockefeller University		1998	Stat Activated Promoters: Role Of Stat Proteins	James	Darnell
Hansen	Mark		University of Colorado at Boulder		1998	Developmental Regulation of the PEBP2/CBF	FALSE	FALSE
Hsiung	Yuchu		Scripps Research Institute		1998	Control of Gl/S by Proteolysis	Curt	Wittenberg
Hughes	Paul		Scripps Research Institute		1998	Identification & Characterization of Suppressors of Integrin Activation	Mark	Ginsberg
Iniguez-Lluhi	Jorge		"The Regents of the University of California, San Francisco"		1998	Mechanistic Analysis of Transcriptional Activation by the Glucocorticoid Receptor	Keith	Yamamoto
Jiang	Feng		Memorial Sloan-Kettering Cancer Center		1998	Structural Basis for the Interaction between the Human T-Cell Leukemia Virus Type I REX Protein & REX-response Element	Dinshaw	Patel
Kalejta	Robert		Princeton University		1998	Effects of Human Cytomegalovirus (HCMV) Infection on G1 Cell Cycle Progression	Thomas	Shenk
Kamps	Mark		University of California at San Diego	School of Medicine	1998	"Mechanism of Leukemogenesis by the t(1;19) Translocation Protein, E2a-Pbx1"	David	Bailey
Kaplan	Mark		Indiana University School of Medicine	Walther Oncology Center	1998	Stat Proteins in Lymphocyte Proliferation & Differentiation	Hal	Broxmeyer
Kennedy	Brian		Massachusetts General Hospital		1998	Identification & Characterization of Substrates of Cyclin/Cdk Kinase Complexes	Edward	Harlow
Kimura	Keiji		Cold Spring Harbor Laboratory		1998	Biochemical Analysis of Mitotic Chromosome Condensation	Tatsuya	Hirano
Koleske	Anthony		Yale University		1998	Role of Arg & Abl in Disease & Development	Joan	Steitz
Kwok	Roland		University of Michigan		1998	Functional Interaction between HTLV-1 Tax Protein & the CREB Co-activator CBP	Jack	Dixon
Laurents	Douglas		Instituto de Estuctura de la Materia		1998	Models for Protein Folding: Rapid Folding of Phage 434 Protein	Manuel	Rico
Lee	San Eun		Brandeis University	Rosenstiel Basic Medical Sciences Research Center	1998	Role of Yeast Ku Protein in Cell Cycle Checkpoints & New Telomere Formation	James	Haber
Lee	Bee-Na		Harvard Medical School		1998	"Characterization of a Yeast Negative Growth Regulator Sna2, a Homolog of a Tumor Suppressor Binding Protein"	Elaine	Elion
Lee-Fruman	Kay		Harvard Medical School		1998	Molecular Regulation of the Cell Cycle	FALSE	FALSE
Levitsky	Hyam		Johns Hopkins University School of Medicine		1998	Analysis & Modulation of the Immune Response to B Cell Malignancies	FALSE	FALSE
Li	Qingqin		The University of Chicago		1998	"Functional analysis of cytohesins, a family of cytoplasmic integrin regulators"		
Lieberman	Paul		Wistar Institute		1998	Transcriptional Activation of Latent Epstein-barr Virus	FALSE	FALSE
Luo	Hong		Massachusetts General Hospital		1998	Identification of JAK Kinase Signaling Components in Drosophila	Charles	Dearolf
Mann	Richard		Columbia University		1998	Control of Extradenticle Nuclear Localization in Drosophila	David	Hirsh
McNabb	David		Massachusetts Institute of Technology		1998	Structural Analysis of the Yeast CCAAT-binding Factor	Leonard	Guarente
Nguyen	Lam		Albert Einstein College of Medicine		1998	In Vitro and Vivo Characterization of the TEL/JAK2 Fusion Gene Associated with Human Leukemia	FALSE	FALSE
Page	Barbara		Fred Hutchinson Cancer Research Center		1998	Interaction of GATA & bHLH Factors in the Specification of Cell Fate in C. Elegans	James	Priess
Pandolfi	Pier		Memorial Sloan-Kettering Cancer Center		1998	Genes & Gene Rearrangements in the Molecular Pathogenesis of Acute Promyelocytic Leukemia	Lucio	Luzzatto
Patterson	Garth		Rutgers University		1998	Signaling by Homologs of TGF-beta Pathway Tumor Suppressors	Robert	Krug
Perez-Alvarado	Gabriela		Scripps Research Institute		1998	Structural Studies of the DNA-binding Runt Domain of the Polyomavirus Enhancer-binding Protein 2-alpha	Peter	Wright
Reilly	Karlyne		Massachusetts Institute of Technology	Center for Cancer Research	1998	Identification of Modifier Loci Affecting Tumors in P53- & Nf-1- Mice	Tyler	Jacks
Rempel	Rachel		Duke University Medical Center		1998	Roles of E2F4 & E2F5 Gene Products in Cell Growth & Differentiation	Joseph	Nevins
Renne	Rolf		Case Western Reserve University		1998	Identification & Functional Characterization of the Immediate Early Genes of Kaposi's Sarcoma-associated Herpesvirus (KSHV)	Stan	Gerson
Schumacher	Jill		National Cancer Institute	ABL-Basic Research Program	1998	"Characterization of Polaris, a Novel Mammalian Mitotic Kinase"	FALSE	FALSE
Sheaff	Robert		"University of Minnesota, Twin Cities"	Cancer Center	1998	Elucidating Mechanisms of Cell Cycle Progression by Enzymatic Analysis	Catherine	Verfaillie
Snyder	Cynthia		University of California at San Diego		1998	Involvement of the Transcription Factor CBP in AML with T(8:16)	Christopher	Glass
Strasser	Andreas		Walter & Eliza Hall Institute of Medical Research		1998	Role Of Oncogenes & Tumor Suppressor Genes In Cell Death Regulation	Suzanne	Cory
Tamir	Idan		National Jewish Medical and Research Center		1998	Molecular Analysis of Signaling by the B Cell Antigen Receptor	John	Cambier
Tibbetts	Randal		Duke University Medical Center		1998	MRK1 & the Molecular Basis of Cell Cycle Checkpoints	Robert	Abraham
Timms	John		Beth Israel Deaconess Medical Center		1998	Molecular mechanism of telomere function and its role in leukemia	FALSE	FALSE
Tomasson	Michael		Brigham & Women's Hospital		1998	Development Of An Animal Model For Tel-pdgfbr Associated Chronic Myelomonocytic Leukemia	D. Gary	Gilliland
Tunyaplin	Chainarong		Columbia University		1998	In Vitro Analysis of IgH Enhancer Mechanism	Kathryn	Calame
Walker	Kristen		Salk Institute for Biological Studies		1998	Role of the Retinoic Acid Receptor in Cell Growth Control	Ronald	Evans
Wappner	Pablo		Campomar Institute		1998	Drosophila Tracheal Development as a Model System for Tumor Angiogenesis	Luis	Quesada-Allue
Weinreich	Michael		Van Andel Research Institute		1998	Controlling the Initiation of DNA Replication	George	Vande Woude
Welch	Matthew		University of California at Berkeley		1998	Mechanisms that Control Actin Polymerization in Cells	W. Zacheus	Cande
Wu	Louisa		University of Maryland	Biotechnology Institute	1998	A Genetic Study of Innate Immunity in Drosophila Melanogaster	Donald	Nuss
Wu	Rui-Yun		"The Regents of the University of California, San Francisco"		1998	Circular Antisense Oligonucleotides Specific for Chronic Myeloid Leukemia	FALSE	FALSE
Yamasaki	Lili		Columbia University		1998	Functional Consequences of Inactivating E2F/DP Transcriptional Activity in Vivo	Carol	Prives
Yew	P. Renee		University of Texas	Health Science Center at San Antonio	1998	CDC34 Regulation of DNA replication in Vertebrates	Wen-Hwa	Lee
Zhang	Jianke		University of California at Berkeley		1998	"In Vitro and in Vivo Studies of the Mortl/FADD Protein, a Mediator of the Fas-induced Apoptosis"	Astar	Winoto
Alam	Syed Munir		Duke University Medical Center		1999	Interaction of Soluble TCR with Peptide-MHC Complexes	Barton	Haynes
Alyea	Edwin		Dana Farber Cancer Institute		1999	Donor Lymphocyte Infusion in Acute Leukemia: Identification of Mechanisms and Improvement in Efficacy	James	Griffin
Ayer	Donald		University of Utah	School of Medicine	1999	Purification and Characterization of the mSin3A Corepressor Complex		
Benschop	Robert		National Jewish Medical and Research Center		1999	The Role of Antigen Structure in B Cell Receptor Signaling	John	Cambier
Borrello	Ivan		Johns Hopkins University School of Medicine	Immunology and Hematopoiesis	1999	Integration of GM-CSF-Based Vaccines in Bone Marrow Transplantation	Hyam	Levitsky
Bryk	Mary		Harvard Medical School		1999	Silencing of Yeast Retrotransposons: A Novel Mechanism for Regulating Gene Expression	Fred	Winston
Buchholz	Frank		"The Regents of the University of California, San Francisco"	G.W. Hooper Research Foundation	1999	A Conditional Mouse-Model for t(8;21) induced leukemia using Cre-loxP technology	J. Michael	Bishop
Budihardjo	Imawati		University of Texas	Southwestern Medical Center at Dallas	1999	Regulation of Apoptotic Protease Activation Factors (Apafs) in Chemotherapy-induced Programmed Cell Death in Leukemia	Xiaodong	Wang
Burden	Donald		Middle Tennessee State University		1999	DNA Site-Specificity of Topoisomerase II-Targeted Drugs and Anticancer Potential	Earl	Pearson
Burt	Richard		Northwestern University		1999	Adoptive Immunotherapy for Leukemia: Donor Lympocytes Transduced with the Herpea Simplex Thymidine Kinase Gene for Remission Induction	Steven	Rosen
Chua	Penelope		University of California at Berkeley		1999	Mechanisms of Transcriiptional Silencing in Yeast	Jasper	Rine
Coggeshall	K.M.		Oklahoma Medical Research Foundation		1999	Ship Inositol Phosphatase In Lymphocyte Negative Signaling	Paul	Kincade
Dudley	Andrew		Harvard Medical School		1999	Function of Gli Gene Family Members in Mouse Limb Development	Clifford	Tabin
Farnsworth	Charles		Harvard Medical School		1999	The Role Of Fast-1 In Mediating The Transcriptional Response To Tgf-b Signaling	Malcom	Whitman
Friedman	Alan		Johns Hopkins University School of Medicine		1999	Myeloid Luekemogenesis By Cbfb-smmhc	Curt	Civin
Furman	David		University of California at Irvine		1999	Role of Phosphoinositide 3-Kinase in Lymphocyte Development and Activation	Jerry	Manning
Gately	Dennis		University of California at San Diego		1999	Human tumor suppressor protein p53: activating the basal transcriptional machinery	FALSE	FALSE
Gore	Steven		Johns Hopkins University School of Medicine		1999	Further Clinical Development of the Putative Differentiating Agent Phenylbutyrate in Myeloid Malignancies	Stewart	Craig
Grammer	Timothy		University of California at Berkeley	Division of Immunology	1999	Characterization Of The Role Of Tgf-beta Signalling In Early Vertebrate Development	Richard	Harland
Gu	Zhengtian		University of Pennsylvania		1999	Molecular Basis of Caax Prenyltransferase Specificity	FALSE	FALSE
Guadagno	Thomas		University of South Florida	University of South Florida	1999	The Role of Map Kinase During Mitosis	Richard	Jove
Haggerty	Timothy		Johns Hopkins University School of Medicine		1999	Regulation of V(D)J Recombination	Chi Van	Dang
Hahn	Mounou		"The Regents of the University of California, San Francisco"	Hooper Foundation	1999	Genetic Analyses of Normal and Oncogenic RET Signaling	J. Michael	Bishop
Harada	Hisashi		Dana Farber Cancer Institute		1999	The Regulation of BAD and its Role on Cell Death	Stanley	Korsmeyer
Jiang	Jin		University of Texas	Southwestern Medical Center at Dallas	1999	Genetic Analysis of Hedgehog Signal Transduction	Luis	Parada
Kao	Hung-Ying		Case Western Reserve University	University Hospitals Ireland Cancer Center	1999	Control Of Signal Transduction By The Transcriptional Corepressor Smrt	Michael	Weiss
Kee	Barbara		The University of Chicago		1999	Analysis of E2A Function During B and T Lymphocyte Development	Cornelis	Murre
Khorasanizadeh	Sepideh		University of Virginia	School of Medicine	1999	Structure Determination of HTLV-I Capsid Protein	Joyce	Hamlin
Kim	Unkyu		Rockefeller University		1999	"Analysis of B Cell Maturation, Germinal Center Formation and Immune Response in Mice Lacking the Lymphocyte Specific Transcriptiion Co-"	Robert	Roeder
Kornbluth	Sally		Duke University Medical Center		1999	Regulation of Apoptosis	Anthony	Means
Lam	Yuen Yu Amy		Johns Hopkins University School of Medicine		1999	Function and Specificity of Ubiquitin Conjuagating Enzyme	Cecile	Pickart
Lambright	David		University of Massachusetts Medical School		1999	Structural Basis of Regulated Nucleotide Exchange in Monomeric GTP-Binding Proteins		
Laughlin	Mary		Case Western Reserve University	University Hospitals Ireland Cancer Center	1999	Graft vs  Leukemia Effects After Unrelated Allogenic Cord Blood Transplantation	Stanton	Gerson
Li	Bibo		Rockefeller University		1999	Vertebrate Telomer Sie Control by TRF2	Titia	de Lange
Liesveld	Jane		University of Rochester	Hematology-Oncology	1999	Autologous Stem Cell Transplantation In Myelodysplasia And Secondary Leukemia	Richard	Fisher
Lim	Young-Mi		University of California at Los Angeles	School of Medicine	1999	Regulation of BCR/ABL Function Using Targeted Inhibition	John	Colicelli
Lorsch	Jon		Johns Hopkins University School of Medicine		1999	Kinetic & Thermodynamic Analysis of Eukarvotic Translation Initiation	Jeremy	Berg
Lu	Kun Ping		Beth Israel Deaconess Medical Center		1999	Regulation of Mitosis and Telomere Maintenance	Benjamin	Neel
Lutterbach	Bart		Vanderbilt University	School of Medicine	1999	Role of the t(8;21) Fusion Protein in Leukemogenesis	Scott	Hiebert
Martelli	Fabio		Istituto Dermopatico dell' Immacolata		1999	Physiological Relevance of the Regulation of E2F1 Stability	Maurizio	Capogrossi
Martinez-Hackert	Erik		Columbia University		1999	Crystallographic Studies of CD3-Cell Receptor Complexes	Wayne	Hendrickson
Maxfield	Lori		Tufts University School of Medicine		1999	The Relationship between Retroviral Integration and Host Cell Chromatin Structure in Vivo	John	Coffin
McArthur	Grant		Peter MacCallum Cancer Institute		1999	Function of the Mad Family of Myc-Antagonists in Cell Cycle Regulation	John	Zalcberg
McMahan	Catherine		University of Washington	School of Medicine	1999	Mechanism of Transgene Arrest in Peripheral Tolerance	Pamela	Fink
McMahon	Steven		Wistar Institute		1999	Characterization of the Essential c-Myc Co-Factor TR-AP	Frank	"Rauscher, III"
Mendez	Raul		University of Massachusetts Medical School		1999	Regulation of Cell Cycle Progression by CPEB Mediated Polyadenylation	Joel	Richter
Moghal	Nadeem		California Institute of Technology		1999	"Molecular/Genetic Analysis of the Function of the C-Cbl Homlog, Sli-1"	Paul	Sternberg
Munshi	Nikhil		Dana Farber Cancer Institute		1999	Immunotherapeutic Approaches in Multiple Myeloma	Kenneth	Anderson
Nucifora	Giuseppina		University of Illinois at Chicago		1999	The EVI1 in Human Myeloid Leukemia		
Pear	Warren		University of Pennsylvania 	School of Medicine	1999	Murine Models to Investigate the Pathogenesis of Chronic Myelogenous Leukemia	Peter	Davies
Pendergrast	P. Shannon		Cold Spring Harbor Laboratory		1999	"Functional Characterization of a Novel POZ-domain-Containing Protein, FBI-1"	Nouria	Hernandez
Rabenstein	Mark		University of California at Berkeley	Howard Hughes Medical Institute	1999	The TBP Transcription Factor Family and Gene Regulation	FALSE	FALSE
Rao	Hai		California Institute of Technology		1999	Genetic and Biochemical Dissection of the N-end Rule Pathway	Alexander	Varshavsky
Ren	Ruibao		Brandeis University	Rosenstiel Basic Medical Sciences Research Center	1999	Study of the Chronic Myelogenous Leukemogenesis Induced by Bcr-Abl		
Richards	Stephanie Anne		Harvard Medical School		1999	PP90 RSK: Regulation and Cellular Growth Control	John	Blenis
Sakamoto	Kathleen		University of California at Los Angeles		1999	The Role of P55dc During Myelopoiesis		
Satterthwaite	Anne		University of Texas	Southwestern Medical Center at Dallas	1999	A Genetic Approach to Identify Proteins which Interact Funtionally with Burton Tyrosine Kinase to Regulate B Cell Development and Funct	Joel	Taurog
Schnabel	Catherine		Stanford University		1999	Functional Characterization of Molecular Interactions between Pbx1 and the Meis and Hox Homeoprotein Families	Michael	Cleary
Schultze	Joachim		Dana Farber Cancer Institute		1999	Adoptive T Cell Transfer for Follicular Lymphoma	Lee	Nadler
Schwaller	Juerg		Brigham & Women's Hospital		1999	CHO Mutants Defective in DNA Repair and Recombination	FALSE	FALSE
Sciammas	Roger		Stanford University		1999	Plasma Cell Differentiation: The Blimp-1 Switch	Mark	Davis
Scott	Edward		University of Florida	Shands Cancer Center	1999	The Role of Transcription Factor PU.1 in Lymphoid and Myeloid Development	W. Strat	May
Sekiguchi	JoAnn		Children's Hospital Corporation		1999	Characterization of the End-Joining Phase of V(D)J Recombination	Frederick	Alt
Shen	Wu-Cheng		State University of New York	Upstate Medical University	1999	Yeast TAFII145: A Connection Between Transcription and Cell Cycle Regulation	Richard	Cross
Shim	Hyun Suk		Emory University	School of Medicine	1999	Role of Glycolysis in c-Myc Mediated Transformation and Apoptosis	Jonathan	Simons
Smith Shapiro	Virginia		University of Pennsylvania		1999	CD28 Signalling in T Cell Activation	Mark	Greene
Spence	Rebecca		Duke University Medical Center		1999	Regulation of CSF1 Receptor Signaling by SHP1	FALSE	FALSE
Spirio	Lisa		Whitehead Institute for Biomedical Research		1999	"Deregulation Of B-catenin In Leukemia, Lymphoma And Breast Cancer"	Robert	Weinberg
Storm	Elaine		"The Regents of the University of California, San Francisco"		1999	"Investigation of Sprouty-1, A Putative FGF Signaling Antagonist Expressed at the Midbrain/Hindbrain Junction in Vertebrates"	Gail	Martin
Taccioli	Guillermo		Boston University	School of Medicine	1999	Functional Characterization of Genes Involved in V(D)J Recombination and DNA Repair		
Takayama	Shuichi		University of Michigan		1999	Study of Multivalent Cell Adhesion Processes Using Supramolecular Carbohydrate Libraries	Matthew	O'Donnell
Tang	Amy		University of California at Berkeley		1999	Isolation and Characterization of Genes Functioning as Downstream Targets of the RAS Signaling Pathway	Gerald	Rubin
Trombetta	Eduardo		Yale University		1999	RAB Receptors in the Endocytic-Exocytic Pathways	Ira	Mellman
Tyler	Jessica		University of Colorado Health Sciences Center		1999	"Chromatin Assembly Factor-1; a Link between Chromatin Assembly, DNA Replication, DNA Repair and Gene Regulation"	Tom	Blumenthal
Van Etten	Richard		"CBR Institute of Biomedical Research, Inc."	Harvard Medical School	1999	STAT Activation in Transformation and Leukemogenesis by Bcr/Abl		
Waller	Edmund		Emory University	School of Medicine	1999	Phase I Study of Allogeneic Stem Cell Transplants and Immunotherapy for Multiple Myeloma	Andrew	Yeager
Wolkow	Catherine		Massachusetts General Hospital		1999	Genetic Dissection of Phosphoinositide 3-Kinase signaling Pathways	Gary	Ruvkun
Wu	Jane		Washington University in St. Louis		1999	Alternative Splicing Regulation of Programmed Cell Death Genes		
Young	Faith		University of Rochester	Cancer Center	1999	Differentiation-Linked Leukemogenesis in Lympocytes	Joseph	Rosenblatt
Zandi	Ebrahim		University of Southern California	Norris Comprehensive Cancer Center	1999	Purfication and Cloning of the IkB Kinase Subunits; Determination of its Composiotion and Function in Immune Cells	Gunther	Dennert
Zhang	Dong-Er		Scripps Research Institute		1999	AML1-ETO Fusion Protein in Leukemogensis	Ernest	Beutler
Zhong	Haihong		Yale University		1999	Phosphorylation-dependent Regulation Of NF-kappaB Transcriptional Activity	Sankar	Ghosh
Zhuang	Yuan		Duke University Medical Center		1999	A Reverse and Forward Genetic Dissection of E2A-Mediated Pathways in B-cell Development	Thomas F	Tedder
Aguiar	Ricardo		Univ of Texas Health Science Center at San Antonio	Hematology and Medical Oncology	2000	"Molecular and functional analyses of a novel risk-related gene, bal, in aggressive non-Hodgkin's lymphomas"	Margaret	Shipp
Basavappa	Ravi		University of Rochester		2000	Structural analysis of key regulators in mitotic entry and exit	Robert	Bambara
Bednenko	Janna		Scripps Research Institute		2000	Dissection of the CRM1-mediated nuclear export pathway	Larry	Gerace
Beh	Christopher		University of California at Berkeley	Department of Molecular Biology	2000	Yeast oxysterol-binding proteins: effectors of sterol homeostasis and membrane function	Jasper	Rine
Benlagha	Kamel		The University of Chicago		2000	Intracellular trafficking and natural ligands of mouse CD1	Albert	Bendelac
Bertrand	Fred		East Carolina University	The Brody School of Medicine	2000	Role of Notch Gene Family in B Lymphopoiesis	Paul	Phibbs
Bielinsky	Anja-Katrin		"University of Minnesota, Twin Cities"		2000	Functional analysis of eukaryotic cellular origins of replication	David	Bernlohr
Billadeau	Daniel		Mayo Clinic and Foundation		2000	Regulation of the proto-oncogene vav by its calponin homology domain	Pual	Leibson
Blain	Stacy 		Memorial Sloan-Kettering Cancer Center		2000	Mechanisms of activation of cyclinD- cdk4/6	Joan	Massague
Bortvin	Aleksey		Whitehead Institute for Biomedical Research		2000	Analysis of the common origin of hematopoietic stem cells and germ cells	David	Page
Buratowski	Stephen		Harvard Medical School		2000	Gene expression by RNA polymerase II		
Carpenter	Paul		Fred Hutchinson Cancer Research Center		2000	Tolerance to hematopoietic stem cell grafts by targeting the T cell receptor	Claudio	Anasetti
Castilla	Lucio		University of Massachusetts Medical School	Program in Gene Function and Expression	2000	Genetic Studies On The Mechanism Of Acute Myeloid Leukemia Development Using Murine Bcfb-myhii Knock In Models	Michael	Green
Chan	Raymond		University of California at Berkeley	Howard Hughes Medical Institute	2000	Biochemical characterization of the C. elegan dosage compensation complex	Barbara	Meyer
Chen	Ching-Yi		University of Alabama at Birmingham		2000	Cloning and characterization of proteins that modulate interleukin-2 mRNA stability during T cell activation	Tim	Townes
Chen	Feng		Washington University in St. Louis		2000	Study of the Calcineurin-NFAT Signaling Pathway using Synthetic Ligand Mediated Gene Inactivation	Mark	Hammerman
Cooper	Laurence		University of Texas M.D. Anderson Cancer Center	Pediatrics	2000	Genetic modification of T cell specificity for treatment of murine leukemia	Stephen	Forman
Crooks	Gay		Children's Hospital of Los Angeles		2000	Characterization and manipultation of human common lymphoid progenitors	Robertson	Parkman
Cuddihy	Andrew		Peter MacCallum Cancer Institute		2000	Role Of The Mammalian Rad18 Protein In Chromosome Stability	Matthew	O'Connell
Daley	George		Brigham & Women's Hospital		2000	Probing the molecular basis of chronic myelogenous leukemia	Samuel	Lux
Darimont	Beatrice		University of Oregon	Institute of Molecular Biology	2000	Structural analysis of nuclear receptor: coactivator complexes	Frederick	Dahlquist
Devireddy	Laxminarayana		University of Massachusetts Medical School		2000	Chicken anemia virus adoptin-induced apopotosis	Michael	Green
Dick	Frederick		Massachusetts General Hospital	Cancer Research Center	2000	"Structural and functional analysis of RB mutants in transcription, differentiation and tumor suppression"	Nicholas	Dyson
Eisenlohr	Laurence		Thomas Jefferson University	Kimmel Cancer Center	2000	"Understanding the mchanisms, specificities and consequences of antigen processing"	Bice	Perussia
Freiman	Richard		University of California at Berkeley	Howard Hughes Medical Institute	2000	Funtion of a B cell-specific TAF in vivo	Robert	Tjian
Funabiki	Hironori		Rockefeller University		2000	Biochemical investigation of sister chromatid cohesion and separation	Arnold	Levine
Ghosh	Indraneel		University of Arizona		2000	The design of protein inhibitors of cytokines and growth factors using phage-display	Dennis	Lichtenberger
Goodrum Flood	Felicia		Princeton University		2000	Functions of the UL69 Tegument Protein in Human Cytomegalovirus	Thomas	Shenk
Gross	Atan		Weizmann Institute of Science		2000	The regulation of BID and its role on cell death	Shmuel	Shaltiel
Hock	Hanno		Massachusetts General Hospital (The General Hospital Corp.)	Medicine	2000	Conditional disruption of the Tel gene in mice	Stuart	Orkin
Hojjati-Emami	Katayoon		Parker Hughes Institute		2000	Roles of Cdc25 & 14-3-3 proteins in cell cycle arrest at G2/M	Fatih	Uckum
Howie	Duncan		Beth Israel Deaconess Medical Center		2000	The SAPnull mouse as a model for x-linked lymphoproliferative disease	Cox	Terhorst
Huang	Linda		"The Regents of the University of California, San Francisco"		2000	Control of cell polarity and morphology	Ira	Herskowitz
Huang	Xuejun		University of California at San Diego		2000	"Transcription repression on activated chromatin templates by TRAC, a novel multiprotein complex"	James	Kadonaga
Imbalzano	Anthony		University of Massachusetts Medical School		2000	Analysis of the human SWI/SNP complex in mamalian cells		
Julien	Eric		Cold Spring Harbor Laboratory		2000	HCG phosphorylation in the control of animal cell proliferation	Winship	Herr
Jung	Steffen		New York University	Skirball Institute of Biomolecular Medicine	2000	Analysis of CX3C-chemokine receptor function in inflammation and pathogenesis	Dan R	Littman
Kabarowski	Janusz		University of California at Los Angeles	Howard Hughes Medical Institute	2000	Functional analysis of a novel G protein-coupled receptor (G2A) and its role in lymphoid development	Owen	Witte
Khokhlatchev	Andrei		Massachusetts General Hospital		2000	"Studying of the function of NORE1, a novel effector for RAS oncoprotein"	Joseph	Avruch
Kim	Jae Bum		Seoul National University		2000	Characterization Of Functional Role Of Tat-sf1 In Tat Activated   Transcription Elongation	Young Nam	Hong
Kim	Chang		Stanford University		2000	Role of CCR7 chemokine receptor in lymphocyte lymphocyte- endothelial cell interaction and lymphocyte trafficking	Eugene C.	Butcher
Koelle	Michael		Yale University		2000	Function And Control Of G Protein Regulators	Joan	Steitz
Kolesnikova	Tatiana		Dana Farber Cancer Institute		2000	Potential role of CD98 in the regulation of beta 1 integrin function and the progression of hematopoietic malignancies	Martin	Hemler
Kozminski	Keith		University of Virginia		2000	Cdc-42 dependent organization of the actin cytoskeleton	Raymond	Keller
Kroon	Evert		Clinical Research Institute of Montreal		2000	A model for hox-induced leukemia	Guy	Sauvageau
Lagunoff	Michael		University of Washington		2000	Kaposi's sarcoma associated herpesvirus K1 gene: B-cell signal transduction and transformation	Jim	Mullins
Li	Jianze		Columbia University	College of Physicians & Surgeons	2000	Identification and characterization of BCL-6 target genes	Paul	Rothman
Lin	Kuo-I		Columbia University		2000	Identification of gene targets necessary for blimp-1- dependent B-cell maturation	Kathryn	Calame
Liu	Jinli		Yale University		2000	An in vivo ablative approach to study the role of Th1 and Th2 type T celles in Graft vs Host disease and Graft vs Leukemia	Mark	Shlomchik
Lu	Pei-Jung		National Sun Yat-Sen University	Institute of Biomedical Sciences	2000	Role of the poly1 isomerase pin 1 in growth control	Steven S-L	Li
Luo	Biao		Whitehead Institute for Biomedical Research		2000	Cloning of secreted and cell surface proteins important for hematopoietic stem cells	Harvey	Lodish
