DIVISION_ID	DV_ABBR	EMPLOYEE_ID
319010	Radiology	1036807
318010	Psychiatry	1061719
104010	Physiology	1059327
202010	Preventive Medicine	1060686
502010	OME & Faculty Dev.	1060635
320010	Surgery	1060924
314010	Otolaryngology	1060924
319010	Radiology	1061095
320010	Surgery	2436423
404010	IHS	1065046
321010	Urology	1054110
404010	IHS	1054853
202010	Preventive Medicine	2117014
202010	Preventive Medicine	1011521
101010	CM Biology	1051485
321010	Urology	1021985
202010	Preventive Medicine	1043300
101010	CM Biology	1000577
404010	IHS	1064398
320010	Surgery	1036921
101010	CM Biology	1022677
101010	CM Biology	1022677
315010	P M & R	1001200
503010	Med Humanities Bioethics	1044677
104010	Physiology	1056039
307010	Medicine	1036566
202010	Preventive Medicine	1036566
404010	IHS	1036566
101010	CM Biology	1007328
320010	Surgery	1056153
308010	Neurology	1040637
318010	Psychiatry	1018621
404010	IHS	1061814
320010	Surgery	1059178
401010	Lurie Cancer Center	1059786
402010	Ctr for Genetic Medicine	1059786
318010	Psychiatry	1060618
101010	CM Biology	1058513
307010	Medicine	1058513
314010	Otolaryngology	1056697
202010	Preventive Medicine	1034535
309010	Neurological Surgery	2027098
608010	WCAS	1058311
309010	Neurological Surgery	2132783
307010	Medicine	1055338
402010	Ctr for Genetic Medicine	1060555
104010	Physiology	1058996
307010	Medicine	1002860
320080	Surg-Transplant	1064439
323010	Medical Social Sciences	1064439
404010	IHS	1064439
316010	Pediatrics	1043745
316010	Pediatrics	1062425
318010	Psychiatry	1055648
102010	Micro-Immunology	1059841
103010	MPBC	1046497
608010	WCAS	1000475
308010	Neurology	1000475
404010	IHS	1047292
309010	Neurological Surgery	1065062
309010	Neurological Surgery	1065298
318010	Psychiatry	1058949
315010	P M & R	1011901
315010	P M & R	1062886
320010	Surgery	1060531
320010	Surgery	1060311
302010	Dermatology	1017153
318010	Psychiatry	1020976
404010	IHS	1020976
202010	Preventive Medicine	1002139
608010	WCAS	1026447
316010	Pediatrics	1006032
307010	Medicine	2175375
320010	Surgery	1063505
307010	Medicine	1056270
307010	Medicine	1026398
402010	Ctr for Genetic Medicine	1052057
302010	Dermatology	1058111
103010	MPBC	1058670
605010	MEAS	1038726
301010	Anesthesiology	1057622
309010	Neurological Surgery	1057622
202010	Preventive Medicine	1001944
402010	Ctr for Genetic Medicine	1057666
201010	Pathology	1059270
402010	Ctr for Genetic Medicine	1054111
402010	Ctr for Genetic Medicine	1061645
406010	Buehler COA	1059100
307110	Med-General Internal Med	1062414
323010	Medical Social Sciences	1063005
320010	Surgery	1060922
404010	IHS	1060921
313010	Orthopaedic Surgery	1041624
315010	P M & R	1041624
318010	Psychiatry	1054156
102010	Micro-Immunology	1054412
406010	Buehler COA	1041130
202010	Preventive Medicine	1045399
307010	Medicine	1055474
319010	Radiology	1051359
101010	CM Biology	1017403
502010	OME & Faculty Dev.	1036779
404010	IHS	1036779
404010	IHS	1041769
318010	Psychiatry	1041769
103010	MPBC	1045124
307010	Medicine	1065822
101010	CM Biology	1066266
302010	Dermatology	1057695
406010	Buehler COA	1056693
315010	P M & R	1041621
402010	Ctr for Genetic Medicine	1060745
320010	Surgery	1060566
404010	IHS	1045435
101010	CM Biology	1051283
319010	Radiology	1051283
310010	Ob/Gyn	1011912
307010	Medicine	1011912
404010	IHS	1049685
102010	Micro-Immunology	1066075
404010	IHS	1057805
318010	Psychiatry	1064120
318010	Psychiatry	1059640
103010	MPBC	1057813
320010	Surgery	1054992
319010	Radiology	1054992
301010	Anesthesiology	1054720
404010	IHS	1043078
316010	Pediatrics	2158639
308010	Neurology	1064696
103010	MPBC	1064657
104010	Physiology	1001883
404010	IHS	1061598
310010	Ob/Gyn	1066226
102010	Micro-Immunology	1066274
503010	Med Humanities Bioethics	1003948
320010	Surgery	1055993
307010	Medicine	1055993
318010	Psychiatry	1002078
101010	CM Biology	1048762
320010	Surgery	1063037
404010	IHS	1053924
202010	Preventive Medicine	1058191
404010	IHS	1058191
320010	Surgery	1059611
313010	Orthopaedic Surgery	1019856
321010	Urology	1026444
318010	Psychiatry	1034028
202010	Preventive Medicine	1000959
316010	Pediatrics	1023997
319010	Radiology	1011092
404010	IHS	2326429
308010	Neurology	1069481
104010	Physiology	1069481
101010	CM Biology	1068246
402010	Ctr for Genetic Medicine	1042684
315010	P M & R	1069069
320010	Surgery	1068120
320080	Surg-Transplant	1069073
503010	Med Humanities Bioethics	1069073
316010	Pediatrics	2146893
309010	Neurological Surgery	1069442
320010	Surgery	1068213
404010	IHS	1069709
319010	Radiology	1068577
318010	Psychiatry	1068722
318010	Psychiatry	2238121
406010	Buehler COA	1057874
404010	IHS	1070805
320010	Surgery	1069922
318010	Psychiatry	1053928
307050	Med-Cardiology	1057770
404010	IHS	1057792
320010	Surgery	1057913
319010	Radiology	2256965
314010	Otolaryngology	1055497
318010	Psychiatry	1067322
103010	MPBC	1071074
309010	Neurological Surgery	1072004
312010	Ophthalmology	1006228
318010	Psychiatry	
308010	Neurology	1073157
307010	Medicine	1073312
320010	Surgery	1069319
307010	Medicine	1070355
503010	Med Humanities Bioethics	1039921
307120	Med-Geriatrics	1070960
320010	Surgery	1071391
404010	IHS	2075984
307010	Medicine	1052517
318010	Psychiatry	1072977
307010	Medicine	1072922
