DIVISION_ID	DV_ABBR	EMPLOYEE_ID
319010	Radiology	1037814
307050	Med-Cardiology	1037814
202010	Preventive Medicine	1014614
307110	Med-General Internal Med	1005814
323010	Medical Social Sciences	1042402
202010	Preventive Medicine	1050075
314010	Otolaryngology	1018909
404010	IHS	1027416
202010	Preventive Medicine	1027416
315010	P M & R	1012759
314010	Otolaryngology	1017256
308010	Neurology	1030626
315010	P M & R	1026870
101010	CM Biology	1002526
307150	Med-Infectious Disease	1036119
317010	Physical Therapy	1006865
404010	IHS	1023189
307170	Med-Pulmonary	1001531
202010	Preventive Medicine	1022425
302010	Dermatology	1024251
502010	OME & Faculty Dev.	1027212
307050	Med-Cardiology	1006058
316010	Pediatrics	1051165
202010	Preventive Medicine	1051165
316010	Pediatrics	1007900
315010	P M & R	1021990
318010	Psychiatry	1008614
102010	Micro-Immunology	1011618
308010	Neurology	1062189
309010	Neurological Surgery	1062189
317010	Physical Therapy	1002138
314010	Otolaryngology	1001632
312010	Ophthalmology	1017061
316010	Pediatrics	1008667
608010	WCAS	1000436
319010	Radiology	1001728
202010	Preventive Medicine	1000374
102010	Micro-Immunology	1012336
308010	Neurology	1022955
320010	Surgery	1030041
605010	MEAS	1030041
307120	Med-Geriatrics	1004893
202010	Preventive Medicine	1042824
308010	Neurology	1050787
302010	Dermatology	1022881
309010	Neurological Surgery	1016113
301010	Anesthesiology	1019504
314010	Otolaryngology	1021274
316010	Pediatrics	1015812
316010	Pediatrics	1017034
316010	Pediatrics	1008445
104010	Physiology	1006301
319510	Radiation Oncology	1006301
320080	Surg-Transplant	1019185
103010	MPBC	1044200
402010	Ctr for Genetic Medicine	1018461
201010	Pathology	1004676
605010	MEAS	1010479
101010	CM Biology	1038768
316010	Pediatrics	1036144
308010	Neurology	1022576
316010	Pediatrics	1006447
102010	Micro-Immunology	1034656
307110	Med-General Internal Med	1023922
202010	Preventive Medicine	1018581
319010	Radiology	1036743
320100	Surg-Vascular	1036743
315010	P M & R	1000734
313010	Orthopaedic Surgery	1050264
309010	Neurological Surgery	1003584
101010	CM Biology	1019365
307130	Med-Hematology / Oncology	1051610
201010	Pathology	1046251
316010	Pediatrics	1004916
310010	Ob/Gyn	1009541
308010	Neurology	1019528
202010	Preventive Medicine	1032810
316010	Pediatrics	1018007
402010	Ctr for Genetic Medicine	1050433
302010	Dermatology	1024807
309010	Neurological Surgery	1043621
202010	Preventive Medicine	1016756
202010	Preventive Medicine	1023591
315010	P M & R	1003883
104010	Physiology	1024039
402010	Ctr for Genetic Medicine	1009786
318010	Psychiatry	1021851
307030	Med-Rheumatology	1026407
316010	Pediatrics	1007298
409010	NUIN	1032062
308010	Neurology	1019117
101010	CM Biology	1038505
201010	Pathology	1014980
307150	Med-Infectious Disease	1009562
502010	OME & Faculty Dev.	1039575
308010	Neurology	1023276
315010	P M & R	1029131
202010	Preventive Medicine	1007648
309010	Neurological Surgery	1001443
314010	Otolaryngology	1001443
104010	Physiology	1024510
320010	Surgery	1003403
314020	Otolaryn-Dental Surg	1003403
101010	CM Biology	1018167
308010	Neurology	1013789
320010	Surgery	1027156
307010	Medicine	1035946
320080	Surg-Transplant	1004646
608010	WCAS	1024477
608010	WCAS	1052935
103010	MPBC	1001574
502010	OME & Faculty Dev.	1001348
316010	Pediatrics	1011815
309010	Neurological Surgery	1010522
320080	Surg-Transplant	1011657
502010	OME & Faculty Dev.	1036989
320080	Surg-Transplant	1004377
309010	Neurological Surgery	1004377
404010	IHS	1052350
608010	WCAS	1042585
608010	WCAS	1042585
301010	Anesthesiology	1024642
320010	Surgery	1042263
101010	CM Biology	1027933
102010	Micro-Immunology	1046519
101010	CM Biology	1024281
307170	Med-Pulmonary	1042631
608010	WCAS	1021467
608010	WCAS	1021467
309010	Neurological Surgery	1041107
319010	Radiology	1001774
318010	Psychiatry	1022800
309010	Neurological Surgery	1006593
313010	Orthopaedic Surgery	1006593
404010	IHS	1021982
202010	Preventive Medicine	1021982
201010	Pathology	1039881
319010	Radiology	1037262
406010	Buehler COA	1004379
202010	Preventive Medicine	1034453
318010	Psychiatry	1011314
307110	Med-General Internal Med	1016037
308010	Neurology	1011279
103010	MPBC	1000184
201010	Pathology	1008991
318010	Psychiatry	1033261
404010	IHS	1033261
202020	PrevMed-Health&BiomedInfo	1033261
307110	Med-General Internal Med	1001139
101010	CM Biology	1006055
102010	Micro-Immunology	1018731
320080	Surg-Transplant	1002038
320080	Surg-Transplant	1067233
315010	P M & R	1022771
308010	Neurology	1036557
202010	Preventive Medicine	1047664
316010	Pediatrics	1007084
320010	Surgery	1007647
202010	Preventive Medicine	1026424
202010	Preventive Medicine	1033307
309010	Neurological Surgery	1004025
302010	Dermatology	1003444
318010	Psychiatry	1002639
102010	Micro-Immunology	1002554
404010	IHS	1001027
202010	Preventive Medicine	1001027
307020	Med-Allergy-Immunology	1003628
202010	Preventive Medicine	1041128
404010	IHS	1041128
406010	Buehler COA	1049388
316010	Pediatrics	1008625
316010	Pediatrics	1001864
310010	Ob/Gyn	1000450
202010	Preventive Medicine	1016762
315010	P M & R	1002205
202010	Preventive Medicine	1051094
320010	Surgery	1026399
315010	P M & R	1002485
503010	Med Humanities Bioethics	1027248
404010	IHS	1009343
320010	Surgery	1007188
406010	Buehler COA	1005221
102010	Micro-Immunology	2179943
307130	Med-Hematology / Oncology	2179943
309010	Neurological Surgery	1037662
202010	Preventive Medicine	1055329
319010	Radiology	1036807
318010	Psychiatry	1061719
104010	Physiology	1059327
502010	OME & Faculty Dev.	1060635
320080	Surg-Transplant	1060924
314010	Otolaryngology	1060924
319010	Radiology	1061095
320080	Surg-Transplant	2436423
404010	IHS	1065046
321010	Urology	1054110
404010	IHS	1054853
202010	Preventive Medicine	2117014
202010	Preventive Medicine	1011521
101010	CM Biology	1051485
321010	Urology	1021985
202010	Preventive Medicine	1043300
101010	CM Biology	1000577
404010	IHS	1064398
320080	Surg-Transplant	1036921
101010	CM Biology	1022677
309010	Neurological Surgery	1074676
308010	Neurology	1074676
315010	P M & R	1001200
503010	Med Humanities Bioethics	1044677
202010	Preventive Medicine	1055970
307010	Medicine	1036566
202010	Preventive Medicine	1036566
404010	IHS	1036566
101010	CM Biology	1007328
320010	Surgery	1056153
308010	Neurology	1040637
308010	Neurology	1018621
318010	Psychiatry	1018621
202020	PrevMed-Health&BiomedInfo	1063131
404010	IHS	1061814
320080	Surg-Transplant	1059178
401010	Lurie Cancer Center	1059786
402010	Ctr for Genetic Medicine	1059786
608010	WCAS	1060618
318010	Psychiatry	1060618
101010	CM Biology	1058513
307170	Med-Pulmonary	1058513
314010	Otolaryngology	1056697
202010	Preventive Medicine	1034535
309010	Neurological Surgery	2027098
608010	WCAS	1058311
307050	Med-Cardiology	1058170
309010	Neurological Surgery	2132783
307130	Med-Hematology / Oncology	1055338
402010	Ctr for Genetic Medicine	1060555
104010	Physiology	1058996
307150	Med-Infectious Disease	1002860
320080	Surg-Transplant	1064439
404010	IHS	1064439
318010	Psychiatry	1064234
316010	Pediatrics	1043745
316010	Pediatrics	1062425
318010	Psychiatry	1055648
102010	Micro-Immunology	1059841
103010	MPBC	1046497
608010	WCAS	1000475
308010	Neurology	1000475
404010	IHS	1047292
309010	Neurological Surgery	1065062
315010	P M & R	1011901
315010	P M & R	1062886
320080	Surg-Transplant	1060531
320080	Surg-Transplant	1060311
102010	Micro-Immunology	1060311
302010	Dermatology	1017153
318010	Psychiatry	1020976
202010	Preventive Medicine	1002139
608010	WCAS	1026447
316010	Pediatrics	1006032
307110	Med-General Internal Med	2175375
320130	Surg-Cardiac Surgery	1063505
316010	Pediatrics	1063635
307050	Med-Cardiology	1056270
307190	Med-Hepatology	1026398
402010	Ctr for Genetic Medicine	1052057
302010	Dermatology	1058111
103010	MPBC	1058670
605010	MEAS	1038726
301010	Anesthesiology	1057622
309010	Neurological Surgery	1057622
202010	Preventive Medicine	1001944
402010	Ctr for Genetic Medicine	1057666
201010	Pathology	1059270
402010	Ctr for Genetic Medicine	1054111
402010	Ctr for Genetic Medicine	1061645
307110	Med-General Internal Med	1062414
323010	Medical Social Sciences	1063005
320080	Surg-Transplant	1060922
404010	IHS	1060921
313010	Orthopaedic Surgery	1041624
315010	P M & R	1041624
318010	Psychiatry	1054156
406010	Buehler COA	1041130
202010	Preventive Medicine	1045399
318010	Psychiatry	1056185
319010	Radiology	1051359
101010	CM Biology	1017403
502010	OME & Faculty Dev.	1036779
404010	IHS	1036779
318010	Psychiatry	1041769
404010	IHS	1041769
103010	MPBC	1045124
307010	Medicine	1065822
101010	CM Biology	1066266
302010	Dermatology	1057695
406010	Buehler COA	1056693
315010	P M & R	1041621
404010	IHS	1060553
402010	Ctr for Genetic Medicine	1060745
320080	Surg-Transplant	1060566
404010	IHS	1045435
101010	CM Biology	1051283
319010	Radiology	1051283
310010	Ob/Gyn	1011912
307110	Med-General Internal Med	1011912
404010	IHS	1049685
102010	Micro-Immunology	1066075
404010	IHS	1057805
318010	Psychiatry	1064120
318010	Psychiatry	1059640
103010	MPBC	1057813
320080	Surg-Transplant	1054992
319010	Radiology	1054992
301010	Anesthesiology	1054720
404010	IHS	1043078
316010	Pediatrics	2158639
201010	Pathology	1057699
308010	Neurology	1064696
103010	MPBC	1064657
104010	Physiology	1001883
404010	IHS	1061598
310010	Ob/Gyn	1066226
102010	Micro-Immunology	1066274
503010	Med Humanities Bioethics	1003948
320080	Surg-Transplant	1055993
307130	Med-Hematology / Oncology	1055993
318010	Psychiatry	1002078
318010	Psychiatry	1074764
101010	CM Biology	1048762
404010	IHS	1053924
202010	Preventive Medicine	1058191
404010	IHS	1058191
608010	WCAS	1038709
401010	Lurie Cancer Center	1049732
320130	Surg-Cardiac Surgery	1059611
313010	Orthopaedic Surgery	1019856
321010	Urology	1026444
318010	Psychiatry	1034028
202010	Preventive Medicine	1000959
316010	Pediatrics	1023997
319010	Radiology	1011092
404010	IHS	2326429
307170	Med-Pulmonary	1075164
320010	Surgery	1075699
608010	WCAS	1023173
307170	Med-Pulmonary	1065979
309010	Neurological Surgery	2038320
308010	Neurology	1069481
104010	Physiology	1069481
101010	CM Biology	1068246
307050	Med-Cardiology	2628248
318010	Psychiatry	1068691
307170	Med-Pulmonary	1042684
402010	Ctr for Genetic Medicine	1042684
315010	P M & R	1069069
320010	Surgery	1068120
202010	Preventive Medicine	1068218
320080	Surg-Transplant	1069073
503010	Med Humanities Bioethics	1069073
316010	Pediatrics	2146893
202010	Preventive Medicine	1011391
320080	Surg-Transplant	1068213
404010	IHS	1069709
319010	Radiology	1068577
318010	Psychiatry	1068722
318010	Psychiatry	2238121
201010	Pathology	1066665
404010	IHS	1070805
602010	Kellogg	1072001
320080	Surg-Transplant	1069922
318010	Psychiatry	1053928
307050	Med-Cardiology	1057770
404010	IHS	1057792
320010	Surgery	1057913
314010	Otolaryngology	1055497
318010	Psychiatry	1067322
404010	IHS	1071070
103010	MPBC	1071074
302010	Dermatology	1063835
202020	PrevMed-Health&BiomedInfo	1076065
202010	Preventive Medicine	1071945
310010	Ob/Gyn	1072154
309010	Neurological Surgery	1072004
312010	Ophthalmology	1006228
318010	Psychiatry	1074456
605010	MEAS	2273478
307170	Med-Pulmonary	1072806
308010	Neurology	1073157
307110	Med-General Internal Med	1073312
404010	IHS	1010918
320080	Surg-Transplant	1069319
307010	Medicine	1070355
401010	Lurie Cancer Center	1001847
323010	Medical Social Sciences	1075457
303010	Emergency Med.	1075967
318010	Psychiatry	1076040
307170	Med-Pulmonary	1045028
302010	Dermatology	1073642
503010	Med Humanities Bioethics	1039921
307120	Med-Geriatrics	1070960
320080	Surg-Transplant	1071391
404010	IHS	2075984
307010	Medicine	1052517
318010	Psychiatry	1072977
608010	WCAS	1072977
307020	Med-Allergy-Immunology	1072922
