EMPLOYEE_ID	DESCRIPTION
1000732	<p><b>Clinical Interests:</b>  Brain aneurysm, cerebral arteriovenous malformation, dural fistulas, cavernous malformations, hemifacial spasm, trigeminal neuralgia, Chiari I malformation</p><br/><p><b>Research Interests:</b>  High resolution imaging for hyperactive cranial nerve syndromes (trigeminal neuralgia and hemifacial spasm), volume staged radiosurgery for complex arteriovenous malformations</p>
1000734	Areas of interest and expertise include robotics, neurobiology of the sensory-motor system and computational neuroscience. Among Dr. Mussa-Ivaldi?s achievements are the first measurement of human arm multi-joint impedance, the development of a technique for investigating the mechanisms of motor learning through the application of deterministic force fields, the discovery of a family of  integrable generalized inverses for redundant kinematic chains, the discovery of functional modules within the spinal cord that generate a discrete family of  force-fields, the development of a theoretical framework for the representation, generation and learning of limb movements and the development of the first neurorobotic system in which a neural preparation in-vitro - the brainstem of a lamprey - controls the behavior of a mobile-robot through a closed-loop interaction.
1000810	Role of sonic hedgehog and Bmp4 in prostate development
1000851	Comprehensive care of adults, Perioperative medical consultations, Preventive medicine
1000867	My research focuses on the evolutionary mechanisms underlying host?pathogen interactions, and their role in the emergence, spread, and containment of infectious diseases such as HIV/AIDS. Studies examine the nature and extent of HIV genetic variation, the biological and evolutionary processes that have produced the observed patterns, and the human genes and their relevant genetic variants that contribute to virus evolution. The work seeks to understand how viral genetic variation, driven by host genetics and immunity, affects HIV infection dynamics and epidemic behavior. This connection is central to the evolution of virulence and drug resistance, and to vaccine design.
1000886	Coagulation
1000906	Angioplasty, Atherectomy, Brachytherapy, Cardiac catheterization, Intravascular ultrasound, Stents, Valvuloplasty
1000909	Our research focuses on cell cycle deregulation by DNA tumor virus oncogenes (Adenovirus E1A, Simian virus 40 large T, and human papilloma virus E6 and E7).  In particular, we are interested to find out how binding of these viral tumor antigens to cellular proteins such as pRb, p300/CBP and other proteins affect G1/S phase transition.  We use molecular genetic approaches to study these aspects.
1001011	Hematopathology
1001018	My research deals primarily with the characterization of morphological and chemical phenotypes of specific classes of neural cells, and how they develop and change under experimental conditions and disease processes.
1001027	Health services for college / graduate students, Hospital-based care of the medical patient, Perioperative medical consultations
1001035	My primary interest is in public health education of health care professionals.  My secondary interest is ethical conduct of human subjects research particularly in the area of medical research and Institutional Review Board (IRB) oversight of research.
1001070	Occupational lung disease
1001109	Depression, Eating Disorders
1001130	Prenatal screening and diagnosis of genetic disorders.
1001131	Gynecologic surgery, Gynecology
1001200	My primary research is in the area of health economics, applied to the specific areas of aging and disability, markets for hospital and rehabilitation care, cost effectiveness of medical procedures, and arthritis care. Much of my work has used large existing data sets, including Medicare claims data, to examine healthcare market performance in response to policy changes.  
1001204	Coronary critical care, Echocardiography, General and preoperative consultative cardiology
1001208	My primary research interest is the pathophysiology of viral infections in immunocompromised vs. normal hosts.  The main viruses with which I have worked include Epstein-Barr virus, adenovirus and the respiratory viruses (respiratory syncitial virus and influenza).  I also have done research on post-viral (chronic) fatigue syndrome and chronic granulomatous disease.
1001220	My primary research interests include developmental psychopathology, sensory processing disorders, therapeutic interventions and outcomes for children and adolescents, and family therapy.
1001222	Research interests include medical student mental health, personality traits, and the limits of evidence-based psychotherapy.  Clinical interests include career consultation and individual psychotherapy.
1001264	Inflammatory and infectious diseases the the retina, hereditary diseases of the retina,macular degeneration, diabetic retinopathy
1001320	The  generation and mechanism of activity of Angiostatin.
1001348	I am interested in clinical skills assessment, standard setting and improving quality of care through medical education
1001386	My research and clinical intereats include topics in pediatric emergency medicine such as analgesia and sedation, pediatric resuscitation, asthma care, prehospital (EMS) care of children, and education of those involved in emergency care of children.<br/>I am involved in the Illinois Emergency Medical Services for Children program and have helped to establish prehospital pediatric protocols, and criteria to assure that emergency departments throughout Illinois are equipped to care for children (facility recognition).
1001402	My primary research and clinical interest centers around image guided therapy.  Specifically, its application to the treatment of uterine fibroids through minimally invasive techniques via uterine artery embolization.
1001431	Additional interests include diagnosis and treatment of lysosomal storage disorders, skeletal dysplasias, and inborn errors of metabolism.
1001443	Head and neck radiology, Interventional neuroradiology, Neuroradiology, Spine imaging / intervention, Vascular imaging
1001472	electrocardiography, QT interval, heart rate, cardiology clinical trials
1001554	Hypertension, Obesity, Pheochromocytoma
1001574	We are using single photon confocal microscopy to measure intracellular Ca cycling in individual myocytes of intact rat and mouse hearts. Hearts are loaded with the Ca indicator fluo-4AM, allowing us to measure intracellular Ca at the submicron level. Ongoing projects include study of changes in Ca cycling in animal models of heart failure, catecholaminergic polymorphic ventricular tachycardia, spontaneous Ca release and cardiac arrhythmias.
1001575	Emergency medical services for children, emergency and disaster preparedness, health care access, pediatric trauma care, pediatric patient safety, pediatric emergency medicine
1001581	Valvular and Coronary heart disease. Cardiac Imaging.
1001613	adenosine, synaptic transmission, neurotransmitter release, <br/>secretion, ion channels, neuromuscular junction, 
1001662	General surgical pathology, Gynecological pathology
1001676	Foot & ankle problems, General Orthopaedics, Limb lengthening & deformities, Osteomyelitis, Treatment of complex fractures
1001679	Dr. Goodman's research interests include health services research, evidence-based medicine, outcomes analysis, and clinical studies of new therapies.  She obtained her Masters of Science in Epidemiology from the Harvard School of Public Health in 2001.  She has most recently participated in several studies using large databases, such as the Pediatric Health Information System of the Child Health Corporation of America, and the Virtual PICU dataset.  She is an active member of the research network Pediatric Acute Lung Injury and Sepsis Investigators (PALISI).  She is the local PI for the NIH-funded study Therapeutic Hypothermia after Pediatric Cardiac Arrest (THAPCA, www.thapca.org).<br/>Dr. Goodman is also very involved in medical education, particularly graduate medical education.  She has participated in administrative, educational, and scholarly work in this area and oversees all fellowships at Children's Memorial Hospital.<br/>Clinical interests center around pediatric critical care medicine, pediatric cardiac critical care, ECMO, and cardiac and respiratory dysfunction and innovative approaches to management.
1001725	Colon cancer, Gastric cancer, Pancreas cancer, Rectal cancer
1001728	General cardiology, Preventive cardiology, Stress testing, Nuclear cardiology, Cardiac MRI
1001728	Research interests include testing of new pharmacologic stress agents, myocardial perfusion imaging (nuclear), and assessment of myocardial perfusion and viability by MRI.
1001774	Alzheimer's and Frontal dementias, Other dementias, Aphasia, Learning disabilities and ADD/ADHD, Functional Brain Imaging, Disorders of higher cortical function (amnesia, agnosia, neglect, etc.) due to stroke, epilepsy, dementia, etc.
1001785	Kidney transplantation, nephrotic syndrome, pediatric kidney diseases
1001786	I am interested in streptococcal pharyngitis, injury prevention, and medical education.
1001801	I study the natural history and treatment of optic pathway tumors in children who <br/>have neurofibromatosis-1.
1001883	How memory is stored in the brain: molecular and cellular bases
1001887	Autoimmunity & Tolerance to Nucleosomes, Apoptosis, Peptide Epitope Therapy, Signaling Threshold, Lupus.
1001887	We have established that in systemic lupus (SLE), the immune system responds abnormally to nucleosomes, the major products of body's own cells undergoing apoptosis (J. Exp. Med. 177:1367, 1993). Our main research programs involve studies on the origins of autoimmune response to nucleosomes, and signaling defects in autoimmune T and B cells that lead to abnormal co-stimulation and apoptosis-resistance. Work is progressing in parallel in lupus patients and mouse models of lupus we developed (Nature 263:412, 1976). <br/>We have identified nucleosomal peptide epitopes critical for cognate interactions between the autoimmune T helper (Th) cells and anti-DNA B cells in murine and human lupus (J. Exp. Med. 183:2459, 1996). Recognition of these autoepitopes by lupus T cell receptors (TCR) is highly promiscuous which makes the peptides extremely potent for therapy of established lupus autoimmunity by a mechanism we call 'tolerance spreading'. We have also developed transgenic mice, bearing nucleosome-specific TCR genes, to determine how the autoimmune T cells escape censorship in the thymus despite exposure to apoptosis products, and how they could be regulated in the periphery. <br/>Moreover, we found that the Th and B cells of lupus have defects that lower their threshold for costimulatory signaling and make them resistant to anergy induction. These defects lead to sustained production of pathogenic autoantibodies. We are studying new pathways for resistance to anergy and activation induced death in autoimmune T cells of lupus, as revealed by differential gene expression profiling.
1001926	I am interesting in medical education in the field of radiology at multiple levels, as well as overall health care policy and quality. Radiation exposure for medical imaging is becoming a big quality and safety issue. Within the field of radiology I am most interesed in ultrasound. 
1001944	My current research interests lie in 1) understanding the relationship between community factors and clinical ones, particularly related to childhood obesity; 2) early origins of childhood obesity; 3) means to intervene to reduce obesity and its co-morbidities in young children; 4) the effects of community based interventions on obesity prevalence and health behaviors.
1001981	We are primarily conducting translational research, some of which is in conjunction with a colleague in anthropology, Dr. Gillian Bentley.  We have studied hormone differences between populations of women in the developing countries of Bolivia and Bangladesh and the Western countries, US and UK.  Salivary progesterone concentrations are significantly lower in women of developing countries, and migrant studies show that the age of the migrants is critical in the adaptation of the Western hormone patterns.  Adult migrants do not adapt to the higher progesterone levels.  Salivary estradiol is not significantly different between these population groups.  We are interested in the relation of hormone levels to fertility and to breast cancer incidence.  Other studies involve Dr. Seema Khan, Department of Surgery.  We are studying hormone and products of hormone action in nipple aspirate fluid and breast random fine-needle aspirates from women with different levels of breast cancer risk to ascertain the associations of hormones with the potential for breast cancer development.  The very small samples obtained make the procedure more acceptable than other biopsy procedures but the amount of biomarkers in the samples are limiting.  For this purpose we are working with Dr. Chad Mirkin and others in the Nanotechnology Program to develop assays with several-fold greater sensitivities than the current immunoassays.  We are also funded to study the potential for transdermal application of the biologically active metabolite of tamoxifen to the breast as an alternative to oral administration of tamoxifen.  We are working with Dr. Dean Ho of the Bioengineering Faculty to develop more efficient delivery systems for this application.  Potentially, this will eliminate some of the undesirable side-effects of tamoxifen that cause a majority of women to reject the prophylactic use of tamoxifen.  
1002007	Interventional cardiology. Catheter closure of VSD, PDA, ASD, Arteriovenous malformations. Catheter therapy of valvar and vascular obstruction: pulmonary valve stenosis, aortic valve stenosis, coarctation of the aorta, pulmonary artery stenosis.<br/>Transcatheter implantation of the Melody Pulmonary Valve
1002038	General cardiology, Heart failure, Ischemic heart disease, Prevention of heart disease
1002038	Mihai Gheorghiade, MD, FACC, FCCP, FACP<br/>Dr. Gheorghiade is currently Professor of Medicine and Surgery, Associate Chief of the Division of Cardiology, Chief of the Cardiology Clinical Service, and Director of the Telemetry Unit at Northwestern University Feinberg School of Medicine.  He obtained his MD, Magna Cum Laude, from the University of Rome in 1972 and did his training in internal medicine and cardiology at Brown University.  Subsequently, he moved to Virginia, where he became Chief of Cardiology at the Salem VA and Associate Professor of Medicine at the University of Virginia.  Then, he became Chief of the Cardiac Intensive Care Unit at the Henry Ford Hospital in Detroit, Michigan and Associate Professor of Clinical Medicine at the University of Michigan.  From there, he moved to his current position in Chicago.  Dr. Gheorghiade was a visiting professor at the major universities in the United States and abroad and received numerous awards for teaching from both medical students and residents.  He is a member of many national and international committees and serves on the editorial board of many journals including the American Heart Journal, The American Journal of Cardiology, and the Journal of the American College of Cardiology.  Dr. Gheorghiade served as a guest editor on numerous occasions for the American Journal of Cardiology, American Heart Journal, and American Journal of Medicine.  He was/is Chairman of the Steering Committee for many heart failure trials including OPTIME, ACTIV, IMPACT, PRESERVD, STEP-CHF, URGENT, and HORIZON.  He is co chairing the ongoing, international EVEREST trial and was a member of the Steering Committee of RADIANCE, FIRST, CARS, RITZ 4, EPHESUS,  OPTIMIZE-HF, and IMPROVE-HF Dr. Gheorghiade is the author of more than 300 publications.  He was the Chairman/Co-chairman of numerous international and national meetings.  At present, his research interests are related to the pathophysiology, prognosis, and management of hospitalized patients with heart failure and the roles of vasopressin antagonist in heart failure.  
1002042	Neuropathology
1002052	PACS, Workstation, RIS, DICOM, HL7, Data Mining, 
1002062	Hodgkin's disease, Leukemia, Lymphoma, Transplantation
1002062	I have been studying biologic correlates of outcome measures in the context of the US Intergroup CHOP vs. Rituximab(R)-CHOP clinical trial for diffuse, large B-cell lymphoma (DLBCL). The addition of R to conventional CHOP chemotherapy either as induction or maintenance has now been shown to improve outcome in patients with DLBCL (both US and European trials).  My findings suggest this improvement in outcome is primarily due to the beneficial effect of R added to CHOP in the bcl-6 negative subset of DLBCL. Furthermore, addition of rituximab to CHOP chemotherapy, does NOT benefit patients who are bcl-6+, the majority of cases.  Differences between the clinical behavior of bcl-6 positive and negative lymphoma provide clues to the underlying biologic nature of DLBCL. Different therapeutic strategies may be designed to specifically target bcl-6-positive and negative DLBCL based upon differences in their underlying cell survival mechanisms and sensitivity to chemotherapy and rituximab. Analysis of additional biologic markers (p53, p21) is in progress.  Along with Dr. John Reed of the Burnham Institute, a long-standing collaborator, we are investigating protein expression of paracaspase in  lymphomas.In collaboration with Dr. E. Terry Papoutsakis of the Department of Chemical Engineering, NU, we are creating  gene expression arrays on follicular lymphomas to identify patterns of gene expression reflective of the nonmalignant cells component of the biopsy specimen, and their relationship to clinical outcome.<br/>Radioimmunotherapy using anti-CD20 reagents targets radiation to the malignant lymphocytes and their immediate neighbors by means of the cross-fire effect.  To improve outcomes, we have added Y-90-ibritumomab tiuxetan to conventional BEAM chemotherapy for patients undergoing autologous stem cell transplant.  This was an investigator initiated phase I trial conducted under an investigator-held IND.  Colleagues at the Mayo Clinic were our co-investigators.  Forty-three patients were accrued to this study;  the maximal tolerated dose of Y-90-Ibritumomab tiuxetan is one that will deliver 1500 cGy to critical organs.  We are recommending a phase II trial of this radioimmunotherapeutic at 1.0 mCi/kg administering higher doses of Y-90-ibritumomab  tiuxetan be conducted prior to proceeding to a phase III randomized trial.<br/>Continuing in our efforts to develop novel therapies for patients with non-Hodgkin lymphoma, I have written a phase I trial to combine bortezomib, the proteosome inhibitor, with Y-90-ibritumomab tiuxetan for patients with follicular lymphoma. This study has just opened.<br/>Other clinical investigations include anti-idiotype vaccines, novel targeted agents such as histone deacetylase inhibitors and new monoclonal reagents such as the  anti-CD40 monoclonal antibody and an anti-CD22 chemoimmunoconjugate. In the context of our recently submitted SPORE in Lymphoma application, I will lead studies of targeted 'nanobins' created by Dr. O'Halloran, and help to develop bcl-6 peptide inhibitors for clinical use with Drs. Licht and Melnick (Albert Einstein).  
1002064	Dr Kahrilas' research focus is on esophageal and oropharyngeal physiology and pathophysiology.  Oropharyngeal studies are aimed at describing the normal mechanics of swallowing and the modifiability that can be imposed therapeutically.  These studies use computerized analysis of manometric and videofluorographic swallowing studies.  Pathophysiologic studies of the oropharynx focus on mechanisms that result in dysphagia and the efficacy of volitional compensatory strategies in modifying these defects.  Esophageal research has centered on the motor activity of the upper esophageal sphincter, peristaltic function, the pathophysiology of esophageal motor disorders, and the pathophysiology of gastroesophageal reflux disease.  Upper esophageal sphincter investigations utilized manometry and videofluoroscopy to describe reflexive response to esophageal stimuli, as well as normal activity during sleep, acid reflux, meals, and swallowing.  Studies of the esophageal body have described the contractile pattern of longitudinal muscle during peristalsis and are examining the efficacy of peristaltic function in effecting volume clearance and relating this quantitative assessment of peristaltic efficacy to the subjective experience of dysphagia.  Investigations of reflux disease are examining the mechanisms by which anatomic variables, inclusive of but not limited to hiatus hernia, interact with physiological responses to modulate disease severity.  A current research focus is on applying high-resolution solid-state manometry to the analysis of esophagogastric junction pathophysiology both with respect to reflux disease and esophageal motor disorders. <br/>Previous research interests have included central nervous system neurophysiology, autonomic nervous system neurophysiology as it relates to sodium homeostasis, and screening for esophageal cancer. 
1002064	Esophageal disorders, Gastroesophageal reflux disease, Swallowing disorders
1002079	competitive, inhibition, uterine, contractions, preterm- labor, peptides, oxytocin, antagonists, breakdown, metabolism
1002095	Adolescent Psychiatry, Normality, Longitudinal Studies
1002126	My research interests include HIV prevention for high risk populations, health promotion with underserved populations and clinical research of co-ocurring mental health and substance abuse in incarcerated individuals.
1002139	Asthma, Lung Function, Clinical Trials
1002139	I am exploring the role of diet in asthma severity, especially the effect of dietary antioxidants and soy isoflavones.
1002194	global control of cell function<br/>genome sequence architecture and genome navigation
1002205	My primary research/clinical interest of longest standing is in the area of medical anthropology; specifically, dealing with all of those factors, processes, and practices--biological and cultural--that are associated with either promoting or impeding healing in all of its aspects (i.e., from somatic wound healing to psychic healing).  Regarding healing, I have particular interest in mind-body integration and psychoneuroimmunology.  In the area of my own professional clinical activity, my longest standing interest is in bringing existentially informed approaches to the practice of making effective healing relationships with individuals and their families who are contending with serious medical problems and/or life-shattering events which have a medical dimension. 
1002238	Primary clinical interest is in administration of correctional psychiatry programs in the Cook County Jail and the Juvenile Temporary Detention Center.
1002248	My primary clinical interest is preventative health care strategies for women of all ages with a special focus on Menopause, Bone health/Densitomety and cardiovascular health. I am also very interested in minimally invasive surgery such as endometrial ablation for abnormal bleeding and hysteroscopic sterilization.
1002252	I am a clinical psychologist who is primarily interested in providing psychotherapy to individuals and couples coping with mental health symptoms, life transitions and the diagnosis and treament of cancer.  <br/>My research interests include psychological sequelae of a cancer diagnosis.
1002340	I have been interested in community mental health and have published in the field of rural psychiatry.  I am currently interested in cognitive disorders and associated psychiatric syndromes in my work at the Cognitive Neurology and Alzheimer's Disease Center. 
1002357	Development of novel therapeutics; cancer signaling; cancer metabolism
1002357	Steven Rosen, MD, FACP, is Genevieve Teuton Professor of Medicine, at the Feinberg School of Medicine, Northwestern University and Director of the Robert H. Lurie Comprehensive Cancer Center of Northwestern University and Director of Cancer Programs at Northwestern Memorial Hospital.  Following his graduation with distinction from Northwestern University Medical School's Six-Year Honors Program in 1976, Dr. Rosen completed his residency in Internal Medicine at Northwestern and a fellowship in Medical Oncology at the National Cancer Institute. Dr. Rosen's laboratory research focuses on experimental therapeutics and hematologic malignancies.  Dr. Rosen has received numerous grants awards and contracts and has published more than 200 scientific papers.  As Director of the Cancer Center, Dr. Rosen has successfully competed for an NCI Cancer Center Support Grant, NCI grants for his laboratory research, an NCI RAID Contract grant for the development of a novel purine analog, and grants from the Leukemia and Lymphoma Society of America and the American Cancer Society.<br/>Dr. Rosen serves on several editorial boards and is editor of Cancer Treatment & Research.  He is a member of all major national associations that focus on oncology and has held leadership positions in the Eastern Cooperative Oncology Group, the American Association of Cancer Institutes and the National Comprehensive Cancer Network.  He serves on the advisory boards of several NCI-designated Cancer Centers, the Leukemia and Lymphoma Society of America, the Multiple Myeloma Research Foundation, the Lymphoma Research Foundation and the Wendy Will Cancer Research Foundation.  He has also served as an advisor to Great Britain's Cancer Research Campaign.  Dr. Rosen was the recipient of Northwestern University Medical School's Alumni Achievement Award (1994), the Martin Luther King Humanitarian Award from Northwestern Memorial Hospital (1995), the Marv Samuel Award from the Chicago Baseball Cancer Charities (1996) and recognition from the Women's Board of Northwestern Memorial Hospital for Compassionate Care (1996).  He is acknowledged in Best Doctors in America and Best Doctors in Chicago.
1002413	transformation, mesothelioma, cyclins, phosphatases, apoptosis, transactivation
1002417	Clinical research interests include pituitary disease leading to hypopituitarism or hormonal excess syndroms, such as acromegaly, hyperprolactinemia and Cushing's disease.  Basic research interests are focused on the growth hormone-IGF I axis.  Currently ongoing studies include the characterization of genetic GHRH receptor deficiency and the evaluation of tissue-specific growth hormone actions using a growth hormone receptor knockout model.
1002417	growth hormone, growth hormone action, growth hormone receptor, growth hormone binding protein, growth hormone releasing hormone receptor, insulin-like growth factor, growth, development, metabolism
1002485	Dr. Rothke's clinical work and research involves professional issues in neuropsychology such as expert testimony, disability determination, competency evaluation (ability to work, manage finances, and manage personal affairs, and assessment of testamentary capacity), development of job modifications to accommodate a mental or emotional disability, evaluation of risk for violence and determination of fitness-for-duty, and assessment of malingering and exaggerated claims of impairment.  
1002521	learning and memory, multiple single-unit electrophysiology, behavior, classical conditioning, transgenic mice, knockout mice, alzheimer's disease, hippocampus, cerebellum, aging
1002526	Research Interests: Comparative Anatomy of the Larynx<br/>                                    Neuromuscular Physiology of the Larynx<br/>                                     History of Medicine<br/>Clinical Interests:    Human Anatomy<br/>                                        Head & Neck Region
1002530	My research and clinical interests focus on children with arthritis, and the use of informatics to improve quality and research projects, by coordinating flow of data from diverse sources, including the electronic medical record.  I participate in a multi-center Quality Improvement network as well as multi-center trials of novel treatments of children with arthritis.
1002615	I am primarily involved in health literacy advocacy, research and incorporation of this into clinical care, as well as medical home and medical education about the medically complex child
1002617	Gonadal Development, Pituitary, Gonadotropins, Activin, LH, FSH
1002617	My overall interests are in mammalian reproduction. In previous years, I studied the regulation of pituitary gondaotropin gene expression and hormone secretion. More recently, I have been working on two topics. The first is trying to determine the genetic cascades involved in male/female sex determination and subsequent development of the gonad. Most of this time is spent on a genome-wide mutagenesis screen for genes involved in spermatogenesis. The second is the control of gene expression by estrogen receptor alpha via mechanisms that do not involve the classical estrogen response element in DNA (the so-called 'non-classical' mechanisms).
1002633	Angina with normal coronary arteries, Coronary artery disease, Coronary circulatory abnormalities
1002643	epidemiology of systemic lupus erythematosus, pregnancy and rheumatic diseases, osteoporosis, steroid-induced osteoporosis, clinical drug trials in lupus
1002644	gender and arrhytmias, dynamics of fibrillation
1002699	GLI transcription factors, genetics and biochemical mechanisms of action in normal development and disease states.<br/>Stem cell allocation in organ development.<br/>http://www.childrensmrc.org/iannaccone/
1002702	Adrenal tumors, Endocrine tumors, Hyperparathyroidism, Islet cell tumors of pancreas, Laparoscopic adrenal surgery, Minimally invasive parathyroid surgery, Parathyroid tumors, Pheocromocytoma, Thyroid cancer, Thyroid tumors
1002719	Clinical research in methods of testing for diabetic peripheral neuropathy
1002721	Education Processes, Teaching Learning, Gender issues in Health care
1002791	My primary research relates to the signaling pathways involved in hormone action on osteoblasts and osteoclasts, and its implications for osteoporosis, cancer metastases to bone and women's health.  More details are available on the Web page, http://www.feinberg.northwestern.edu/igp/facindex/SternP.html.
1002793	General practice of Adult Psychiatry, with concentration on Mood and Anxiety Disorders. I also have a particular interest in Alzheimers and other dementias.
1002799	Comprehensive care of adults
1002801	I am a general child neurologist with particular interest in neurology of the newborn.  I have research experience in the psychophysics of vision.
1002912	Bioreductive drugs, hypoxia, adjuvant therapy, radiosensitization, metalloproteinase-inhibitors, imaging for hypoxia, 19F-MRS, spermidine-derivatives,<br/>drug activation.
1002979	POSTTRAUMATIC STRESS DISORDER<br/>INTERACTIVE DIGITAL TECHNOLOGY, CHILD DEVELOPMENT, FAMILY LIFE, VIDEO GAMES, INTERNET, CELL PHONES, COMPUTER 
1003038	public psychiatry, behavioral health & human service systems, public health, public policy
1003070	Chronic renal failure, Hypertension
1003094	Breast Surgical Oncology
1003171	Laura A Miller is a prosthetist at the Rehabilitation Institute of Chicago and an Assistant Professor in Physical Medicine and Rehabilitation at Northwestern University, participating in research through the Neural Engineering Center for Artificial Limbs (NECAL). She completed her MS and PhD in Biomedical Engineering at Northwestern University.  She has multiple publications in the area of normal gait and lower limb prosthetics.  She also has an interest in and has been an author in the area of high-level upper limb prosthetic fittings. Laura is an ABC and Illinois licensed prosthetist and a member of the AAOP and the ISPO.   
1003176	Regulation of the cardiac L-type calcium channel at the molecular level
1003231	Exploration of the clinical and epidemiologic significnce of the I1307K APC mutation associated with colorectal cancer in Ashkenazi Jews.
1003231	clinical significance of the I1307k APC mutation in colorectal carcinoma; aromatase inhibitors breast cancer
1003275	Management of chronic pain (low back, neuropathic, cancer, myofascial).<br/>Management of acute postoperative pain.<br/>Regional anesthesia.<br/>Outcome measures in pain research.<br/>Safety and neuraxial and regional anesthesia (e.g. anticoagulation and regional anesthesia)
1003295	Dr. Molitch performs clinical research in the fields of pituitary hormone regulation, pathogenesis and treatment of pituitary tumors, and diabetes complications. His research is conducted primarily in the Clinical Research Center.
1003295	Pathogenesis & treatment of pituitary tumors, treatment of diabetic complications 
1003302	Ambulatory anesthesia, Neurosurgical anesthesia
1003356	I am interested in discovering novel targets for the diagnosis and treatment of heart failure. My clinical training is in cardiology and my research training is in stem cell therapies for cardiovascular diseases, angiogenesis, and vascular biology.
1003361	Neuropsychology
1003403	Oral Pathology <BR><br/>Diagnostic Oral & Maxillofacial Pathology
