APPT_ENTITY_ABBR	APPT_ENTITY_CHAIR_FACULTY_ID	APPT_ENTITY_ID	APPT_ENTITY_NAME	APPT_ENTITY_SCHOOL	FP_DEPT_CHAIR_DISPLAY_FLAG	FP_DEPT_CHAIR_DISPLAY_NAME
Medical Social Sciences	600776	323000	Medical Social Sciences	FSM	Y	Medical Social Sciences
IPR		612000	Institute for Policy Research	IPR		
Asher Center	608025	411000	Asher Center for the Study and Treatment of Depressive Orders	FSM		Asher Center for the Study and Treatment of Depressive Orders
Inst. Women's Health Rsch	605984	421000	Institute for Women's Health Research	FSM		
NUCATS	602019	420000	Northwestern University Clinical and Translational Sciences Institute (NUCATS)	FSM		Northwestern University Clinical and Translational Sciences Institute (NUCATS)
Radiation Oncology	603765	319500	Radiation Oncology	FSM	Y	Radiation Oncology
OME & Faculty Dev.	601079	502000	Medical Education and Faculty Development	FSM		Medical Education and Faculty Development
Med Humanities Bioethics	600786	503000	Medical Humanities and Bioethics	FSM		Medical Humanities and Bioethics
Dental School		601000	Dental School	Dental		
Kellogg		602000	Kellogg School of Management	Kellogg		
Law School		603000	School of Law	Law		
Medill		604000	Medill School of Journalism	Medill		
MEAS		605000	McCormick School of Engineering	MEAS		
SESP		606000	School of Education and Social Policy	SESP		
Communication		607000	School of Communication	Communication		
WCAS		608000	Weinberg College of Arts and Sciences	WCAS		
SCS		609000	School of Continuing Studies	SCS		
Provost's Office		610000	Provost's Office	Provost's Office		
Anesthesiology	605314	301000	Anesthesiology	FSM	Y	Anesthesiology
Buehler COA	601424	406000	Buehler Center on Aging	FSM		Buehler Center on Aging
CM Biology	601894	101000	Cell and Molecular Biology	FSM	Y	Cell and Molecular Biology
Ctr for Genetic Medicine	602909	402000	Center for Genetic Medicine	FSM		Center for Genetic Medicine
Dermatology	604139	302000	Dermatology	FSM	Y	Dermatology
Family Medicine		304000	Family and Community Medicine	FSM	Y	Family and Community Medicine
Feinberg Cardio Rsch	607417	305000	Feinberg Cardiovascular Research Institute	FSM		Feinberg Cardiovascular Research Institute
CHS-IPHAM		404000	Center for Healthcare Studies - Institute for Public Health and Medicine	FSM		Center for Healthcare Studies - Institute for Public Health and Medicine
Medicine	608119	307000	Medicine	FSM	Y	Medicine
Micro-Immunology	603022	102000	Microbiology-Immunology	FSM	Y	Microbiology-Immunology
Ob/Gyn	606312	310000	Obstetrics and Gynecology	FSM	Y	Obstetrics and Gynecology
NUIN	603849	409000	Northwestern University Institute of Neuroscience (NUIN)	FSM		
IBNAM	605354	410000	Institute for Bioengineering and Nanoscience in Advanced Medicine (IBNAM)	FSM		
MPBC	605063	103000	Molecular Pharmacology and Biological Chemistry	FSM	Y	Molecular Pharmacology and Biological Chemistry
CNADC	603665	403000	Cognitive Neurology and Alzheimer's Disease Center	FSM		Cognitive Neurology and Alzheimer's Disease Center
Orthopaedic Surgery	604831	313000	Orthopaedic Surgery	FSM	Y	Orthopaedic Surgery
Neurology	602761	308000	Ken and Ruth Davee Department of Neurology	FSM	Y	Neurology
Physical Therapy	601227	317000	Physical Therapy and Human Movement Sciences	FSM	Y	Physical Therapy and Human Movement Sciences
Psychiatry	608025	318000	Psychiatry and Behavioral Sciences	FSM	Y	Psychiatry and Behavioral Sciences
Lurie Cancer Center	604638	401000	Robert H. Lurie Comprehensive Cancer Center	FSM		Robert H. Lurie Comprehensive Cancer Center
Neurological Surgery	604092	309000	Neurological Surgery	FSM	Y	Neurological Surgery
Ophthalmology	609032	312000	Ophthalmology	FSM	Y	Ophthalmology
Otolaryngology	602752	314000	Otolaryngology - Head and Neck Surgery	FSM	Y	Otolaryngology - Head and Neck Surgery
Pathology	607695	201000	Pathology	FSM	Y	Pathology
Pediatrics	602011	316000	Pediatrics	FSM	Y	Pediatrics
P M & R	604676	315000	Physical Medicine and Rehabilitation	FSM	Y	Physical Medicine and Rehabilitation
Physiology	605395	104000	Physiology	FSM	Y	Physiology
Preventive Medicine	606511	202000	Preventive Medicine	FSM	Y	Preventive Medicine
Radiology	604722	319000	Radiology	FSM	Y	Radiology
Surgery	606501	320000	Surgery	FSM	Y	Surgery
Urology	604830	321000	Urology	FSM	Y	Urology
Administration	601079	504000	Administration	FSM		Administration
Emergency Medicine	600016	303000	Emergency Medicine	FSM	Y	Emergency Medicine
Center for Bioethics	606128	419000	Center for Bioethics, Science and Society	FSM		Center for Bioethics, Science and Society
NCCO	603037	422000	Northwestern University Comprehensive Center on Obesity	FSM		Northwestern University Comprehensive Center on Obesity
Comprehensive Transplant	600001	423000	Comprehensive Transplant Center	FSM		Comprehensive Transplant Center
Center for Global Health	603878	424000	Center for Global Health	FSM		Center for Global Health
Center for AIDS Research	605968	412000	Center for AIDS Research	FSM		Center for AIDS Research
Immunobiology Center	603739	408000	Interdepartmental Immunobiology Center	FMS		
CMRC	606523	413000	Children's Memorial Research Center (CMRC)	FSM		
ADMIN_FLAG	APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DEPT_SEARCH_NAME	DEPT_WEB_ID	DIVISION_ID	DV_ABBR	DV_CAMPUS_ID	DV_LOCATION_ID	DV_NAME	DV_PHONE	DV_ROOM_NUMBER	DV_TYPE	DV_URL	LABEL_NAME	PICTURE_DIR	SAU_ID	SEARCH_NAME	WEB_ID
0	0	0	310000	Education	10110	310030	Ob/Gyn-Education	1	110	Obstetrics and Gynecology-Education	312/472-4639	05-2177	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Education	obgyn-edu		Obstetrics and gynecology-Education	62641
0	1	0	310000	Diagnostic Ultrasound	10110	310020	Ob/Gyn-Diag Ultrasound	1	110	Obstetrics and Gynecology-Diagnostic Ultrasound	312/472-4639	05-23654	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Diagnostic Ultrasound	obgyn-diag		Obstetrics and gynecology-Diagnostic Ultrasound	62642
0	0	1	306000			306010	Feinberg Neuroscience	1	114	Feinberg Clinical Neuroscience Research Institute	312/503-4300	5-474	Basic	http://www.feinberg.northwestern.edu/feinbergneuro/	Feinberg Neuroscience			Clinical neuroscience research institute	62643
0	0	0	501000			501150	FSM-Galter Library	1	116	FSM-Galter Health Sciences Library	312/503-8133	2-212		http://www.galter.northwestern.edu/	FSM-Galter Library			FSM-Galter Health Sciences Library	62644
0	1	0	502000			502010	Medical Education	1	116	Medical Education	312/503-0573	1-003	Clinical	http://www.feinberg.northwestern.edu/education	Medical Education	ome		Medical Education	62645
0	1	0	503000			503010	Med Humanities Bioethics	1	101	Medical Humanities and Bioethics	312/503-7962	625	Clinical	http://bioethics.northwestern.edu/	Medical Humanities and Bioethics			Bioethics and humanities	62646
0	1	0	504000			504010	Administration	1	108	Administration	312/503-8194	4-641	Clinical	http://www.feinberg.northwestern.edu/directory/admin.html	Medical Administration			Administration	62647
0	1	0	303000		10330	303010	Emergency Med.	1	417	Emergency Medicine	312/694-7000	200	Clinical	http://www.feinberg.northwestern.edu/emergencymed/index.html	Emergency Medicine	emerg-med		Emergency Medicine	62648
0	0	0	611000			611010	CAS-Anthropology			CAS-Anthropology			School		CAS-Anthropology			CAS-Anthropology	62649
0	0	1	417000			417010	Prosthetic-Orthotic Ctr	1	111	NU Prosthetic-Orthotic Center	312/238-3919	1406		http://www.nupoc.northwestern.edu/	Prosthetic-Orthotic Ctr			Prosthetic-orthotic center	62650
0	1	0	317000		10240	317010	Physical Therapy	1	128	Physical Therapy and Human Movement Sciences	312/908-8160	1100	Clinical	http://www.feinberg.northwestern.edu/nupthms/index.html	Physical Therapy	phys-ther	450600	Physical therapy and human movement sciences	62651
0	1	0	318000		10350	318010	Psychiatry	1	136	Psychiatry and Behavioral Sciences	312/926-2323	7-100	Clinical	http://psychiatry.northwestern.edu/	Psychiatry	psych	434500	Psychiatry and behavioral sciences	62652
0	1	1	401000			401010	Lurie Cancer Center	1	107	Robert H. Lurie Comprehensive Cancer Center	312/908-5250	8250	Clinical	http://www.lurie.northwestern.edu/	Lurie Cancer Center	cancer	444400	Cancer center	62653
0	1	0	320000	Vascular surgery	10100	320100	Surg-Vascular	1	129	Surgery-Vascular	312/926-7775	650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/vascular/index.html	Surgery:Vascular	surg-vascular		Vascular surgery	62654
0	1	0	309000		10320	309010	Neurological Surgery	1	129	Neurological Surgery	312/695-6200	2210	Clinical	http://www.feinberg.northwestern.edu/neurosurgery/index.htm	Neurological Surgery	neuro-surg	436100	Neurological surgery	62655
0	0	0	601000			601010	Dental School			Dental School			School		Dental School			Dental School	62656
0	1	0	602000			602010	Kellogg	2	211	Kellogg School of Management			School		Kellogg School of Management			Kellogg School of Management	62657
0	0	1	416000			416010	Arthritis Center	1	111	Multipurpose Arthritis and Musculoskeletal Diseases Center	312/238-3919	1406		http://www.feinberg.northwestern.edu/mamdc/intro.html	Arthritis Center			Arthritis center	62658
0	1	0	603000			603010	Law School	1	112	School of Law			School		School of Law			School of Law	62659
0	1	0	604000			604010	Medill	2	218	Medill School of Journalism			School	http://www.medill.northwestern.edu/	Medill School of Journalism	medill		Medill School of Journalism	62660
0	1	0	605000			605010	MEAS	2	206	McCormick School of Engineering			School	http://www.mccormick.northwestern.edu/	McCormick School of Engineering	meas		McCormick School of Engineering	62661
0	1	0	606000			606010	SESP			School of Education and Social Policy			School		School of Education and Social Policy			School of Education and Social Policy	62662
0	1	0	607000			607010	Communication	2	202	School of Communication			School	http://www.communication.northwestern.edu/	School of Communication			School of Communication	62663
0	1	0	608000			608010	WCAS	2	217	Weinberg College of Arts and Sciences			School		Weinberg College of Arts and Sciences	wcas		Weinberg College of Arts and Sciences	62664
0	1	0	609000			609010	SCS			School of Continuing Studies			School		School of Continuing Studies			School of Continuing Studies	62665
0	1	0	610000			610010	Provost's Office	2	207	Provost's Office		2154	School		Provost's Office			Provost's Office	62666
0	1	0	310000	Urogynecology	10110	310120	Ob/Gyn-FPRMS-Urogyn	1	130	Obstetrics and Gynecology-Female Pelvic Medicine and Reconstructive Surgery (Urogynecology)	312/695-6600	1015	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Urogynecology	obgyn-uro		Obstetrics and Gynecology-Urogynecology	62667
0	1	0	310000	Reproductive Biology Research	10110	310110	Ob/Gyn-Reprod Biol Rsrch	1	138	Obstetrics and Gynecology-Reproductive Biology Research	312/503-0515	4-123	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Reprod Biol Rsrch	obgyn-reprodbio		Obstetrics and Gynecology-Reproductive Biology Research	62668
0	1	0	310000	General	10110	310040	Ob/Gyn-General	1	110	Obstetrics and Gynecology-General	312/695-8466	03-2304	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:General	obgyn-gen		Obstetrics and gynecology-General	62669
0	1	0	310000	Gynecologic oncology	10110	310050	Ob/Gyn-Gyn Oncology	1	110	Obstetrics and Gynecology-Gynecologic Oncology	312/472-4684	05-2168	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Gynecologic Oncology	obgyn-gynonc		Gynecologic oncology	62670
0	0	0	310000	Gynecologic surgery	10110	310060	Ob/Gyn-Gyn Surgery	1	130	Obstetrics and Gynecology-Gynecologic Surgery	312/695-6600	1015	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Surgery	obgyn-surg		Gynecologic surgery	62671
0	1	0	301000		10200	301010	Anesthesiology	1	102	Anesthesiology	312/926-2280	5-704	Clinical	http://www.feinberg.northwestern.edu/anesthesiology/index.html	Anesthesiology	anesth	402500	Anesthesiology	62672
0	1	1	406000			406010	Buehler COA-IPHAM	1	101	Buehler Center on Aging, Health & Society - Institute for Public Health and Medicine	312/503-3087	601	Clinical	http://www.northwestern.edu/aging/	Buehler Ctr on Aging, Health & Society	buehler		Aging center-IPHAM	62673
0	1	0	101000		10280	101010	CM Biology	1	116	Cell and Molecular Biology	312/503-8250	7-334	Basic	http://www.cmb.northwestern.edu/	CM Biology	cmb	390200	Cell and molecular biology	62674
0	1	1	402000			402010	Ctr for Genetic Medicine	1	129	Center for Genetic Medicine	312/503-3209	1260	Basic	http://www.cgm.northwestern.edu/	Center for Genetic Medicine	genetic-center		Genetic medicine center	62675
0	1	0	302000		10130	302010	Dermatology	1	129	Dermatology	312/695-8106	1600	Clinical	http://www.feinberg.northwestern.edu/depts/dermatology/index.html	Dermatology	dermatology	404800	Dermatology	62676
0	1	0	304000		10180	304010	Family & Community Med	1	100	Family and Community Medicine	312/503-1273	4th Floor	Clinical	http://www.familymedicine.northwestern.edu/index.html	Family and Community Medicine	family-med	405800	Family and Community Medicine	62677
0	1	1	305000			305010	Feinberg Cardio Rsch	1	113	Feinberg Cardiovascular Research Institute	312/503-2296	12-703	Clinical	http://www.fcvri.northwestern.edu/	Feinberg Cardiovascular Research Center	fcri	406000	Cardiovascular research institute	62678
0	0	0	501000			501040	FSM-Admin Operations	1	108	FSM-Administrative Operations	312/503-8258	4-656			FSM-Admin Operations			FSM-Administrative Operations	62679
0	0	0	501000			501050	FSM-Alumni Relations	1	100	FSM-Alumni Relations	312/503-8012	1312			FSM-Alumni Relations			FSM-Alumni Relations	62680
0	0	0	501000			501250	FSM-Sr. EAD	1	116	FSM-Chief Operating Officer and Senior Executive Associate Dean	312/503-8024	4-332			FSM-Sr. EAD			FSM-Chief Operating Officer and Senior Executive Associate Dean	62681
0	0	0	501000			501060	FSM-CME	1	116	FSM-Continuing Medical Education	312/503-8533	1-027			FSM-CME			FSM-Continuing Medical Education	62682
0	0	0	501000			501070	FSM-Dean	1	108	FSM-Dean	312/503-0340	4-656			FSM-Dean			FSM-Dean	62683
0	0	0	501000			501090	FSM-EAD for Clin Affairs	1	116	FSM-Executive Associate Dean for Clinical Affairs	312/503-0336	4-160			FSM-EAD for Clin Affairs			FSM-Executive Associate Dean for Clinical Affairs	62684
0	0	0	501000			501120	FSM-EAD for Research	1	116	FSM-Executive Associate Dean for Research	312/503-1499	4-035			FSM-EAD for Research			FSM-Executive Associate Dean for Research	62685
0	0	0	501000			501140	FSM-Finance	1	100	FSM-Finance and Budget	312/503-4540	1301			FSM-Finance			FSM-Finance and Budget	62686
0	0	0	501000			501170	FSM-Honors Prgm in Med	1	108	FSM-Honors Program in Medical Education	312/908-8915	1-645		http://www.feinberg.northwestern.edu/hpme	FSM-Honors Prgm in Med			FSM-Honors Program in Medical Education	62687
0	0	0	501000			501190	non FSM	1	116	non FSM	312/503-0105	4-001			non FSM			x  testing	62688
0	0	0	501000			501200	FSM-Minority Affairs	1	108	FSM-Minority and Cultural Affairs					FSM-Minority Affairs			FSM-Minority and Cultural Affairs	62689
0	0	1	501000			501220	Prgm in Communication	1	101	Program in Communication and Medicine	312/503-5124	601		http://www.pcm.northwestern.edu/	Prgm in Communication			Communication and medicine program	62690
0	0	0	501000			501270	FSM-Student Admissions	1	108	FSM-Student Admissions	312/503-8206	1-606			FSM-Student Admissions			FSM-Student Admissions	62691
0	0	0	501000			501180	FSM-Informatics	1	113	FSM-Weinberg Medical Informatics Training Center	312/503-4964	2-718			FSM-Informatics			FSM-Weinberg Medical Informatics Training Center	62692
0	0	0	310000	Industry Clinical Trials	10110	310070	Ob/Gyn-Industry Clinica	1	110	Obstetrics and Gynecology-Industry Clinical Trials	312/926-6631	03-2304	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Industry Clinical Trials	obgyn-indtrials		Obstetrics and gynecology-Industry Clinical Trials	62693
0	1	0	310000	Maternal Fetal Medicine	10110	310080	Ob/Gyn-Maternal Fetal	1	110	Obstetrics and Gynecology-Maternal Fetal Medicine	312/472-4685	05-2175	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Maternal Fetal Health	obgyn-maternal		Obstetrics and gynecology-Maternal Fetal Medicine	62694
0	1	0	310000	Clinical Genetics	10110	310100	Ob/Gyn-Clinical Genetics	1	110	Obstetrics and Gynecology-Clinical Genetics	312/472-4683	05-2168	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Clinical Genetics	obgyn-reprodgen		Obstetrics and Gynecology-Clinical Genetics	62695
0	0	0	310000		10110	310000	Ob/Gyn Rollup	1	110	Obstetrics and Gynecology-Rollup	312/472-3660	03-2304		http://www.feinberg.northwestern.edu/obgyn/index.html	Ob/Gyn - Rollup			Obstetrics and gynecology-Rollup	62696
0	0	0	311000			311020	OCRT-Budget P&R	1	100	Office of Clinical Research and Training-Budget P&R	312/503-1500	10th floor			OCRT-Budget P&R			Office of Clinical Research and Training-Budget P&R	62697
0	0	0	311000			311030	OCRT-Business Development	1	100	Office of Clinical Research and Training-Business Development	312/503-1500	10th floor			OCRT-Business Development			Office of Clinical Research and Training-Business Development	62698
0	0	0	311000			311040	OCRT-Education	1	100	Office of Clinical Research and Training-Education	312/503-1500	10th floor			OCRT-Education			Office of Clinical Research and Training-Education	62699
0	0	0	322000			322010	OCRT-Ext.Consult.Services	1	100	Office of Clinical Research and Training-Ext. Consulting Services	312/503-1500	10th floor			OCRT-Ext.Consult.Services			Office of Clinical Research and Training-Ext. Consulting Services	62700
