EMPLOYEE_ID	INTEREST
1001575	Patient Safety
1001575	Pediatrics
1001581	Cardiovascular Diseases
1001581	Cardiovascular Imaging
1001581	Valve Repair/Replacement
1001581	Valvular  Heart disease and Coronary artery disease
1001613	Molecular Pharmacology
1001613	Movement Control
1001613	Neurobiology
1001662	Pathology
1001679	Critical Cardiac Care
1001679	Critical Care
1001679	Critical Care Outcomes
1001679	Epidemiology
1001679	Graduate Medical Education
1001679	Health Services Research
1001679	Pediatrics
1001728	Cardiac MRI
1001728	Cardiology
1001728	Cardiovascular Imaging
1001728	Nuclear Cardiology
1001728	Stress testing
1001774	Aging
1001774	Alzheimer's Disease
1001774	Attention deficit/hyperactivity disorder(ADHD)
1001774	Brain, Nervous System
1001774	Dementia
1001774	Neurology
1001774	Neuroscience 
1001785	Kidney
1001785	Pediatrics
1001785	Transplantation
1001786	Infectious Diseases-bacteria
1001786	Injury Prevention
1001786	Medical Education
1001786	Pediatrics
1001801	Neurofibromatosis
1001848	Graduate Medical Education
1001848	Medical Education
1001848	Medico-legal
1001848	Menopause
1001848	Minimally Invasive Surgery
1001848	Sexually Transmitted Diseases
1001848	Undergraduate Medical Education
1001848	Women's Health, Women's Reproductive Health
1001883	Addiction
1001883	Aging
1001883	Alzheimer's Disease
1001883	Developmental Neurobiology
1001883	Neuroscience 
1001883	Signal Transduction
1001887	Mechanisms of autoimmunity and tolerance to nuclear antigens in Lupus; Molecular pathways of T cell anergy and activation induced apoptosis; Develop antigen-specific tolerance therapy to restore immunoregulation and maintain lupus patients in remission.
1001887	Apoptosis
1001887	Autoimmune Diseases
1001887	Autoimmunity
1001887	Immune System
1001887	Signal Transduction
1001926	Breast Disease
1001926	Cancer: Female Reproductive System (ovary, cervix, uterus)
1001926	Healthcare Quality
1001926	Medical Education
1001926	Radiology, Xray, CAT Scan, Medical Imaging
1001926	Thyroid Nodules
1001926	Women's Health
1001944	Community Medicine
1001944	Health Policy
1001944	Nutritional and Metabolic Diseases
1001944	Pediatrics
1001944	Preventive Medicine
1001944	Primary Care
1001981	Biochemistry: Lipids
1001981	Breast Disease
1001981	Cancer Biology
1001981	Drugs (clinical pharmacology)
1001981	Endocrinology
1001981	Reproduction
1002007	Congenital Heart Disease
1002038	Acute Heart Failure
1002038	Cardio-renal syndrome
1002038	Chronic Heart Failure
1002038	Digoxin in the therapy of CHF and atrial fibrillation
1002038	Epidemiology of heart failure
1002038	Heart Failure Clinical Trialists
1002038	Improving outcomes in patients hospitalized for heart failure
1002038	New Agents in Acute Heart Failure
1002038	Prognostic factors in heart failure
1002038	Vasopressin Antigonists in heart failure and hyponatremia
1002052	Information Systems
1002052	Medical Informatics
1002052	Radiology
1002052	Telemedicine
1002062	Clinical interests:  Hematologic malignancies to include Hodgkin Lymphomas, non-Hodgkin's lymphomas, and hematopoietic stem cell transplantation to include both autologous and allogeneic transplantation
1002062	Development of a novel purine analogue, 8-amino adenosine (in collaboration with Drs. Steven Rosen and Nancy Krett)
1002062	Development of targeted therapies, such as the Bcl-6 peptide inhibitor (in collaboration with Dr. Ari Melnick, Weill Medical College, Cornell)
1002062	Novel therapies based on nanotechnology - specifically, the development of arsenic laden nanobins for treatment of lymphoma (in collaboration with Dr. Thomas O'Halloran, Department of Chemistry).
1002062	Radioimmunotherapy for the treatment of non-Hodgkin lymphoma in the context of high-dose chemotherapy and autologous stem cell rescue and in combination with proteosome inhibition for the treatment of follicular lymphoma
1002062	Research interests:  Biologic correlates of prognosis in the non-Hodgkin's lymphomas.
1002062	Research:  Anti-idiotypic vaccines for the treatment of follicular lymphoma.
1002064	Esophageal physiology and pathophysiology
1002079	Biochemistry: Proteins
1002079	Cell Biology
1002079	Endocrinology
1002079	Physiology
1002079	Reproduction
1002095	Psychiatry
1002126	AIDS
1002126	Alcohol and Drug Dependency
1002126	Forensic Psychology/Psychiatry
1002126	Psychology
1002126	Public Health
1002126	Public Policy
1002126	Trauma
1002126	Women's Health
1002139	Asthma
1002139	Diet and asthma
1002139	Drugs (clinical pharmacology)
1002194	Cell Biology
1002194	Genomics
1002205	Amputation
1002205	Behavioral Medicine
1002205	Brain Injury
1002205	Medical Education
1002205	Narrative Medicine
1002205	Neuropsychology
1002205	Patient Communications
1002205	Rehabilitation/Therapy
1002238	Medical Education
1002238	Psychiatry
1002248	Cancer: Breast
1002248	Cardiovascular Diseases
1002248	Genetics: Medical
1002248	Women's Health, Women's Reproductive Health
1002252	Behavioral Medicine
1002252	Mental Health
1002252	Oncology
1002252	Psychology
1002252	Women's Health
1002340	Aging, Geriatrics, and Eldercare
1002340	Alzheimer's Disease
1002340	Brain, Nervous System
1002340	Depression
1002357	Biologic Therapies
1002357	Biologic Therapy
1002357	Breast Cancer
1002357	Cancer: Blood (leukemia, lymphomas)
1002357	Chronic Lymphocytic Leukemia
1002357	Cutaneous T-Cell Lymphoma
1002357	Hematologic Malignancies
1002357	Hematology
1002357	Hormonal Action & Signal Transduction
1002357	Multiple Myeloma
1002357	Non-Hodgkin's Lymphoma
1002413	Cancer Biology
1002413	Microbiology
1002413	Molecular Biology
1002413	Signal Transduction
1002413	Virology
1002417	Biochemistry: Proteins
1002417	Endocrine Genetics
1002417	Endocrinology
1002417	Molecular Genetics
1002417	Physiology
1002417	Pituitary / Growth Hormone - Insulin-like growth factor axis
1002485	Brain Injury
1002485	Forensic Psychology/Psychiatry
1002485	Medico-legal
1002485	Neuropsychology
1002521	Aging
1002521	Alzheimer's Disease
1002521	Behavioral Biology
1002521	Neuroscience 
1002521	Physiology
1002526	Bioethics
1002526	Embryology
1002530	Medical Informatics
1002530	Pediatrics
1002530	Rheumatology
1002615	Health Literacy
1002615	Primary Care
1002617	Endocrine Genetics
1002617	Endocrinology
1002617	Genome Wide Mutagenesis Screening
1002617	Gonadal Development
1002617	Non-classical Estrogen Receptor Signaling
1002617	Physiology
1002617	Reproduction
1002617	Spermatogenesis / Spermatogonial Stem Cells
1002643	Autoimmune Diseases
1002643	Epidemiology
1002643	Osteoporosis
1002643	Rheumatology
1002643	Systemic Lupus Erythematosus
1002643	Women's Health
1002643	epidemiology of lupus
1002643	glucocorticoid-induced osteoporosis
1002643	lupus clinical trial design
1002643	osteoporosis
1002643	pregnancy in the rheumatic diseases
1002643	systemic lupus erythematosus
1002644	Biotechnology
1002644	Cardiology
1002644	Cardiovascular Diseases
1002644	Pharmacology
1002644	Women's Health
1002699	Cancer Biology
1002699	Cell Biology
1002699	Cell Imaging
1002699	Embryology
1002699	Gene Regulation
1002699	Stem Cells
1002719	Incretin Therapy in Type 2 Diabetes- Three  ongoing trials, and have finished one trial
1002719	Insulin therapy of diabetes- participating in 1 clinical trial and have completed 4 clinical trials
1002721	Health Policy
1002721	Rehabilitation/Therapy
1002721	Women's Health
1002791	Biochemistry: Lipids
1002791	Bones,Cartilage, Joints, Muscles
1002791	Cancer: Bone, Cartilage
1002791	Cell Biology
1002791	Endocrinology
1002791	Osteoporosis
1002791	Pharmacology
1002791	Women's Health
1002793	Psychiatry
1002798	Pediatrics
1002801	Neurology of the Newborn
1002801	Pediatric Neurology
1002861	Diabetes
1002861	Electronic Health Records
1002861	Osteoporosis
1002912	Angiogenesis
1002912	Apoptosis
1002912	Drug Discovery
1002912	Radiation Oncology
1002958	Cardiovascular Diseases
1002958	Cardiovascular Imaging
1002958	Health Policy
1002958	Healthcare Quality
1002958	Heart Disease
1002958	Hypertrophic Cardiomyopathy/Myectomy
1002958	Preventive Medicine
1002958	Valve Repair/Replacement
1002979	Child and Adolescent psychiatry
1002979	Depression
1002979	Information Systems
1002979	Mental Health
1002979	Neurobiology
1002979	Neuroscience 
1002979	Psychiatry
1002979	Trauma
1003038	Psychiatry
1003038	Public Health
1003038	Public Policy
1003070	Hypertension
1003070	Hypertension & Renal Disease
1003070	Nephrology
1003070	Research:  Racial differences in electrolyte and water metabolism and their relationship to hypertension in African-Americans
1003094	Breast Disease
1003171	Amputation
1003171	Rehabilitation/Therapy
1003176	Cellular Electrophysiology
1003176	Heart Disease
1003176	Neuroscience 
1003176	Pharmacology
1003176	Signal Transduction
1003231	Cancer Genetics
1003231	Cancer: Breast
1003231	Cancer: Digestive System (esophagus, stomach, colon, and rectum)
1003231	Cancer: Pancreas
1003231	Colorectal cancer genetics
1003231	Hormonal therapies breast cancer
1003231	Oncology
1003231	Tumor markers
1003275	Anesthesiology
1003275	Back, Spine
1003275	Pain
1003275	Pain Management
1003295	Development of new treatments for pituitary tumors
1003295	Endocrinology
1003295	Inpatient management of diabetes and hyperglycemia
1003295	Medicine
1003295	Oncology
1003295	Pathogenesis of prolactin and growth hormone secreting pituitary tumors
1003295	Prevention and treatment of the long-term complications of diabetes mellitus
1003356	Angiogenesis
1003356	Cardiology
1003356	Cardiovascular Diseases
1003356	Hypertension
1003356	Stem Cells
1003356	Vascular Biology
1003361	Psychology
1003390	Adverse drug reactions
1003390	Cancer Navigation Programs
1003390	Prostate Cancer
1003403	Pathology
1003414	Behavioral Medicine
1003414	Cancer: Skin
1003414	Graduate Medical Education
1003414	Medical Education
1003414	Post-graduate Medical Education
1003414	Simulation
1003426	DNA Recombination
1003426	Genetics: Microbial
1003426	Genomics
1003426	Microbial Pathogenesis
1003426	Microbiology
1003444	Autoimmune Diseases
1003444	Diabetes, Endocrine and Metabolism
1003444	Immune Regulation
1003444	Immunology
1003444	Multiple Sclerosis
1003444	Neuroscience 
1003444	Transplantation
1003444	Viral Pathogenesis
1003466	Cancer: Adrenal, parathyroid pituitary, thyroid-Glandular
1003466	Cancer: Breast
1003466	Cancer: Pancreas
1003466	Women's Health
1003502	Cancer: Blood (leukemia, lymphomas)
1003502	Communications
1003502	Ethics of Research with Human Subjects
1003502	Non-Hodgkin's Lymphoma
1003502	Pain Management
1003502	Palliative Care, Hospice
1003502	Pediatrics
1003627	Depression
1003628	Respiratory Diseases
1003637	Psychology
1003653	Biochemistry: Proteins
1003653	Drug Discovery
1003653	Molecular Pharmacology
1003653	Neuroscience 
1003653	Proteomics
1003653	Signal Transduction
1003694	Metabolism
1003694	Pathophysiological importance of catecholamines in obesity and hypertension
1003694	Physiology regulation of the sympathoadrenal system
1003694	Role of environmental/maternal factors in sympathetic nervous system development
1003772	Cancer: Bone, Cartilage
1003772	Pathology
1003800	Arthritis
1003800	Arthritis - Rheumatoid
1003800	Arthritis Disability
1003800	Arthritis and Physical Activity
1003800	Arthritis and public health
1003800	Arthritis related cost-effectiveness studies
1003800	Arthritis related health services research
1003800	Epidemiology
1003800	Health Services Research
1003800	Osteoarthritis
1003800	Preventive Medicine
1003800	Public Health
1003800	Rehabilitation/Therapy
1003810	Cancer Biology
1003810	Cancer Genetics
1003810	Oncology
1003810	Recombinant DNA
1003810	Urology
1003837	Cardiovascular Diseases
1003837	Cytokines
1003837	Genetics
1003837	Inflammation
1003837	Kidney
1003837	Nutritional and Metabolic Diseases
1003837	Osteoporosis
1003837	Physiology
1003863	Adolescent health
1003863	Asthma
1003863	Cigarette smoking
1003863	Community Medicine
1003863	Preventive Medicine
1003863	Sexually Transmitted Diseases
1003863	Women's Health, Women's Reproductive Health
1003874	Bioengineering                                        
1003874	Diabetes, Endocrine and Metabolism
1003874	Embryonic stem cells and pancreatic islets
1003874	Genetics
1003874	Islet cell transplantation
1003874	Molecular genetics of type 2 and gestational diabetes, obesity, and birthweight
1003874	Regulation of islet cell growth and apoptosis
1003874	Transplantation
1003883	Medical Education
1003883	Movement Control
1003883	Neck spine
1003883	Neuroscience 
1003916	Autoimmune Hepatitis
1003916	Hepatic Encephalopathy
1003916	Hepatitis B and C
1003916	Liver Transplantation
1003933	Graduate Medical Education
1003933	Healthcare Quality
1003933	Patient Safety
1003933	Pharmacovigilance
1003933	Undergraduate Medical Education
1003933	Women's Health
1003978	Biostatistics
1003978	Clinical Trial Methodology
1003978	Epidemiology
1003978	HIV Infection
1003978	Osteoarthritis
1003978	Public Health
1004010	Hemostasis and thrombosis, including inherited and acquired bleeding and clotting disorders.  Clinical research examining risk factors for bleeding and thrombosis, and clinical trials of new hemostatic and antithrombotic agents.
1004010	thrombosis, bleeding, hemostatic factors, anticoagulants
1004025	Otolaryngology
1004037	Alzheimer's Disease
1004037	Bioinformatics 
1004037	Biostatistics
1004037	Cancer: Blood (leukemia, lymphomas)
1004037	Cancer: Colon and Rectal
1004037	Cancer: Prostate
1004037	Clinical Trial Methodology
1004037	Dermatology
1004062	Alcohol and Drug Dependency
1004062	Anxiety Disorders
1004062	Psychology
1004070	Anesthesiology
1004070	Transplantation
1004121	Adult attention-deficit-disorder/attention-deficit-hyperactivity disorder
1004121	Anxiety Disorders
1004121	Attention deficit/hyperactivity disorder(ADHD)
1004121	Child and Adolescent psychiatry
1004121	Depression
1004121	Mood Disorders
1004121	Pharmacology
1004121	Psychiatry
1004130	Child and Adolescent psychiatry
1004130	Mental Health
1004130	Public Health
1004130	Public Policy
1004250	Diabetes
1004250	Epidemiology
1004289	ASTHMA and ALLERGIC RHINITIS
1004324	Anxiety Disorders
1004324	Child and Adolescent psychiatry
1004324	Couples therapy
1004324	Depression
1004324	Mental Health
1004324	Mood Disorders
1004324	Psychological issues of patients dealing with medical illness
1004324	Women's Health
1004331	Drug Abuse
1004331	HIV Infection
1004331	Health Disparities
1004331	Mental Health
1004331	Public Policy
1004331	Trauma
1004356	Aging
1004356	Alzheimer's Disease
1004356	Behavioral Biology
1004356	Cell Imaging
1004356	Cellular Electrophysiology
1004356	Neuroscience 
1004377	Anesthesiology
1004377	Cardiovascular Imaging
1004377	Critical Care
1004377	Neuroscience 
1004377	Resuscitation
1004377	Undergraduate Medical Education
1004379	Aging
1004381	AIDS
1004381	Infectious Diseases
1004381	Medical Education
1004381	Pediatrics
1004426	Cancer: Breast
1004426	Cancer: Prostate
1004426	Epidemiology
1004426	Preventive Medicine
1004472	Extracellular Matrix
1004472	Fibrosis
1004472	Kidney
1004472	Signal Transduction
1004472	TGF-beta
1004570	Autoimmune Diseases
1004570	Autoimmunity
1004570	Biochemistry: Proteins
1004570	Cytokines
1004570	Immunology
1004642	Alzheimer's Disease
1004642	Cell Biology
1004642	Cytoskeleton
1004642	Dementia
1004642	Developmental Neurobiology
1004642	Neuroscience 
1004642	Signal Transduction
1004646	ALS
1004646	Amyotrophic Lateral Sclerosis
1004646	EMG
1004646	Muscular Dystrophy
1004646	Neurology
1004676	Autoimmune Diseases
1004676	Cytokines
1004676	Immune Regulation
1004676	Nervous System Diseases
1004676	Viral Pathogenesis
1004707	Cancer Biology
1004707	Cancer: Prostate
1004817	Cancer Biology
1004817	Cell Biology
1004817	Endocrinology
1004817	Gene Therapy
1004817	Proteomics
1004883	Endocrine Genetics
1004883	Endocrinology
1004883	Gene Regulation
1004883	Genetic endocrine diseases
1004883	Medicine
1004883	Reproduction
1004893	Cardiovascular Diseases
1004893	Cardiovascular System
1004893	Epidemiology
1004916	Autoimmune Diseases
1004916	Cancer: Blood (leukemia, lymphomas)
1004916	HIV Infection
1004916	Immune Regulation
1004916	Immunodeficiency
1004916	Immunology
1004916	Pediatric Rheumatology
1004916	Primary Immunodeficiency
1005002	Imaging in Rheumatic Diseases
1005002	Osteoporosis
1005002	Treatment of Rheumatoid Arthritis
1005031	Biochemistry: Proteins
1005031	Cancer Biology
1005031	Cell Adhesion Mechanisms
1005031	Enzymology
1005031	Extracellular Matrix
1005100	Cancer Biology
1005100	Signal Transduction
1005100	Transgenics
1005100	Viral Oncology
1005100	Virology
1005132	Behavioral Biology
1005132	Depression
1005132	Mental Health
1005132	Psychiatry
1005132	Psychology
1005141	Pain
1005141	Pain Management
1005141	Rehabilitation/Therapy
1005197	Alcohol and Drug Dependency
1005197	Attention deficit/hyperactivity disorder(ADHD)
1005197	Neuropsychology
1005219	Health Policy
1005219	Health Services Research
1005219	Pediatrics
1005219	Public Health
1005219	Public Policy
1005227	Neurobiology
1005227	Neuroscience 
1005227	Ophthalmology
1005227	Otolaryngology
1005227	Physiology
1005231	Gallbladder Disease
1005231	Hernias
1005231	Skin
1005232	Allergies
1005232	Key Words: asthma, Substance P, chronic sinusitis, nasal polyps, occupational asthma, superantigens, staphylococcal enterotoxins, health disparities, food allergy, drug hypersensitivity, allergen immunotherapy, hypersensitivity pneumonitis
1005232	Respiratory Diseases
1005233	Immunology
1005241	Cancer: Breast
1005241	Infertility - Female
1005250	Genetics
1005250	Genomics
1005250	Immunology
1005250	Molecular Biology
1005250	Molecular Genetics
1005250	Stem Cells
1005265	Alzheimer's Disease
1005265	Drug Discovery
1005265	Inflammation
1005265	Neuroscience 
1005265	Signal Transduction
1005304	Alzheimer's Drug
1005304	Brain Injury
1005304	Cancer Biology
1005304	Drug Discovery
1005304	Inflammation
1005304	Pharmacology
1005304	Signal Transduction
1005304	Structural Biology
1005318	Cell Biology
1005318	Genetics: Medical
1005318	Infectious Diseases-viral
1005318	Molecular Biology
1005318	Sexually Transmitted Diseases
1005318	Viral Pathogenesis
1005318	Virology
1005327	Arrhythmias
1005327	Heart Disease
1005327	Sudden Cardiac Death
1005327	Surgery
1005411	AIDS
1005411	Infectious Diseases-viral
1005415	Sports Medicine
1005423	Clinical interests include infections in the post-surgery patient and infections due to multi-drug resistant bacterial pathogens. Research focuses on the emergence of multi-drug resistant pathogens and antimicrobial use.
1005437	Infectious Diseases
1005437	Pediatrics
1005724	Infectious Diseases
1005724	Internal Medicine, General Medicine
1005724	Medical houstaff and student education
1005724	Monitoring of various quality of care indicators within the VA's computerized patient record system
1005807	Cardiovascular Imaging
1005807	Medical Education
1005807	Outcome measures
1005807	Pediatric Cardiology
1005807	Public Health
1005815	Cancer: Lung/Chest
1005815	Critical Cardiac Care
1005815	Lungs, Breathing Problems
1005849	Cancer: Female Reproductive System (ovary, cervix, uterus)
1005849	Microbiology
1005849	Viral Oncology
1005930	Cancer: Breast
1005930	Cancer: Digestive System (esophagus, stomach, colon, and rectum)
1005930	Cancer: Pancreas
1006032	Biochemistry: Lipids
1006032	Cancer: Skin
1006032	Cutaneous Biology
1006032	Dermatology
1006032	Extracellular Matrix
1006032	Genetics
1006032	Signal Transduction
1006032	Skin
1006034	Neurology
1006034	Rehabilitation/Therapy
1006055	Apoptosis
1006055	Asthma
1006055	Cell Biology
1006055	DNA                                                  
1006055	Environmental Health
1006055	Fibrosis
1006055	Research Interests: Mechanisms of alveolar epithelial cell apoptosis by asbestos and air-borne particulate matter (focus is on free radicals, the mitochondria, p53, and mitochondrial DNA repair).  Clinical interetsts concern IPF and COPD
1006058	Cardiology
1006058	Cardiovascular Diseases
1006058	Cardiovascular Epidemiology and Prevention
1006058	Cardiovascular Imaging
1006058	Epidemiology
1006058	Preventive Medicine
1006058	Public Health
1006058	Wellness, Fitness
1006058	Women's Health
1006210	Nutrition, Dietetics
1006210	Preventive Medicine
1006210	Public Health
1006247	Clinical Neurophysiology
1006247	Nervous System Diseases
1006247	Neurology
1006275	Pathology
1006301	Neuroscience 
1006301	Neurosurgery
1006301	Pain
1006301	Radiation Oncology
1006308	Cell Biology
1006308	Extracellular Matrix
1006346	Arthritis
1006346	Arthritis - Rheumatoid
1006346	Autoimmune Diseases
1006346	Health Policy
1006346	Health economics
1006346	Healthcare Quality
1006385	Attention deficit/hyperactivity disorder(ADHD)
1006385	Cancer: Brain and Nervous System
1006385	Child and Adolescent psychiatry
1006385	Epilepsy Surgery
1006385	Neuropsychology
1006385	Pediatrics
1006385	Psychometrics
1006385	Systemic Lupus Erythematosus
1006470	Anxiety Disorders
1006470	Child and Adolescent psychiatry
1006470	Depression
1006470	Health Disparities
1006495	Embryology
1006495	Undergraduate Medical Education
1006593	Hand Surgery
1006593	Plastic Surgery and Reconstructive Surgery
1006601	Anemia
1006601	Bone marrow neuroinflammation
1006601	Cytokines
1006601	HIV Infection
1006601	Inflammation
1006601	Neuroscience 
1006601	Proteomics
1006601	Quantitative MRI
1006641	Arthritis
1006641	Faculty Development
1006773	Allergic Bronchopulmonary Aspergillosis
1006773	Allergies
1006773	Asthma
1006773	Drug Allergy
1006773	Immunology
1006773	Lungs, Breathing Problems
1006773	Microbial Pathogenesis
1006773	Reduction in allergic antibody (IgE) in human subjects
1006773	Severe Asthma
1006781	Cosmetic Procedures and Surgery
1006781	Sleep Disorders
1006815	Movement Control
1006815	Neural Engineering
1006815	Neuroscience 
1006815	Spinal Cord Injury
1006832	Emergency Medicine
1006832	Epidemiology
1006832	Health Services Research
1006854	Aging, Geriatrics, and Eldercare
1006854	Health Policy
1006854	Lungs, Breathing Problems
1006854	Patient Safety
1006854	Public Policy
1006865	Cellular Electrophysiology
1006865	Molecular Biology
1006865	Movement Control
1006865	Neuroscience 
1006981	Bacterial Pathogenesis
1006981	Cytokines
1006981	Urology
1007010	Arthritis
1007010	Sports Injuries
1007010	Sports Medicine
1007084	ARDS, Cystic Fibrosis, Scleroderma Lung Disease
1007084	Critical Care
1007084	Cystic Fibrosis
1007084	Fibrosis
1007084	Fibrotic Mechanisms in Lung Disease
1007084	Lungs, Breathing Problems
1007084	TGF-beta
1007103	Child abuse and neglect, Child abuse and neglect
1007103	Pediatrics
1007161	Pregnancy, Childbirth (including high risk)
1007168	Autoimmunity
1007168	Epidemiology
1007168	Immune Regulation
1007168	Immunogenetics
1007168	Inflammation
1007168	Vascular Biology
1007177	Psychology
1007180	Depression
1007180	Psychiatry
1007180	Psychology
1007188	Urology
1007298	Anesthesiology
1007298	Pain
1007298	Pain Management
1007298	Palliative Care, Hospice
1007298	Pediatrics
1007337	Cancer Biology
1007337	Endocrinology
1007337	Gene Regulation
1007337	Molecular Biology
1007337	Neoplasms
1007378	Behavioral Medicine
1007378	Health Communications
1007378	Health Services Research
1007378	Public Health
1007424	Addiction
1007424	Alcohol, Alcoholism
1007424	Anxiety Disorders
1007424	Depression
1007424	Psychotherapy and pharmacotherapy in psychiatry, pharmacotherapy in psychiatry
1007443	Infectious Diseases
1007711	Aging, Geriatrics, and Eldercare
1007711	Health Services Research
1007711	Neuroscience 
1007711	Patient Safety
1007711	Rehabilitation/Therapy
1007711	Spinal Cord Injury
1007711	Stroke
1007928	Pediatrics
1007928	Urology
1007950	Management of Type 2 Diabetic Patients
1007950	Outcome measures
1007950	Quality Improvement
1007950	Use of the Electronic Medical Record to improve Quality of Care
1007979	Ophthalmology
1007979	Transplantation
1007992	Developmental Neurobiology
1007992	Diabetes, Endocrine and Metabolism
1007992	Men's Reproductive Health
1007992	Urology
1008044	Biochemistry: Proteins
1008044	Cell Biology
1008044	Extracellular Matrix
1008164	Breast Cancer
1008334	Nutritional and Metabolic Diseases
1008334	Obesity
1008334	Pediatrics
1008334	Primary Care
1008360	Alzheimer's Disease
1008360	Apoptosis
1008360	Autoimmune Diseases
1008360	Proteins, Macromolecules
1008360	Vascular Biology
1008377	Obesity
1008377	Pediatrics
1008387	Bioinformatics 
1008387	Epidemiology
1008387	Infectious Diseases
1008387	Public Health
1008443	Emergency Medicine
1008443	Pediatrics
1008614	Infertility - Female
1008614	Psychology
1008614	Women's Health, Women's Reproductive Health
1008667	Adult Congenital Heart Disease
1008667	Heart Disease and Pregnancy
1008667	Heart Disease in Women
1008921	Internal Medicine, General Medicine
1008921	domestic violence
1008921	women's health
1008950	Outcome measures
1008950	Pediatrics
1008963	Aphasia
1008963	Brain Injury
1008963	Rehabilitation/Therapy
1008963	Stroke
1008963	Telemedicine
1008970	Cancer: Prostate
1008970	Cell Adhesion Mechanisms
1008970	Cell Biology
1008970	Developmental biology
1008970	Signal Transduction
1009039	Aging
1009039	Alzheimer's Disease
1009039	Apoptosis
1009039	Arthritis
1009039	Cancer Biology
1009039	Cancer Genetics
1009039	Cell Biology
1009039	Heart Disease
1009098	Anxiety Disorders
1009098	Couples therapy
1009098	Depression
1009098	Education
1009098	Mental Health
1009098	Psychoanalysis
1009098	Psychology
1009098	Schizophrenia
1009110	Biophysics
1009110	Cell Imaging
1009110	Neuroscience 
1009110	Physiology
1009168	Aging
